resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
right,0,19.301,0,0,0,0,1,red,red,left,1,daddy,001,2022-02-01_10h28.07.326,stroop,2021.2.3,Win32,60.0240096
left,1,0.327,0,1,1,5,1,blue,red,left,0,daddy,001,2022-02-01_10h28.07.326,stroop,2021.2.3,Win32,60.0240096
right,1,1.495,0,2,2,4,1,blue,blue,right,1,daddy,001,2022-02-01_10h28.07.326,stroop,2021.2.3,Win32,60.0240096
left,0,0.366,0,3,3,3,1,green,blue,right,0,daddy,001,2022-02-01_10h28.07.326,stroop,2021.2.3,Win32,60.0240096
left,0,0.181,0,4,4,1,1,red,green,down,0,daddy,001,2022-02-01_10h28.07.326,stroop,2021.2.3,Win32,60.0240096
right,0,0.148,0,5,5,2,1,green,green,down,1,daddy,001,2022-02-01_10h28.07.326,stroop,2021.2.3,Win32,60.0240096
left,0,0.054,1,0,6,4,1,blue,blue,right,1,daddy,001,2022-02-01_10h28.07.326,stroop,2021.2.3,Win32,60.0240096
right,0,0.097,1,1,7,5,1,blue,red,left,0,daddy,001,2022-02-01_10h28.07.326,stroop,2021.2.3,Win32,60.0240096
left,0,0.072,1,2,8,3,1,green,blue,right,0,daddy,001,2022-02-01_10h28.07.326,stroop,2021.2.3,Win32,60.0240096
left,1,0.072,1,3,9,0,1,red,red,left,1,daddy,001,2022-02-01_10h28.07.326,stroop,2021.2.3,Win32,60.0240096
right,0,0.173,1,4,10,1,1,red,green,down,0,daddy,001,2022-02-01_10h28.07.326,stroop,2021.2.3,Win32,60.0240096
right,0,0.355,1,5,11,2,1,green,green,down,1,daddy,001,2022-02-01_10h28.07.326,stroop,2021.2.3,Win32,60.0240096
right,0,0.031,2,0,12,5,1,blue,red,left,0,daddy,001,2022-02-01_10h28.07.326,stroop,2021.2.3,Win32,60.0240096
right,0,0.417,2,1,13,2,1,green,green,down,1,daddy,001,2022-02-01_10h28.07.326,stroop,2021.2.3,Win32,60.0240096
