resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
left,1,2.2799,0,0,0,5,1,blue,red,left,0,irene,001,2022-03-14_15h20.50.326,stroop,2021.2.3,Win32,60.03121623
down,1,0.8592,0,1,1,2,1,green,green,down,1,irene,001,2022-03-14_15h20.50.326,stroop,2021.2.3,Win32,60.03121623
down,1,0.8185,0,2,2,1,1,red,green,down,0,irene,001,2022-03-14_15h20.50.326,stroop,2021.2.3,Win32,60.03121623
left,1,0.713,0,3,3,0,1,red,red,left,1,irene,001,2022-03-14_15h20.50.326,stroop,2021.2.3,Win32,60.03121623
right,1,0.76,0,4,4,3,1,green,blue,right,0,irene,001,2022-03-14_15h20.50.326,stroop,2021.2.3,Win32,60.03121623
right,1,0.8406,0,5,5,4,1,blue,blue,right,1,irene,001,2022-03-14_15h20.50.326,stroop,2021.2.3,Win32,60.03121623
down,1,0.7137,1,0,6,1,1,red,green,down,0,irene,001,2022-03-14_15h20.50.326,stroop,2021.2.3,Win32,60.03121623
left,1,0.6321,1,1,7,0,1,red,red,left,1,irene,001,2022-03-14_15h20.50.326,stroop,2021.2.3,Win32,60.03121623
down,0,0.7556,1,2,8,4,1,blue,blue,right,1,irene,001,2022-03-14_15h20.50.326,stroop,2021.2.3,Win32,60.03121623
left,1,1.1687,1,3,9,5,1,blue,red,left,0,irene,001,2022-03-14_15h20.50.326,stroop,2021.2.3,Win32,60.03121623
down,1,0.6759,1,4,10,2,1,green,green,down,1,irene,001,2022-03-14_15h20.50.326,stroop,2021.2.3,Win32,60.03121623
right,1,0.6342,1,5,11,3,1,green,blue,right,0,irene,001,2022-03-14_15h20.50.326,stroop,2021.2.3,Win32,60.03121623
down,1,0.6633,2,0,12,1,1,red,green,down,0,irene,001,2022-03-14_15h20.50.326,stroop,2021.2.3,Win32,60.03121623
left,1,0.5635,2,1,13,0,1,red,red,left,1,irene,001,2022-03-14_15h20.50.326,stroop,2021.2.3,Win32,60.03121623
left,1,1.2847,2,2,14,5,1,blue,red,left,0,irene,001,2022-03-14_15h20.50.326,stroop,2021.2.3,Win32,60.03121623
down,1,0.6364,2,3,15,2,1,green,green,down,1,irene,001,2022-03-14_15h20.50.326,stroop,2021.2.3,Win32,60.03121623
right,1,0.9363,2,4,16,4,1,blue,blue,right,1,irene,001,2022-03-14_15h20.50.326,stroop,2021.2.3,Win32,60.03121623
right,1,0.7505,2,5,17,3,1,green,blue,right,0,irene,001,2022-03-14_15h20.50.326,stroop,2021.2.3,Win32,60.03121623
down,1,0.7209,3,0,18,1,1,red,green,down,0,irene,001,2022-03-14_15h20.50.326,stroop,2021.2.3,Win32,60.03121623
down,1,0.4571,3,1,19,2,1,green,green,down,1,irene,001,2022-03-14_15h20.50.326,stroop,2021.2.3,Win32,60.03121623
right,1,0.581,3,2,20,4,1,blue,blue,right,1,irene,001,2022-03-14_15h20.50.326,stroop,2021.2.3,Win32,60.03121623
right,1,0.5814,3,3,21,3,1,green,blue,right,0,irene,001,2022-03-14_15h20.50.326,stroop,2021.2.3,Win32,60.03121623
left,1,0.5591,3,4,22,0,1,red,red,left,1,irene,001,2022-03-14_15h20.50.326,stroop,2021.2.3,Win32,60.03121623
left,1,0.6085,3,5,23,5,1,blue,red,left,0,irene,001,2022-03-14_15h20.50.326,stroop,2021.2.3,Win32,60.03121623
down,1,0.6584,4,0,24,1,1,red,green,down,0,irene,001,2022-03-14_15h20.50.326,stroop,2021.2.3,Win32,60.03121623
down,1,0.5501,4,1,25,2,1,green,green,down,1,irene,001,2022-03-14_15h20.50.326,stroop,2021.2.3,Win32,60.03121623
right,1,0.5811,4,2,26,3,1,green,blue,right,0,irene,001,2022-03-14_15h20.50.326,stroop,2021.2.3,Win32,60.03121623
left,1,1.1649,4,3,27,5,1,blue,red,left,0,irene,001,2022-03-14_15h20.50.326,stroop,2021.2.3,Win32,60.03121623
left,1,0.5315,4,4,28,0,1,red,red,left,1,irene,001,2022-03-14_15h20.50.326,stroop,2021.2.3,Win32,60.03121623
right,1,0.7495,4,5,29,4,1,blue,blue,right,1,irene,001,2022-03-14_15h20.50.326,stroop,2021.2.3,Win32,60.03121623
