resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
left,0,0.8623,0,0,0,1,1,red,green,down,0,kuz,001,2022-02-18_18h49.28.934,stroop,2021.2.3,Linux x86_64,60.0528465
right,1,1.3967,0,1,1,4,1,blue,blue,right,1,kuz,001,2022-02-18_18h49.28.934,stroop,2021.2.3,Linux x86_64,60.0528465
down,0,0.7981,0,2,2,0,1,red,red,left,1,kuz,001,2022-02-18_18h49.28.934,stroop,2021.2.3,Linux x86_64,60.0528465
left,0,0.6448,0,3,3,2,1,green,green,down,1,kuz,001,2022-02-18_18h49.28.934,stroop,2021.2.3,Linux x86_64,60.0528465
right,1,0.7132,0,4,4,3,1,green,blue,right,0,kuz,001,2022-02-18_18h49.28.934,stroop,2021.2.3,Linux x86_64,60.0528465
down,0,0.4504,0,5,5,5,1,blue,red,left,0,kuz,001,2022-02-18_18h49.28.934,stroop,2021.2.3,Linux x86_64,60.0528465
left,0,0.2469,1,0,6,3,1,green,blue,right,0,kuz,001,2022-02-18_18h49.28.934,stroop,2021.2.3,Linux x86_64,60.0528465
right,1,0.3057,1,1,7,4,1,blue,blue,right,1,kuz,001,2022-02-18_18h49.28.934,stroop,2021.2.3,Linux x86_64,60.0528465
down,1,0.1654,1,2,8,2,1,green,green,down,1,kuz,001,2022-02-18_18h49.28.934,stroop,2021.2.3,Linux x86_64,60.0528465
left,1,0.1988,1,3,9,5,1,blue,red,left,0,kuz,001,2022-02-18_18h49.28.934,stroop,2021.2.3,Linux x86_64,60.0528465
right,0,0.313,1,4,10,0,1,red,red,left,1,kuz,001,2022-02-18_18h49.28.934,stroop,2021.2.3,Linux x86_64,60.0528465
down,1,0.3247,1,5,11,1,1,red,green,down,0,kuz,001,2022-02-18_18h49.28.934,stroop,2021.2.3,Linux x86_64,60.0528465
left,0,0.3197,2,0,12,3,1,green,blue,right,0,kuz,001,2022-02-18_18h49.28.934,stroop,2021.2.3,Linux x86_64,60.0528465
right,0,0.2957,2,1,13,2,1,green,green,down,1,kuz,001,2022-02-18_18h49.28.934,stroop,2021.2.3,Linux x86_64,60.0528465
down,0,0.1303,2,2,14,4,1,blue,blue,right,1,kuz,001,2022-02-18_18h49.28.934,stroop,2021.2.3,Linux x86_64,60.0528465
left,0,0.1323,2,3,15,1,1,red,green,down,0,kuz,001,2022-02-18_18h49.28.934,stroop,2021.2.3,Linux x86_64,60.0528465
right,0,0.13,2,4,16,0,1,red,red,left,1,kuz,001,2022-02-18_18h49.28.934,stroop,2021.2.3,Linux x86_64,60.0528465
down,0,0.1906,2,5,17,5,1,blue,red,left,0,kuz,001,2022-02-18_18h49.28.934,stroop,2021.2.3,Linux x86_64,60.0528465
left,0,0.3577,3,0,18,3,1,green,blue,right,0,kuz,001,2022-02-18_18h49.28.934,stroop,2021.2.3,Linux x86_64,60.0528465
right,0,0.0659,3,1,19,2,1,green,green,down,1,kuz,001,2022-02-18_18h49.28.934,stroop,2021.2.3,Linux x86_64,60.0528465
down,1,0.0899,3,2,20,1,1,red,green,down,0,kuz,001,2022-02-18_18h49.28.934,stroop,2021.2.3,Linux x86_64,60.0528465
down,0,0.3422,3,3,21,5,1,blue,red,left,0,kuz,001,2022-02-18_18h49.28.934,stroop,2021.2.3,Linux x86_64,60.0528465
right,1,0.3653,3,4,22,4,1,blue,blue,right,1,kuz,001,2022-02-18_18h49.28.934,stroop,2021.2.3,Linux x86_64,60.0528465
down,0,0.0828,3,5,23,0,1,red,red,left,1,kuz,001,2022-02-18_18h49.28.934,stroop,2021.2.3,Linux x86_64,60.0528465
down,0,0.0807,4,0,24,4,1,blue,blue,right,1,kuz,001,2022-02-18_18h49.28.934,stroop,2021.2.3,Linux x86_64,60.0528465
right,0,0.1473,4,1,25,0,1,red,red,left,1,kuz,001,2022-02-18_18h49.28.934,stroop,2021.2.3,Linux x86_64,60.0528465
right,1,0.0197,4,2,26,3,1,green,blue,right,0,kuz,001,2022-02-18_18h49.28.934,stroop,2021.2.3,Linux x86_64,60.0528465
right,0,0.1141,4,3,27,1,1,red,green,down,0,kuz,001,2022-02-18_18h49.28.934,stroop,2021.2.3,Linux x86_64,60.0528465
right,0,0.059,4,4,28,2,1,green,green,down,1,kuz,001,2022-02-18_18h49.28.934,stroop,2021.2.3,Linux x86_64,60.0528465
down,0,0.0132,4,5,29,5,1,blue,red,left,0,kuz,001,2022-02-18_18h49.28.934,stroop,2021.2.3,Linux x86_64,60.0528465
