resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
down,0,1.946,0,0,0,3,1,green,blue,right,0,lucie,001,2022-03-11_13h29.54.363,stroop,2021.2.3,MacIntel,30.10234798
left,1,0.543,0,1,1,0,1,red,red,left,1,lucie,001,2022-03-11_13h29.54.363,stroop,2021.2.3,MacIntel,30.10234798
right,0,0.333,0,2,2,1,1,red,green,down,0,lucie,001,2022-03-11_13h29.54.363,stroop,2021.2.3,MacIntel,30.10234798
right,0,5.572,0,3,3,2,1,green,green,down,1,lucie,001,2022-03-11_13h29.54.363,stroop,2021.2.3,MacIntel,30.10234798
down,0,0.337,0,4,4,5,1,blue,red,left,0,lucie,001,2022-03-11_13h29.54.363,stroop,2021.2.3,MacIntel,30.10234798
left,0,0.458,0,5,5,4,1,blue,blue,right,1,lucie,001,2022-03-11_13h29.54.363,stroop,2021.2.3,MacIntel,30.10234798
right,0,0.271,1,0,6,1,1,red,green,down,0,lucie,001,2022-03-11_13h29.54.363,stroop,2021.2.3,MacIntel,30.10234798
right,0,0.121,1,1,7,2,1,green,green,down,1,lucie,001,2022-03-11_13h29.54.363,stroop,2021.2.3,MacIntel,30.10234798
right,1,0.155,1,2,8,4,1,blue,blue,right,1,lucie,001,2022-03-11_13h29.54.363,stroop,2021.2.3,MacIntel,30.10234798
right,1,0.422,1,3,9,3,1,green,blue,right,0,lucie,001,2022-03-11_13h29.54.363,stroop,2021.2.3,MacIntel,30.10234798
right,0,0.223,1,4,10,5,1,blue,red,left,0,lucie,001,2022-03-11_13h29.54.363,stroop,2021.2.3,MacIntel,30.10234798
right,0,0.02,1,5,11,0,1,red,red,left,1,lucie,001,2022-03-11_13h29.54.363,stroop,2021.2.3,MacIntel,30.10234798
right,0,0.391,2,0,12,1,1,red,green,down,0,lucie,001,2022-03-11_13h29.54.363,stroop,2021.2.3,MacIntel,30.10234798
down,0,0.103,2,1,13,3,1,green,blue,right,0,lucie,001,2022-03-11_13h29.54.363,stroop,2021.2.3,MacIntel,30.10234798
down,0,0.608,2,2,14,0,1,red,red,left,1,lucie,001,2022-03-11_13h29.54.363,stroop,2021.2.3,MacIntel,30.10234798
down,0,0.255,2,3,15,5,1,blue,red,left,0,lucie,001,2022-03-11_13h29.54.363,stroop,2021.2.3,MacIntel,30.10234798
down,0,0.007,2,4,16,4,1,blue,blue,right,1,lucie,001,2022-03-11_13h29.54.363,stroop,2021.2.3,MacIntel,30.10234798
down,1,1.066,2,5,17,2,1,green,green,down,1,lucie,001,2022-03-11_13h29.54.363,stroop,2021.2.3,MacIntel,30.10234798
down,0,1.386,3,0,18,3,1,green,blue,right,0,lucie,001,2022-03-11_13h29.54.363,stroop,2021.2.3,MacIntel,30.10234798
down,0,0.273,3,1,19,5,1,blue,red,left,0,lucie,001,2022-03-11_13h29.54.363,stroop,2021.2.3,MacIntel,30.10234798
down,1,0.291,3,2,20,1,1,red,green,down,0,lucie,001,2022-03-11_13h29.54.363,stroop,2021.2.3,MacIntel,30.10234798
down,0,1.239,3,3,21,4,1,blue,blue,right,1,lucie,001,2022-03-11_13h29.54.363,stroop,2021.2.3,MacIntel,30.10234798
down,1,0.455,3,4,22,2,1,green,green,down,1,lucie,001,2022-03-11_13h29.54.363,stroop,2021.2.3,MacIntel,30.10234798
down,0,0.477,3,5,23,0,1,red,red,left,1,lucie,001,2022-03-11_13h29.54.363,stroop,2021.2.3,MacIntel,30.10234798
down,0,0.184,4,0,24,5,1,blue,red,left,0,lucie,001,2022-03-11_13h29.54.363,stroop,2021.2.3,MacIntel,30.10234798
down,1,0.188,4,1,25,2,1,green,green,down,1,lucie,001,2022-03-11_13h29.54.363,stroop,2021.2.3,MacIntel,30.10234798
down,0,0.225,4,2,26,0,1,red,red,left,1,lucie,001,2022-03-11_13h29.54.363,stroop,2021.2.3,MacIntel,30.10234798
down,1,0.124,4,3,27,1,1,red,green,down,0,lucie,001,2022-03-11_13h29.54.363,stroop,2021.2.3,MacIntel,30.10234798
down,0,0.05,4,4,28,4,1,blue,blue,right,1,lucie,001,2022-03-11_13h29.54.363,stroop,2021.2.3,MacIntel,30.10234798
down,0,0.055,4,5,29,3,1,green,blue,right,0,lucie,001,2022-03-11_13h29.54.363,stroop,2021.2.3,MacIntel,30.10234798
