resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
down,1,0.8812,0,0,0,1,1,red,green,down,0,luke,001,2022-03-18_12h16.55.284,stroop,2021.2.3,MacIntel,60.0024001
left,1,0.6548,0,1,1,0,1,red,red,left,1,luke,001,2022-03-18_12h16.55.284,stroop,2021.2.3,MacIntel,60.0024001
right,1,0.5879,0,2,2,4,1,blue,blue,right,1,luke,001,2022-03-18_12h16.55.284,stroop,2021.2.3,MacIntel,60.0024001
down,1,0.7015,0,3,3,2,1,green,green,down,1,luke,001,2022-03-18_12h16.55.284,stroop,2021.2.3,MacIntel,60.0024001
right,1,0.9989,0,4,4,3,1,green,blue,right,0,luke,001,2022-03-18_12h16.55.284,stroop,2021.2.3,MacIntel,60.0024001
left,1,0.597,0,5,5,5,1,blue,red,left,0,luke,001,2022-03-18_12h16.55.284,stroop,2021.2.3,MacIntel,60.0024001
left,1,0.584,1,0,6,0,1,red,red,left,1,luke,001,2022-03-18_12h16.55.284,stroop,2021.2.3,MacIntel,60.0024001
down,1,0.7501,1,1,7,1,1,red,green,down,0,luke,001,2022-03-18_12h16.55.284,stroop,2021.2.3,MacIntel,60.0024001
left,1,0.7302,1,2,8,5,1,blue,red,left,0,luke,001,2022-03-18_12h16.55.284,stroop,2021.2.3,MacIntel,60.0024001
down,1,1.3831,1,3,9,2,1,green,green,down,1,luke,001,2022-03-18_12h16.55.284,stroop,2021.2.3,MacIntel,60.0024001
right,1,0.535,1,4,10,3,1,green,blue,right,0,luke,001,2022-03-18_12h16.55.284,stroop,2021.2.3,MacIntel,60.0024001
right,1,0.4679,1,5,11,4,1,blue,blue,right,1,luke,001,2022-03-18_12h16.55.284,stroop,2021.2.3,MacIntel,60.0024001
left,1,0.5761,2,0,12,0,1,red,red,left,1,luke,001,2022-03-18_12h16.55.284,stroop,2021.2.3,MacIntel,60.0024001
right,1,0.5892,2,1,13,3,1,green,blue,right,0,luke,001,2022-03-18_12h16.55.284,stroop,2021.2.3,MacIntel,60.0024001
down,1,0.5159,2,2,14,2,1,green,green,down,1,luke,001,2022-03-18_12h16.55.284,stroop,2021.2.3,MacIntel,60.0024001
down,1,0.835,2,3,15,1,1,red,green,down,0,luke,001,2022-03-18_12h16.55.284,stroop,2021.2.3,MacIntel,60.0024001
right,0,1.0905,2,4,16,5,1,blue,red,left,0,luke,001,2022-03-18_12h16.55.284,stroop,2021.2.3,MacIntel,60.0024001
right,1,1.0486,2,5,17,4,1,blue,blue,right,1,luke,001,2022-03-18_12h16.55.284,stroop,2021.2.3,MacIntel,60.0024001
down,1,0.9593,3,0,18,2,1,green,green,down,1,luke,001,2022-03-18_12h16.55.284,stroop,2021.2.3,MacIntel,60.0024001
left,1,0.5507,3,1,19,5,1,blue,red,left,0,luke,001,2022-03-18_12h16.55.284,stroop,2021.2.3,MacIntel,60.0024001
right,1,1.0846,3,2,20,3,1,green,blue,right,0,luke,001,2022-03-18_12h16.55.284,stroop,2021.2.3,MacIntel,60.0024001
right,1,0.5195,3,3,21,4,1,blue,blue,right,1,luke,001,2022-03-18_12h16.55.284,stroop,2021.2.3,MacIntel,60.0024001
down,1,0.8215,3,4,22,1,1,red,green,down,0,luke,001,2022-03-18_12h16.55.284,stroop,2021.2.3,MacIntel,60.0024001
left,1,1.1508,3,5,23,0,1,red,red,left,1,luke,001,2022-03-18_12h16.55.284,stroop,2021.2.3,MacIntel,60.0024001
down,1,0.9233,4,0,24,1,1,red,green,down,0,luke,001,2022-03-18_12h16.55.284,stroop,2021.2.3,MacIntel,60.0024001
right,1,0.8164,4,1,25,3,1,green,blue,right,0,luke,001,2022-03-18_12h16.55.284,stroop,2021.2.3,MacIntel,60.0024001
left,1,1.4988,4,2,26,0,1,red,red,left,1,luke,001,2022-03-18_12h16.55.284,stroop,2021.2.3,MacIntel,60.0024001
right,1,1.1994,4,3,27,4,1,blue,blue,right,1,luke,001,2022-03-18_12h16.55.284,stroop,2021.2.3,MacIntel,60.0024001
down,1,0.6828,4,4,28,2,1,green,green,down,1,luke,001,2022-03-18_12h16.55.284,stroop,2021.2.3,MacIntel,60.0024001
left,1,0.8638,4,5,29,5,1,blue,red,left,0,luke,001,2022-03-18_12h16.55.284,stroop,2021.2.3,MacIntel,60.0024001
