resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
left,1,5.429,0,0,0,5,1,blue,red,left,0,n,001,2022-02-24_16h54.46.392,stroop,2021.2.3,MacIntel,58.82352941
down,0,1.325,0,1,1,3,1,green,blue,right,0,n,001,2022-02-24_16h54.46.392,stroop,2021.2.3,MacIntel,58.82352941
down,1,0.611,0,2,2,1,1,red,green,down,0,n,001,2022-02-24_16h54.46.392,stroop,2021.2.3,MacIntel,58.82352941
down,0,0.395,0,3,3,4,1,blue,blue,right,1,n,001,2022-02-24_16h54.46.392,stroop,2021.2.3,MacIntel,58.82352941
down,0,0.347,0,4,4,0,1,red,red,left,1,n,001,2022-02-24_16h54.46.392,stroop,2021.2.3,MacIntel,58.82352941
down,1,0.429,0,5,5,2,1,green,green,down,1,n,001,2022-02-24_16h54.46.392,stroop,2021.2.3,MacIntel,58.82352941
down,0,0.315,1,0,6,5,1,blue,red,left,0,n,001,2022-02-24_16h54.46.392,stroop,2021.2.3,MacIntel,58.82352941
down,1,0.347,1,1,7,1,1,red,green,down,0,n,001,2022-02-24_16h54.46.392,stroop,2021.2.3,MacIntel,58.82352941
down,1,0.301,1,2,8,2,1,green,green,down,1,n,001,2022-02-24_16h54.46.392,stroop,2021.2.3,MacIntel,58.82352941
down,0,0.345,1,3,9,4,1,blue,blue,right,1,n,001,2022-02-24_16h54.46.392,stroop,2021.2.3,MacIntel,58.82352941
down,0,0.299,1,4,10,3,1,green,blue,right,0,n,001,2022-02-24_16h54.46.392,stroop,2021.2.3,MacIntel,58.82352941
down,0,0.279,1,5,11,0,1,red,red,left,1,n,001,2022-02-24_16h54.46.392,stroop,2021.2.3,MacIntel,58.82352941
down,0,0.296,2,0,12,4,1,blue,blue,right,1,n,001,2022-02-24_16h54.46.392,stroop,2021.2.3,MacIntel,58.82352941
down,0,0.264,2,1,13,5,1,blue,red,left,0,n,001,2022-02-24_16h54.46.392,stroop,2021.2.3,MacIntel,58.82352941
down,1,0.264,2,2,14,1,1,red,green,down,0,n,001,2022-02-24_16h54.46.392,stroop,2021.2.3,MacIntel,58.82352941
down,0,0.251,2,3,15,0,1,red,red,left,1,n,001,2022-02-24_16h54.46.392,stroop,2021.2.3,MacIntel,58.82352941
down,0,0.294,2,4,16,3,1,green,blue,right,0,n,001,2022-02-24_16h54.46.392,stroop,2021.2.3,MacIntel,58.82352941
down,1,0.241,2,5,17,2,1,green,green,down,1,n,001,2022-02-24_16h54.46.392,stroop,2021.2.3,MacIntel,58.82352941
down,1,0.177,3,0,18,2,1,green,green,down,1,n,001,2022-02-24_16h54.46.392,stroop,2021.2.3,MacIntel,58.82352941
down,1,0.178,3,1,19,1,1,red,green,down,0,n,001,2022-02-24_16h54.46.392,stroop,2021.2.3,MacIntel,58.82352941
down,0,0.3,3,2,20,5,1,blue,red,left,0,n,001,2022-02-24_16h54.46.392,stroop,2021.2.3,MacIntel,58.82352941
down,0,0.531,3,3,21,0,1,red,red,left,1,n,001,2022-02-24_16h54.46.392,stroop,2021.2.3,MacIntel,58.82352941
down,0,0.483,3,4,22,3,1,green,blue,right,0,n,001,2022-02-24_16h54.46.392,stroop,2021.2.3,MacIntel,58.82352941
down,0,0.311,3,5,23,4,1,blue,blue,right,1,n,001,2022-02-24_16h54.46.392,stroop,2021.2.3,MacIntel,58.82352941
down,0,0.279,4,0,24,5,1,blue,red,left,0,n,001,2022-02-24_16h54.46.392,stroop,2021.2.3,MacIntel,58.82352941
down,0,0.315,4,1,25,4,1,blue,blue,right,1,n,001,2022-02-24_16h54.46.392,stroop,2021.2.3,MacIntel,58.82352941
down,0,0.302,4,2,26,0,1,red,red,left,1,n,001,2022-02-24_16h54.46.392,stroop,2021.2.3,MacIntel,58.82352941
down,1,0.343,4,3,27,2,1,green,green,down,1,n,001,2022-02-24_16h54.46.392,stroop,2021.2.3,MacIntel,58.82352941
down,1,0.312,4,4,28,1,1,red,green,down,0,n,001,2022-02-24_16h54.46.392,stroop,2021.2.3,MacIntel,58.82352941
down,0,0.312,4,5,29,3,1,green,blue,right,0,n,001,2022-02-24_16h54.46.392,stroop,2021.2.3,MacIntel,58.82352941
