resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
left,1,1.353,0,0,0,0,1,red,red,left,1,pch,001,2022-02-24_13h36.21.750,stroop,2021.2.3,MacIntel,63.45177665
down,1,0.887,0,1,1,1,1,red,green,down,0,pch,001,2022-02-24_13h36.21.750,stroop,2021.2.3,MacIntel,63.45177665
right,1,1.197,0,2,2,4,1,blue,blue,right,1,pch,001,2022-02-24_13h36.21.750,stroop,2021.2.3,MacIntel,63.45177665
down,1,0.768,0,3,3,2,1,green,green,down,1,pch,001,2022-02-24_13h36.21.750,stroop,2021.2.3,MacIntel,63.45177665
left,1,0.589,0,4,4,5,1,blue,red,left,0,pch,001,2022-02-24_13h36.21.750,stroop,2021.2.3,MacIntel,63.45177665
down,0,1.36,0,5,5,3,1,green,blue,right,0,pch,001,2022-02-24_13h36.21.750,stroop,2021.2.3,MacIntel,63.45177665
down,1,2.127,1,0,6,2,1,green,green,down,1,pch,001,2022-02-24_13h36.21.750,stroop,2021.2.3,MacIntel,63.45177665
left,1,0.805,1,1,7,0,1,red,red,left,1,pch,001,2022-02-24_13h36.21.750,stroop,2021.2.3,MacIntel,63.45177665
right,1,0.688,1,2,8,4,1,blue,blue,right,1,pch,001,2022-02-24_13h36.21.750,stroop,2021.2.3,MacIntel,63.45177665
down,1,2.056,1,3,9,1,1,red,green,down,0,pch,001,2022-02-24_13h36.21.750,stroop,2021.2.3,MacIntel,63.45177665
left,0,0.853,1,4,10,3,1,green,blue,right,0,pch,001,2022-02-24_13h36.21.750,stroop,2021.2.3,MacIntel,63.45177665
