resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
down,1,0.6495,0,0,0,2,1,green,green,down,1,rene,001,2022-02-21_14h29.33.730,stroop,2021.2.3,Win32,59.76571838
left,0,0.7522,0,1,1,1,1,red,green,down,0,rene,001,2022-02-21_14h29.33.730,stroop,2021.2.3,Win32,59.76571838
right,1,1.0671,0,2,2,3,1,green,blue,right,0,rene,001,2022-02-21_14h29.33.730,stroop,2021.2.3,Win32,59.76571838
left,1,0.6332,0,3,3,0,1,red,red,left,1,rene,001,2022-02-21_14h29.33.730,stroop,2021.2.3,Win32,59.76571838
right,1,0.7622,0,4,4,4,1,blue,blue,right,1,rene,001,2022-02-21_14h29.33.730,stroop,2021.2.3,Win32,59.76571838
left,1,0.9326,0,5,5,5,1,blue,red,left,0,rene,001,2022-02-21_14h29.33.730,stroop,2021.2.3,Win32,59.76571838
right,1,1.3045,1,0,6,3,1,green,blue,right,0,rene,001,2022-02-21_14h29.33.730,stroop,2021.2.3,Win32,59.76571838
left,1,0.7104,1,1,7,5,1,blue,red,left,0,rene,001,2022-02-21_14h29.33.730,stroop,2021.2.3,Win32,59.76571838
left,1,0.6045,1,2,8,0,1,red,red,left,1,rene,001,2022-02-21_14h29.33.730,stroop,2021.2.3,Win32,59.76571838
right,1,0.7671,1,3,9,4,1,blue,blue,right,1,rene,001,2022-02-21_14h29.33.730,stroop,2021.2.3,Win32,59.76571838
down,1,1.4892,1,4,10,2,1,green,green,down,1,rene,001,2022-02-21_14h29.33.730,stroop,2021.2.3,Win32,59.76571838
down,1,0.6982,1,5,11,1,1,red,green,down,0,rene,001,2022-02-21_14h29.33.730,stroop,2021.2.3,Win32,59.76571838
down,1,0.4695,2,0,12,2,1,green,green,down,1,rene,001,2022-02-21_14h29.33.730,stroop,2021.2.3,Win32,59.76571838
right,1,0.6056,2,1,13,4,1,blue,blue,right,1,rene,001,2022-02-21_14h29.33.730,stroop,2021.2.3,Win32,59.76571838
down,0,0.4554,2,2,14,3,1,green,blue,right,0,rene,001,2022-02-21_14h29.33.730,stroop,2021.2.3,Win32,59.76571838
left,1,1.2878,2,3,15,0,1,red,red,left,1,rene,001,2022-02-21_14h29.33.730,stroop,2021.2.3,Win32,59.76571838
down,1,0.8151,2,4,16,1,1,red,green,down,0,rene,001,2022-02-21_14h29.33.730,stroop,2021.2.3,Win32,59.76571838
left,1,0.4716,2,5,17,5,1,blue,red,left,0,rene,001,2022-02-21_14h29.33.730,stroop,2021.2.3,Win32,59.76571838
down,1,1.0324,3,0,18,2,1,green,green,down,1,rene,001,2022-02-21_14h29.33.730,stroop,2021.2.3,Win32,59.76571838
left,1,0.4651,3,1,19,0,1,red,red,left,1,rene,001,2022-02-21_14h29.33.730,stroop,2021.2.3,Win32,59.76571838
left,1,1.1185,3,2,20,5,1,blue,red,left,0,rene,001,2022-02-21_14h29.33.730,stroop,2021.2.3,Win32,59.76571838
right,1,0.9157,3,3,21,3,1,green,blue,right,0,rene,001,2022-02-21_14h29.33.730,stroop,2021.2.3,Win32,59.76571838
down,1,0.5928,3,4,22,1,1,red,green,down,0,rene,001,2022-02-21_14h29.33.730,stroop,2021.2.3,Win32,59.76571838
right,1,0.6202,3,5,23,4,1,blue,blue,right,1,rene,001,2022-02-21_14h29.33.730,stroop,2021.2.3,Win32,59.76571838
left,1,0.5492,4,0,24,5,1,blue,red,left,0,rene,001,2022-02-21_14h29.33.730,stroop,2021.2.3,Win32,59.76571838
down,1,0.5317,4,1,25,1,1,red,green,down,0,rene,001,2022-02-21_14h29.33.730,stroop,2021.2.3,Win32,59.76571838
down,0,0.5103,4,2,26,0,1,red,red,left,1,rene,001,2022-02-21_14h29.33.730,stroop,2021.2.3,Win32,59.76571838
down,1,1.1893,4,3,27,2,1,green,green,down,1,rene,001,2022-02-21_14h29.33.730,stroop,2021.2.3,Win32,59.76571838
right,1,0.5913,4,4,28,4,1,blue,blue,right,1,rene,001,2022-02-21_14h29.33.730,stroop,2021.2.3,Win32,59.76571838
right,1,0.8013,4,5,29,3,1,green,blue,right,0,rene,001,2022-02-21_14h29.33.730,stroop,2021.2.3,Win32,59.76571838
