resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
right,1,1.209,0,0,0,3,1,green,blue,right,0,sas,001,2022-02-01_13h46.50.343,stroop,2021.2.3,Linux x86_64,59.95203837
left,1,1.108,0,1,1,0,1,red,red,left,1,sas,001,2022-02-01_13h46.50.343,stroop,2021.2.3,Linux x86_64,59.95203837
down,1,0.876,0,2,2,2,1,green,green,down,1,sas,001,2022-02-01_13h46.50.343,stroop,2021.2.3,Linux x86_64,59.95203837
down,1,1.508,0,3,3,1,1,red,green,down,0,sas,001,2022-02-01_13h46.50.343,stroop,2021.2.3,Linux x86_64,59.95203837
right,1,1.109,0,4,4,4,1,blue,blue,right,1,sas,001,2022-02-01_13h46.50.343,stroop,2021.2.3,Linux x86_64,59.95203837
left,1,1.593,0,5,5,5,1,blue,red,left,0,sas,001,2022-02-01_13h46.50.343,stroop,2021.2.3,Linux x86_64,59.95203837
left,1,0.874,1,0,6,0,1,red,red,left,1,sas,001,2022-02-01_13h46.50.343,stroop,2021.2.3,Linux x86_64,59.95203837
left,1,0.924,1,1,7,5,1,blue,red,left,0,sas,001,2022-02-01_13h46.50.343,stroop,2021.2.3,Linux x86_64,59.95203837
right,1,1.458,1,2,8,4,1,blue,blue,right,1,sas,001,2022-02-01_13h46.50.343,stroop,2021.2.3,Linux x86_64,59.95203837
down,1,0.909,1,3,9,2,1,green,green,down,1,sas,001,2022-02-01_13h46.50.343,stroop,2021.2.3,Linux x86_64,59.95203837
down,1,1.076,1,4,10,1,1,red,green,down,0,sas,001,2022-02-01_13h46.50.343,stroop,2021.2.3,Linux x86_64,59.95203837
right,1,0.809,1,5,11,3,1,green,blue,right,0,sas,001,2022-02-01_13h46.50.343,stroop,2021.2.3,Linux x86_64,59.95203837
down,1,0.742,2,0,12,2,1,green,green,down,1,sas,001,2022-02-01_13h46.50.343,stroop,2021.2.3,Linux x86_64,59.95203837
right,1,0.725,2,1,13,3,1,green,blue,right,0,sas,001,2022-02-01_13h46.50.343,stroop,2021.2.3,Linux x86_64,59.95203837
right,1,0.825,2,2,14,4,1,blue,blue,right,1,sas,001,2022-02-01_13h46.50.343,stroop,2021.2.3,Linux x86_64,59.95203837
left,1,0.591,2,3,15,0,1,red,red,left,1,sas,001,2022-02-01_13h46.50.343,stroop,2021.2.3,Linux x86_64,59.95203837
down,1,0.943,2,4,16,1,1,red,green,down,0,sas,001,2022-02-01_13h46.50.343,stroop,2021.2.3,Linux x86_64,59.95203837
left,1,0.826,2,5,17,5,1,blue,red,left,0,sas,001,2022-02-01_13h46.50.343,stroop,2021.2.3,Linux x86_64,59.95203837
down,1,0.575,3,0,18,2,1,green,green,down,1,sas,001,2022-02-01_13h46.50.343,stroop,2021.2.3,Linux x86_64,59.95203837
down,1,0.458,3,1,19,1,1,red,green,down,0,sas,001,2022-02-01_13h46.50.343,stroop,2021.2.3,Linux x86_64,59.95203837
left,1,0.791,3,2,20,5,1,blue,red,left,0,sas,001,2022-02-01_13h46.50.343,stroop,2021.2.3,Linux x86_64,59.95203837
right,1,0.659,3,3,21,3,1,green,blue,right,0,sas,001,2022-02-01_13h46.50.343,stroop,2021.2.3,Linux x86_64,59.95203837
left,1,0.658,3,4,22,0,1,red,red,left,1,sas,001,2022-02-01_13h46.50.343,stroop,2021.2.3,Linux x86_64,59.95203837
right,1,1.324,3,5,23,4,1,blue,blue,right,1,sas,001,2022-02-01_13h46.50.343,stroop,2021.2.3,Linux x86_64,59.95203837
left,1,0.624,4,0,24,0,1,red,red,left,1,sas,001,2022-02-01_13h46.50.343,stroop,2021.2.3,Linux x86_64,59.95203837
left,1,0.995,4,1,25,5,1,blue,red,left,0,sas,001,2022-02-01_13h46.50.343,stroop,2021.2.3,Linux x86_64,59.95203837
right,1,1.075,4,2,26,3,1,green,blue,right,0,sas,001,2022-02-01_13h46.50.343,stroop,2021.2.3,Linux x86_64,59.95203837
right,1,0.575,4,3,27,4,1,blue,blue,right,1,sas,001,2022-02-01_13h46.50.343,stroop,2021.2.3,Linux x86_64,59.95203837
down,1,0.692,4,4,28,2,1,green,green,down,1,sas,001,2022-02-01_13h46.50.343,stroop,2021.2.3,Linux x86_64,59.95203837
down,1,0.724,4,5,29,1,1,red,green,down,0,sas,001,2022-02-01_13h46.50.343,stroop,2021.2.3,Linux x86_64,59.95203837
