resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
left,1,1.1077,0,0,0,0,1,red,red,left,1,theebiga siyatharan,001,2022-03-13_18h40.56.615,stroop,2021.2.3,MacIntel,60.0024001
left,1,0.6431,0,1,1,5,1,blue,red,left,0,theebiga siyatharan,001,2022-03-13_18h40.56.615,stroop,2021.2.3,MacIntel,60.0024001
right,1,1.0181,0,2,2,3,1,green,blue,right,0,theebiga siyatharan,001,2022-03-13_18h40.56.615,stroop,2021.2.3,MacIntel,60.0024001
down,1,0.6,0,3,3,2,1,green,green,down,1,theebiga siyatharan,001,2022-03-13_18h40.56.615,stroop,2021.2.3,MacIntel,60.0024001
right,1,1.4345,0,4,4,4,1,blue,blue,right,1,theebiga siyatharan,001,2022-03-13_18h40.56.615,stroop,2021.2.3,MacIntel,60.0024001
down,1,0.846,0,5,5,1,1,red,green,down,0,theebiga siyatharan,001,2022-03-13_18h40.56.615,stroop,2021.2.3,MacIntel,60.0024001
right,1,0.7145,1,0,6,3,1,green,blue,right,0,theebiga siyatharan,001,2022-03-13_18h40.56.615,stroop,2021.2.3,MacIntel,60.0024001
right,1,0.5608,1,1,7,4,1,blue,blue,right,1,theebiga siyatharan,001,2022-03-13_18h40.56.615,stroop,2021.2.3,MacIntel,60.0024001
down,1,0.687,1,2,8,1,1,red,green,down,0,theebiga siyatharan,001,2022-03-13_18h40.56.615,stroop,2021.2.3,MacIntel,60.0024001
left,1,0.3722,1,3,9,5,1,blue,red,left,0,theebiga siyatharan,001,2022-03-13_18h40.56.615,stroop,2021.2.3,MacIntel,60.0024001
left,1,0.3332,1,4,10,0,1,red,red,left,1,theebiga siyatharan,001,2022-03-13_18h40.56.615,stroop,2021.2.3,MacIntel,60.0024001
down,1,0.8015,1,5,11,2,1,green,green,down,1,theebiga siyatharan,001,2022-03-13_18h40.56.615,stroop,2021.2.3,MacIntel,60.0024001
right,1,0.7396,2,0,12,3,1,green,blue,right,0,theebiga siyatharan,001,2022-03-13_18h40.56.615,stroop,2021.2.3,MacIntel,60.0024001
down,1,1.085,2,1,13,2,1,green,green,down,1,theebiga siyatharan,001,2022-03-13_18h40.56.615,stroop,2021.2.3,MacIntel,60.0024001
left,1,0.4494,2,2,14,5,1,blue,red,left,0,theebiga siyatharan,001,2022-03-13_18h40.56.615,stroop,2021.2.3,MacIntel,60.0024001
down,1,0.8711,2,3,15,1,1,red,green,down,0,theebiga siyatharan,001,2022-03-13_18h40.56.615,stroop,2021.2.3,MacIntel,60.0024001
left,1,0.5189,2,4,16,0,1,red,red,left,1,theebiga siyatharan,001,2022-03-13_18h40.56.615,stroop,2021.2.3,MacIntel,60.0024001
right,1,0.6777,2,5,17,4,1,blue,blue,right,1,theebiga siyatharan,001,2022-03-13_18h40.56.615,stroop,2021.2.3,MacIntel,60.0024001
down,1,1.0479,3,0,18,1,1,red,green,down,0,theebiga siyatharan,001,2022-03-13_18h40.56.615,stroop,2021.2.3,MacIntel,60.0024001
right,1,1.0546,3,1,19,3,1,green,blue,right,0,theebiga siyatharan,001,2022-03-13_18h40.56.615,stroop,2021.2.3,MacIntel,60.0024001
left,1,0.8887,3,2,20,5,1,blue,red,left,0,theebiga siyatharan,001,2022-03-13_18h40.56.615,stroop,2021.2.3,MacIntel,60.0024001
right,1,0.984,3,3,21,4,1,blue,blue,right,1,theebiga siyatharan,001,2022-03-13_18h40.56.615,stroop,2021.2.3,MacIntel,60.0024001
left,1,0.7494,3,4,22,0,1,red,red,left,1,theebiga siyatharan,001,2022-03-13_18h40.56.615,stroop,2021.2.3,MacIntel,60.0024001
down,1,0.5892,3,5,23,2,1,green,green,down,1,theebiga siyatharan,001,2022-03-13_18h40.56.615,stroop,2021.2.3,MacIntel,60.0024001
left,1,0.6465,4,0,24,0,1,red,red,left,1,theebiga siyatharan,001,2022-03-13_18h40.56.615,stroop,2021.2.3,MacIntel,60.0024001
right,1,1.3199,4,1,25,4,1,blue,blue,right,1,theebiga siyatharan,001,2022-03-13_18h40.56.615,stroop,2021.2.3,MacIntel,60.0024001
down,1,1.3357,4,2,26,1,1,red,green,down,0,theebiga siyatharan,001,2022-03-13_18h40.56.615,stroop,2021.2.3,MacIntel,60.0024001
down,1,0.481,4,3,27,2,1,green,green,down,1,theebiga siyatharan,001,2022-03-13_18h40.56.615,stroop,2021.2.3,MacIntel,60.0024001
right,1,0.7945,4,4,28,3,1,green,blue,right,0,theebiga siyatharan,001,2022-03-13_18h40.56.615,stroop,2021.2.3,MacIntel,60.0024001
left,1,0.783,4,5,29,5,1,blue,red,left,0,theebiga siyatharan,001,2022-03-13_18h40.56.615,stroop,2021.2.3,MacIntel,60.0024001
