resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
right,0,0.535,0,0,0,2,1,green,green,down,1,tt,001,2022-03-16_15h51.09.254,stroop,2021.2.3,MacIntel,58.82352941
left,1,0.67,0,1,1,5,1,blue,red,left,0,tt,001,2022-03-16_15h51.09.254,stroop,2021.2.3,MacIntel,58.82352941
down,0,0.402,0,2,2,3,1,green,blue,right,0,tt,001,2022-03-16_15h51.09.254,stroop,2021.2.3,MacIntel,58.82352941
right,0,0.501,0,3,3,1,1,red,green,down,0,tt,001,2022-03-16_15h51.09.254,stroop,2021.2.3,MacIntel,58.82352941
down,0,0.881,0,4,4,4,1,blue,blue,right,1,tt,001,2022-03-16_15h51.09.254,stroop,2021.2.3,MacIntel,58.82352941
left,1,0.665,0,5,5,0,1,red,red,left,1,tt,001,2022-03-16_15h51.09.254,stroop,2021.2.3,MacIntel,58.82352941
right,0,0.772,1,0,6,1,1,red,green,down,0,tt,001,2022-03-16_15h51.09.254,stroop,2021.2.3,MacIntel,58.82352941
left,1,0.671,1,1,7,0,1,red,red,left,1,tt,001,2022-03-16_15h51.09.254,stroop,2021.2.3,MacIntel,58.82352941
down,0,0.344,1,2,8,4,1,blue,blue,right,1,tt,001,2022-03-16_15h51.09.254,stroop,2021.2.3,MacIntel,58.82352941
right,0,0.663,1,3,9,2,1,green,green,down,1,tt,001,2022-03-16_15h51.09.254,stroop,2021.2.3,MacIntel,58.82352941
down,0,0.662,1,4,10,5,1,blue,red,left,0,tt,001,2022-03-16_15h51.09.254,stroop,2021.2.3,MacIntel,58.82352941
left,0,1.031,1,5,11,3,1,green,blue,right,0,tt,001,2022-03-16_15h51.09.254,stroop,2021.2.3,MacIntel,58.82352941
right,0,0.488,2,0,12,2,1,green,green,down,1,tt,001,2022-03-16_15h51.09.254,stroop,2021.2.3,MacIntel,58.82352941
down,0,1.462,2,1,13,4,1,blue,blue,right,1,tt,001,2022-03-16_15h51.09.254,stroop,2021.2.3,MacIntel,58.82352941
left,1,0.546,2,2,14,5,1,blue,red,left,0,tt,001,2022-03-16_15h51.09.254,stroop,2021.2.3,MacIntel,58.82352941
left,1,0.723,2,3,15,0,1,red,red,left,1,tt,001,2022-03-16_15h51.09.254,stroop,2021.2.3,MacIntel,58.82352941
down,0,0.73,2,4,16,3,1,green,blue,right,0,tt,001,2022-03-16_15h51.09.254,stroop,2021.2.3,MacIntel,58.82352941
right,0,0.759,2,5,17,1,1,red,green,down,0,tt,001,2022-03-16_15h51.09.254,stroop,2021.2.3,MacIntel,58.82352941
left,1,0.662,3,0,18,5,1,blue,red,left,0,tt,001,2022-03-16_15h51.09.254,stroop,2021.2.3,MacIntel,58.82352941
right,0,0.511,3,1,19,2,1,green,green,down,1,tt,001,2022-03-16_15h51.09.254,stroop,2021.2.3,MacIntel,58.82352941
down,0,0.327,3,2,20,4,1,blue,blue,right,1,tt,001,2022-03-16_15h51.09.254,stroop,2021.2.3,MacIntel,58.82352941
down,0,0.573,3,3,21,3,1,green,blue,right,0,tt,001,2022-03-16_15h51.09.254,stroop,2021.2.3,MacIntel,58.82352941
right,0,0.416,3,4,22,1,1,red,green,down,0,tt,001,2022-03-16_15h51.09.254,stroop,2021.2.3,MacIntel,58.82352941
left,1,0.518,3,5,23,0,1,red,red,left,1,tt,001,2022-03-16_15h51.09.254,stroop,2021.2.3,MacIntel,58.82352941
down,1,0.654,4,0,24,2,1,green,green,down,1,tt,001,2022-03-16_15h51.09.254,stroop,2021.2.3,MacIntel,58.82352941
down,0,1.091,4,1,25,5,1,blue,red,left,0,tt,001,2022-03-16_15h51.09.254,stroop,2021.2.3,MacIntel,58.82352941
right,1,1.162,4,2,26,3,1,green,blue,right,0,tt,001,2022-03-16_15h51.09.254,stroop,2021.2.3,MacIntel,58.82352941
down,0,0.459,4,3,27,4,1,blue,blue,right,1,tt,001,2022-03-16_15h51.09.254,stroop,2021.2.3,MacIntel,58.82352941
left,1,0.629,4,4,28,0,1,red,red,left,1,tt,001,2022-03-16_15h51.09.254,stroop,2021.2.3,MacIntel,58.82352941
right,0,0.598,4,5,29,1,1,red,green,down,0,tt,001,2022-03-16_15h51.09.254,stroop,2021.2.3,MacIntel,58.82352941
