resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
right,0,2.76,0,0,0,0,1,red,red,left,1,xxx,001,2022-02-20_19h00.11.714,stroop,2021.2.3,Linux x86_64,60.01680471
right,1,2.0268,0,1,1,3,1,green,blue,right,0,xxx,001,2022-02-20_19h00.11.714,stroop,2021.2.3,Linux x86_64,60.01680471
right,0,1.0569,0,2,2,5,1,blue,red,left,0,xxx,001,2022-02-20_19h00.11.714,stroop,2021.2.3,Linux x86_64,60.01680471
down,1,1.0814,0,3,3,2,1,green,green,down,1,xxx,001,2022-02-20_19h00.11.714,stroop,2021.2.3,Linux x86_64,60.01680471
down,0,0.6335,0,4,4,4,1,blue,blue,right,1,xxx,001,2022-02-20_19h00.11.714,stroop,2021.2.3,Linux x86_64,60.01680471
left,0,0.3548,0,5,5,1,1,red,green,down,0,xxx,001,2022-02-20_19h00.11.714,stroop,2021.2.3,Linux x86_64,60.01680471
left,0,0.5119,1,0,6,4,1,blue,blue,right,1,xxx,001,2022-02-20_19h00.11.714,stroop,2021.2.3,Linux x86_64,60.01680471
right,0,1.7096,1,1,7,1,1,red,green,down,0,xxx,001,2022-02-20_19h00.11.714,stroop,2021.2.3,Linux x86_64,60.01680471
right,0,0.3609,1,2,8,0,1,red,red,left,1,xxx,001,2022-02-20_19h00.11.714,stroop,2021.2.3,Linux x86_64,60.01680471
right,0,0.3265,1,3,9,2,1,green,green,down,1,xxx,001,2022-02-20_19h00.11.714,stroop,2021.2.3,Linux x86_64,60.01680471
right,1,0.387,1,4,10,3,1,green,blue,right,0,xxx,001,2022-02-20_19h00.11.714,stroop,2021.2.3,Linux x86_64,60.01680471
left,1,0.4011,1,5,11,5,1,blue,red,left,0,xxx,001,2022-02-20_19h00.11.714,stroop,2021.2.3,Linux x86_64,60.01680471
