resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
right,0,6.7378,0,0,0,1,1,red,green,down,0,zion,001,2022-03-06_13h21.05.513,stroop,2021.2.3,Win32,59.47071067
left,1,1.4969,0,1,1,5,1,blue,red,left,0,zion,001,2022-03-06_13h21.05.513,stroop,2021.2.3,Win32,59.47071067
left,1,1.9833,0,2,2,0,1,red,red,left,1,zion,001,2022-03-06_13h21.05.513,stroop,2021.2.3,Win32,59.47071067
down,0,1.1816,0,3,3,4,1,blue,blue,right,1,zion,001,2022-03-06_13h21.05.513,stroop,2021.2.3,Win32,59.47071067
down,0,1.0005,0,4,4,3,1,green,blue,right,0,zion,001,2022-03-06_13h21.05.513,stroop,2021.2.3,Win32,59.47071067
right,0,1.8149,0,5,5,2,1,green,green,down,1,zion,001,2022-03-06_13h21.05.513,stroop,2021.2.3,Win32,59.47071067
down,0,0.7783,1,0,6,3,1,green,blue,right,0,zion,001,2022-03-06_13h21.05.513,stroop,2021.2.3,Win32,59.47071067
down,0,0.8156,1,1,7,4,1,blue,blue,right,1,zion,001,2022-03-06_13h21.05.513,stroop,2021.2.3,Win32,59.47071067
left,1,0.7527,1,2,8,5,1,blue,red,left,0,zion,001,2022-03-06_13h21.05.513,stroop,2021.2.3,Win32,59.47071067
right,0,0.8684,1,3,9,1,1,red,green,down,0,zion,001,2022-03-06_13h21.05.513,stroop,2021.2.3,Win32,59.47071067
left,1,0.7201,1,4,10,0,1,red,red,left,1,zion,001,2022-03-06_13h21.05.513,stroop,2021.2.3,Win32,59.47071067
right,0,2.1189,1,5,11,2,1,green,green,down,1,zion,001,2022-03-06_13h21.05.513,stroop,2021.2.3,Win32,59.47071067
right,0,0.7313,2,0,12,2,1,green,green,down,1,zion,001,2022-03-06_13h21.05.513,stroop,2021.2.3,Win32,59.47071067
left,1,0.8031,2,1,13,5,1,blue,red,left,0,zion,001,2022-03-06_13h21.05.513,stroop,2021.2.3,Win32,59.47071067
left,1,0.841,2,2,14,0,1,red,red,left,1,zion,001,2022-03-06_13h21.05.513,stroop,2021.2.3,Win32,59.47071067
down,0,2.8649,2,3,15,4,1,blue,blue,right,1,zion,001,2022-03-06_13h21.05.513,stroop,2021.2.3,Win32,59.47071067
