resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
down,0,6.7704,0,0,0,3,1,green,blue,right,0,zy,001,2022-03-11_19h52.30.098,stroop,2021.2.3,Win32,60.1612321
left,1,31.4813,0,1,1,0,1,red,red,left,1,zy,001,2022-03-11_19h52.30.098,stroop,2021.2.3,Win32,60.1612321
right,0,1.4165,0,2,2,2,1,green,green,down,1,zy,001,2022-03-11_19h52.30.098,stroop,2021.2.3,Win32,60.1612321
down,0,0.7267,0,3,3,4,1,blue,blue,right,1,zy,001,2022-03-11_19h52.30.098,stroop,2021.2.3,Win32,60.1612321
left,1,1.9657,0,4,4,5,1,blue,red,left,0,zy,001,2022-03-11_19h52.30.098,stroop,2021.2.3,Win32,60.1612321
right,0,1.2,0,5,5,1,1,red,green,down,0,zy,001,2022-03-11_19h52.30.098,stroop,2021.2.3,Win32,60.1612321
right,0,1.5984,1,0,6,1,1,red,green,down,0,zy,001,2022-03-11_19h52.30.098,stroop,2021.2.3,Win32,60.1612321
down,0,0.7033,1,1,7,4,1,blue,blue,right,1,zy,001,2022-03-11_19h52.30.098,stroop,2021.2.3,Win32,60.1612321
down,0,1.0793,1,2,8,3,1,green,blue,right,0,zy,001,2022-03-11_19h52.30.098,stroop,2021.2.3,Win32,60.1612321
left,1,1.0548,1,3,9,5,1,blue,red,left,0,zy,001,2022-03-11_19h52.30.098,stroop,2021.2.3,Win32,60.1612321
right,0,0.6017,1,4,10,2,1,green,green,down,1,zy,001,2022-03-11_19h52.30.098,stroop,2021.2.3,Win32,60.1612321
left,1,0.9866,1,5,11,0,1,red,red,left,1,zy,001,2022-03-11_19h52.30.098,stroop,2021.2.3,Win32,60.1612321
down,0,2.4871,2,0,12,3,1,green,blue,right,0,zy,001,2022-03-11_19h52.30.098,stroop,2021.2.3,Win32,60.1612321
right,0,55.8138,2,1,13,1,1,red,green,down,0,zy,001,2022-03-11_19h52.30.098,stroop,2021.2.3,Win32,60.1612321
right,0,0.6328,2,2,14,2,1,green,green,down,1,zy,001,2022-03-11_19h52.30.098,stroop,2021.2.3,Win32,60.1612321
left,1,0.8633,2,3,15,0,1,red,red,left,1,zy,001,2022-03-11_19h52.30.098,stroop,2021.2.3,Win32,60.1612321
down,0,0.8562,2,4,16,4,1,blue,blue,right,1,zy,001,2022-03-11_19h52.30.098,stroop,2021.2.3,Win32,60.1612321
left,1,0.9504,2,5,17,5,1,blue,red,left,0,zy,001,2022-03-11_19h52.30.098,stroop,2021.2.3,Win32,60.1612321
right,0,0.7641,3,0,18,2,1,green,green,down,1,zy,001,2022-03-11_19h52.30.098,stroop,2021.2.3,Win32,60.1612321
down,0,0.3461,3,1,19,3,1,green,blue,right,0,zy,001,2022-03-11_19h52.30.098,stroop,2021.2.3,Win32,60.1612321
left,1,0.8207,3,2,20,5,1,blue,red,left,0,zy,001,2022-03-11_19h52.30.098,stroop,2021.2.3,Win32,60.1612321
left,1,0.701,3,3,21,0,1,red,red,left,1,zy,001,2022-03-11_19h52.30.098,stroop,2021.2.3,Win32,60.1612321
right,0,0.6503,3,4,22,1,1,red,green,down,0,zy,001,2022-03-11_19h52.30.098,stroop,2021.2.3,Win32,60.1612321
down,0,0.8813,3,5,23,4,1,blue,blue,right,1,zy,001,2022-03-11_19h52.30.098,stroop,2021.2.3,Win32,60.1612321
right,0,1.5473,4,0,24,2,1,green,green,down,1,zy,001,2022-03-11_19h52.30.098,stroop,2021.2.3,Win32,60.1612321
left,1,2.3424,4,1,25,0,1,red,red,left,1,zy,001,2022-03-11_19h52.30.098,stroop,2021.2.3,Win32,60.1612321
down,0,1.8798,4,2,26,3,1,green,blue,right,0,zy,001,2022-03-11_19h52.30.098,stroop,2021.2.3,Win32,60.1612321
right,0,2.1014,4,3,27,1,1,red,green,down,0,zy,001,2022-03-11_19h52.30.098,stroop,2021.2.3,Win32,60.1612321
down,0,1.8789,4,4,28,4,1,blue,blue,right,1,zy,001,2022-03-11_19h52.30.098,stroop,2021.2.3,Win32,60.1612321
left,1,0.8388,4,5,29,5,1,blue,red,left,0,zy,001,2022-03-11_19h52.30.098,stroop,2021.2.3,Win32,60.1612321
