startMouse.x,startMouse.y,startMouse.leftButton,startMouse.midButton,startMouse.rightButton,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,corr,targetOri,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,targetCol,distractorCol,mixedOris,setSize,participant,session,date,expName,psychopyVersion,OS,frameRate
-0.128703704,-0.171296296,1,0,0,-0.023148148,-0.162962963,1,0,0,1.032,1,"[-0.06,-0.18]",0,0,0,2,1,black,black,1,5,Joely,001,2022-02-28_15h35.10.365,visual-search,2020.2.8,Win32,60
,,,,,0.351851852,0.078703704,1,0,0,1.0571,1,"[0.3,0.09]",0,1,1,3,1,black,black,1,5,Joely,001,2022-02-28_15h35.10.365,visual-search,2020.2.8,Win32,60
,,,,,0.047222222,0.286111111,1,0,0,2.7437,1,"[0.06,0.27]",0,2,2,7,1,black,black,1,20,Joely,001,2022-02-28_15h35.10.365,visual-search,2020.2.8,Win32,60
,,,,,-0.325925926,-0.225925926,1,0,0,0.9753,1,"[-0.3,-0.24000000000000005]",0,3,3,9,1,red,black,1,20,Joely,001,2022-02-28_15h35.10.365,visual-search,2020.2.8,Win32,60
,,,,,-0.165740741,0.12037037,1,0,0,0.892,1,"[-0.18,0.15]",0,4,4,5,1,black,black,0,20,Joely,001,2022-02-28_15h35.10.365,visual-search,2020.2.8,Win32,60
,,,,,-0.046296296,-0.105555556,1,0,0,0.5918,1,"[0,-0.09000000000000002]",0,5,5,0,1,black,black,1,5,Joely,001,2022-02-28_15h35.10.365,visual-search,2020.2.8,Win32,60
,,,,,-0.080555556,-0.124074074,1,0,0,0.689,1,"[-0.09,-0.14999999999999997]",0,6,6,8,1,black,black,1,20,Joely,001,2022-02-28_15h35.10.365,visual-search,2020.2.8,Win32,60
,,,,,-0.208333333,0.202777778,1,0,0,0.9091,1,"[-0.18,0.24]",0,7,7,1,1,black,black,1,5,Joely,001,2022-02-28_15h35.10.365,visual-search,2020.2.8,Win32,60
,,,,,0.133333333,0.039814815,1,0,0,5.296,1,"[0.14999999999999997,0.06]",0,8,8,6,1,black,black,1,20,Joely,001,2022-02-28_15h35.10.365,visual-search,2020.2.8,Win32,60
,,,,,0.171296296,0.001851852,1,0,0,0.8408,1,"[0.21000000000000002,0.02999999999999997]",0,9,9,4,1,black,black,1,5,Joely,001,2022-02-28_15h35.10.365,visual-search,2020.2.8,Win32,60
