startMouse.x,startMouse.y,startMouse.leftButton,startMouse.midButton,startMouse.rightButton,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,corr,targetOri,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,targetCol,distractorCol,mixedOris,setSize,participant,session,date,expName,psychopyVersion,OS,frameRate
0.061111111,-0.185185185,1,0,0,-0.034259259,0.22962963,1,0,0,1.7352,1,"[0,0.21]",0,0,0,1,1,black,black,1,5,,001,2022-02-28_15h47.33.373,visual-search,2020.2.8,Win32,60
,,,,,-0.25,0.206481481,1,0,0,0.9275,1,"[-0.21,0.18]",0,1,1,0,1,black,black,1,5,,001,2022-02-28_15h47.33.373,visual-search,2020.2.8,Win32,60
,,,,,0.240740741,0.243518519,1,0,0,0.6097,1,"[0.26999999999999996,0.24]",0,2,2,3,1,black,black,1,5,,001,2022-02-28_15h47.33.373,visual-search,2020.2.8,Win32,60
,,,,,0.147222222,-0.350925926,1,0,0,0.8279,1,"[0.12,-0.3]",0,3,3,2,1,black,black,1,5,,001,2022-02-28_15h47.33.373,visual-search,2020.2.8,Win32,60
,,,,,-0.231481481,-0.200925926,1,0,0,0.7262,1,"[-0.27,-0.24000000000000005]",0,4,4,9,1,red,black,1,20,,001,2022-02-28_15h47.33.373,visual-search,2020.2.8,Win32,60
,,,,,-0.237962963,-0.026851852,1,0,0,0.9466,1,"[-0.24,-0.02999999999999997]",0,5,5,7,1,black,black,1,20,,001,2022-02-28_15h47.33.373,visual-search,2020.2.8,Win32,60
,,,,,0.174074074,-0.035185185,1,0,0,2.6957,1,"[0.18,-0.02999999999999997]",0,6,6,8,1,black,black,1,20,,001,2022-02-28_15h47.33.373,visual-search,2020.2.8,Win32,60
,,,,,-0.060185185,-0.2,1,0,0,1.2805,1,"[-0.06,-0.24000000000000005]",0,7,7,6,1,black,black,1,20,,001,2022-02-28_15h47.33.373,visual-search,2020.2.8,Win32,60
,,,,,0.04537037,-0.194444444,1,0,0,0.96,1,"[0.06,-0.14999999999999997]",0,8,8,5,1,black,black,0,20,,001,2022-02-28_15h47.33.373,visual-search,2020.2.8,Win32,60
,,,,,-0.113888889,-0.188888889,1,0,0,0.7292,1,"[-0.15,-0.14999999999999997]",0,9,9,4,1,black,black,1,5,,001,2022-02-28_15h47.33.373,visual-search,2020.2.8,Win32,60
