targetCol,distractorCol,mixedOris,setSize,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instrTxt.started,instrTxt.stopped,startMouse.x,startMouse.y,startMouse.leftButton,startMouse.midButton,startMouse.rightButton,startMouse.started,startMouse.stopped,Tstim.started,Tstim.stopped,Tstim_2.started,Tstim_2.stopped,Tstim_3.started,Tstim_3.stopped,Tstim_4.started,Tstim_4.stopped,Tstim_5.started,Tstim_5.stopped,Tstim_6.started,Tstim_6.stopped,Tstim_7.started,Tstim_7.stopped,Tstim_8.started,Tstim_8.stopped,Tstim_9.started,Tstim_9.stopped,Tstim_10.started,Tstim_10.stopped,Tstim_11.started,Tstim_11.stopped,Tstim_12.started,Tstim_12.stopped,Tstim_13.started,Tstim_13.stopped,Tstim_14.started,Tstim_14.stopped,Tstim_15.started,Tstim_15.stopped,Tstim_16.started,Tstim_16.stopped,Tstim_17.started,Tstim_17.stopped,Tstim_18.started,Tstim_18.stopped,Tstim_19.started,Tstim_19.stopped,Tstim_20.started,Tstim_20.stopped,Lstim.started,Lstim.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,corr,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,11.906961000000592,None,-0.018333333333333333,0.14666666666666667,1,0,0,0.00684052990982309,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Nov_28_2046,visual-search,2020.2.8,59.852356208760156,
black,black,1,5,0,0,0,2,,,,,,,,,,12.81682250002632,None,12.81682250002632,None,12.81682250002632,None,12.81682250002632,None,12.81682250002632,None,12.81682250002632,None,12.81682250002632,None,12.81682250002632,None,12.81682250002632,None,12.81682250002632,None,12.81682250002632,None,12.81682250002632,None,12.81682250002632,None,12.81682250002632,None,12.81682250002632,None,12.81682250002632,None,12.81682250002632,None,12.81682250002632,None,12.81682250002632,None,12.81682250002632,None,12.81682250002632,None,0.0775,-0.1625,1,0,0,3.6075940000009723,0.004461320000700653,None,1,16.407210300007137,None,,001,2020_Nov_28_2046,visual-search,2020.2.8,59.852356208760156,
black,black,1,5,0,1,1,4,,,,,,,,,,17.484602900018217,None,17.484602900018217,None,17.484602900018217,None,17.484602900018217,None,17.484602900018217,None,17.484602900018217,None,17.484602900018217,None,17.484602900018217,None,17.484602900018217,None,17.484602900018217,None,17.484602900018217,None,17.484602900018217,None,17.484602900018217,None,17.484602900018217,None,17.484602900018217,None,17.484602900018217,None,17.484602900018217,None,17.484602900018217,None,17.484602900018217,None,17.484602900018217,None,17.484602900018217,None,-0.21666666666666667,-0.055,1,0,0,1.5870599999907427,0.001742570020724088,None,1,19.043083100026706,None,,001,2020_Nov_28_2046,visual-search,2020.2.8,59.852356208760156,
black,black,1,20,0,2,2,7,,,,,,,,,,20.154199600016,None,20.154199600016,None,20.154199600016,None,20.154199600016,None,20.154199600016,None,20.154199600016,None,20.154199600016,None,20.154199600016,None,20.154199600016,None,20.154199600016,None,20.154199600016,None,20.154199600016,None,20.154199600016,None,20.154199600016,None,20.154199600016,None,20.154199600016,None,20.154199600016,None,20.154199600016,None,20.154199600016,None,20.154199600016,None,20.154199600016,None,-0.05416666666666667,0.25083333333333335,1,0,0,1.973008100001607,0.004789950035046786,None,1,22.09554810001282,None,,001,2020_Nov_28_2046,visual-search,2020.2.8,59.852356208760156,
red,black,1,20,0,3,3,9,,,,,,,,,,23.183377700013807,None,23.183377700013807,None,23.183377700013807,None,23.183377700013807,None,23.183377700013807,None,23.183377700013807,None,23.183377700013807,None,23.183377700013807,None,23.183377700013807,None,23.183377700013807,None,23.183377700013807,None,23.183377700013807,None,23.183377700013807,None,23.183377700013807,None,23.183377700013807,None,23.183377700013807,None,23.183377700013807,None,23.183377700013807,None,23.183377700013807,None,23.183377700013807,None,23.183377700013807,None,0.19,0.06916666666666667,1,0,0,1.2196567000064533,0.0015773600025568157,None,1,24.380899500014493,None,,001,2020_Nov_28_2046,visual-search,2020.2.8,59.852356208760156,
black,black,1,5,0,4,4,1,,,,,,,,,,25.456735700019635,None,25.456735700019635,None,25.456735700019635,None,25.456735700019635,None,25.456735700019635,None,25.456735700019635,None,25.456735700019635,None,25.456735700019635,None,25.456735700019635,None,25.456735700019635,None,25.456735700019635,None,25.456735700019635,None,25.456735700019635,None,25.456735700019635,None,25.456735700019635,None,25.456735700019635,None,25.456735700019635,None,25.456735700019635,None,25.456735700019635,None,25.456735700019635,None,25.456735700019635,None,-0.19,0.050833333333333335,1,0,0,1.0247362999944016,0.007051659980788827,None,1,26.465540600009263,None,,001,2020_Nov_28_2046,visual-search,2020.2.8,59.852356208760156,
black,black,0,20,0,5,5,5,,,,,,,,,,27.563312100013718,None,27.563312100013718,None,27.563312100013718,None,27.563312100013718,None,27.563312100013718,None,27.563312100013718,None,27.563312100013718,None,27.563312100013718,None,27.563312100013718,None,27.563312100013718,None,27.563312100013718,None,27.563312100013718,None,27.563312100013718,None,27.563312100013718,None,27.563312100013718,None,27.563312100013718,None,27.563312100013718,None,27.563312100013718,None,27.563312100013718,None,27.563312100013718,None,27.563312100013718,None,0.020833333333333332,0.1525,1,0,0,2.4652742000180297,0.012936949962750077,None,1,30.001968900003703,None,,001,2020_Nov_28_2046,visual-search,2020.2.8,59.852356208760156,
black,black,1,5,0,6,6,0,,,,,,,,,,31.136389700026484,None,31.136389700026484,None,31.136389700026484,None,31.136389700026484,None,31.136389700026484,None,31.136389700026484,None,31.136389700026484,None,31.136389700026484,None,31.136389700026484,None,31.136389700026484,None,31.136389700026484,None,31.136389700026484,None,31.136389700026484,None,31.136389700026484,None,31.136389700026484,None,31.136389700026484,None,31.136389700026484,None,31.136389700026484,None,31.136389700026484,None,31.136389700026484,None,31.136389700026484,None,0.0375,0.19916666666666666,1,0,0,1.480419300001813,0.01013733001309447,None,1,32.58987910000724,None,,001,2020_Nov_28_2046,visual-search,2020.2.8,59.852356208760156,
black,black,1,5,0,7,7,3,,,,,,,,,,33.70872270001564,None,33.70872270001564,None,33.70872270001564,None,33.70872270001564,None,33.70872270001564,None,33.70872270001564,None,33.70872270001564,None,33.70872270001564,None,33.70872270001564,None,33.70872270001564,None,33.70872270001564,None,33.70872270001564,None,33.70872270001564,None,33.70872270001564,None,33.70872270001564,None,33.70872270001564,None,33.70872270001564,None,33.70872270001564,None,33.70872270001564,None,33.70872270001564,None,33.70872270001564,None,-0.004166666666666667,-0.1525,1,0,0,1.4398479999799747,0.0053556500060949475,None,1,35.12277310001082,None,,001,2020_Nov_28_2046,visual-search,2020.2.8,59.852356208760156,
black,black,1,20,0,8,8,8,,,,,,,,,,36.208693300024606,None,36.208693300024606,None,36.208693300024606,None,36.208693300024606,None,36.208693300024606,None,36.208693300024606,None,36.208693300024606,None,36.208693300024606,None,36.208693300024606,None,36.208693300024606,None,36.208693300024606,None,36.208693300024606,None,36.208693300024606,None,36.208693300024606,None,36.208693300024606,None,36.208693300024606,None,36.208693300024606,None,36.208693300024606,None,36.208693300024606,None,36.208693300024606,None,36.208693300024606,None,-0.195,-0.17833333333333334,1,0,0,1.7330559000256471,0.014885150012560189,None,1,37.92527870001504,None,,001,2020_Nov_28_2046,visual-search,2020.2.8,59.852356208760156,
