startMouse.x,startMouse.y,startMouse.leftButton,startMouse.midButton,startMouse.rightButton,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,corr,targetOri,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,targetCol,distractorCol,mixedOris,setSize,participant,session,date,expName,psychopyVersion,OS,frameRate
0.015740741,0.047222222,1,0,0,0.056018519,-0.181944444,1,0,0,1.29072,1,"[0.06,-0.14999999999999997]",0,0,0,2,1,black,black,1,5,sfsd,001,2021-01-28_13h08.47.260,visual-search,2020.2.8,Win32,60
,,,,,0.166203704,0.198148148,1,0,0,1.190615,1,"[0.18,0.21]",0,1,1,9,1,red,black,1,20,sfsd,001,2021-01-28_13h08.47.260,visual-search,2020.2.8,Win32,60
,,,,,0.224537037,0.061111111,1,0,0,1.693315,1,"[0.24000000000000005,0.06]",0,2,2,3,1,black,black,1,5,sfsd,001,2021-01-28_13h08.47.260,visual-search,2020.2.8,Win32,60
,,,,,0.139351852,-0.169907407,1,0,0,2.14307,1,"[0.12,-0.14999999999999997]",0,3,3,6,1,black,black,1,20,sfsd,001,2021-01-28_13h08.47.260,visual-search,2020.2.8,Win32,60
,,,,,0.141666667,-0.165277778,1,0,0,1.042525,1,"[0.14999999999999997,-0.14999999999999997]",0,4,4,4,1,black,black,1,5,sfsd,001,2021-01-28_13h08.47.260,visual-search,2020.2.8,Win32,60
,,,,,0.063425926,0.001388889,1,0,0,1.159615,1,"[0.09000000000000002,0]",0,5,5,0,1,black,black,1,5,sfsd,001,2021-01-28_13h08.47.260,visual-search,2020.2.8,Win32,60
,,,,,0.071759259,0.052777778,1,0,0,1.293045,1,"[0.06,0.02999999999999997]",0,6,6,8,1,black,black,1,20,sfsd,001,2021-01-28_13h08.47.260,visual-search,2020.2.8,Win32,60
,,,,,-0.25,-0.06712963,1,0,0,2.72787,1,"[-0.27,-0.09000000000000002]",0,7,7,7,1,black,black,1,20,sfsd,001,2021-01-28_13h08.47.260,visual-search,2020.2.8,Win32,60
,,,,,0.30462963,-0.313425926,1,0,0,1.860355,1,"[0.3,-0.3]",0,8,8,1,1,black,black,1,5,sfsd,001,2021-01-28_13h08.47.260,visual-search,2020.2.8,Win32,60
,,,,,0.022222222,-0.27037037,1,0,0,1.65997,1,"[0.02999999999999997,-0.24000000000000005]",0,9,9,5,1,black,black,0,20,sfsd,001,2021-01-28_13h08.47.260,visual-search,2020.2.8,Win32,60
