resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
right,1,0.930700001,0,0,0,3,1,green,blue,right,0,0,001,2022-02-25_14h53.44.372,stroop,2021.2.3,Win32,60.69802731
right,1,0.5714,0,1,1,4,1,blue,blue,right,1,0,001,2022-02-25_14h53.44.372,stroop,2021.2.3,Win32,60.69802731
down,1,0.5992,0,2,2,2,1,green,green,down,1,0,001,2022-02-25_14h53.44.372,stroop,2021.2.3,Win32,60.69802731
down,1,0.7632,0,3,3,1,1,red,green,down,0,0,001,2022-02-25_14h53.44.372,stroop,2021.2.3,Win32,60.69802731
left,1,0.6039,0,4,4,0,1,red,red,left,1,0,001,2022-02-25_14h53.44.372,stroop,2021.2.3,Win32,60.69802731
left,1,0.7655,0,5,5,5,1,blue,red,left,0,0,001,2022-02-25_14h53.44.372,stroop,2021.2.3,Win32,60.69802731
left,1,0.7354,1,0,6,0,1,red,red,left,1,0,001,2022-02-25_14h53.44.372,stroop,2021.2.3,Win32,60.69802731
left,1,0.941200001,1,1,7,5,1,blue,red,left,0,0,001,2022-02-25_14h53.44.372,stroop,2021.2.3,Win32,60.69802731
down,1,0.8008,1,2,8,1,1,red,green,down,0,0,001,2022-02-25_14h53.44.372,stroop,2021.2.3,Win32,60.69802731
right,1,0.907400001,1,3,9,4,1,blue,blue,right,1,0,001,2022-02-25_14h53.44.372,stroop,2021.2.3,Win32,60.69802731
right,1,0.5534,1,4,10,3,1,green,blue,right,0,0,001,2022-02-25_14h53.44.372,stroop,2021.2.3,Win32,60.69802731
down,1,0.518200001,1,5,11,2,1,green,green,down,1,0,001,2022-02-25_14h53.44.372,stroop,2021.2.3,Win32,60.69802731
down,1,0.418700001,2,0,12,1,1,red,green,down,0,0,001,2022-02-25_14h53.44.372,stroop,2021.2.3,Win32,60.69802731
left,1,0.5244,2,1,13,0,1,red,red,left,1,0,001,2022-02-25_14h53.44.372,stroop,2021.2.3,Win32,60.69802731
right,1,0.4092,2,2,14,3,1,green,blue,right,0,0,001,2022-02-25_14h53.44.372,stroop,2021.2.3,Win32,60.69802731
down,1,0.5846,2,3,15,2,1,green,green,down,1,0,001,2022-02-25_14h53.44.372,stroop,2021.2.3,Win32,60.69802731
left,1,0.5984,2,4,16,5,1,blue,red,left,0,0,001,2022-02-25_14h53.44.372,stroop,2021.2.3,Win32,60.69802731
right,1,0.784700001,2,5,17,4,1,blue,blue,right,1,0,001,2022-02-25_14h53.44.372,stroop,2021.2.3,Win32,60.69802731
down,1,0.6015,3,0,18,2,1,green,green,down,1,0,001,2022-02-25_14h53.44.372,stroop,2021.2.3,Win32,60.69802731
down,1,1.1642,3,1,19,1,1,red,green,down,0,0,001,2022-02-25_14h53.44.372,stroop,2021.2.3,Win32,60.69802731
left,1,0.6309,3,2,20,0,1,red,red,left,1,0,001,2022-02-25_14h53.44.372,stroop,2021.2.3,Win32,60.69802731
right,1,0.5132,3,3,21,4,1,blue,blue,right,1,0,001,2022-02-25_14h53.44.372,stroop,2021.2.3,Win32,60.69802731
left,1,0.63,3,4,22,5,1,blue,red,left,0,0,001,2022-02-25_14h53.44.372,stroop,2021.2.3,Win32,60.69802731
right,1,0.6375,3,5,23,3,1,green,blue,right,0,0,001,2022-02-25_14h53.44.372,stroop,2021.2.3,Win32,60.69802731
down,1,0.701900001,4,0,24,1,1,red,green,down,0,0,001,2022-02-25_14h53.44.372,stroop,2021.2.3,Win32,60.69802731
left,1,0.7074,4,1,25,0,1,red,red,left,1,0,001,2022-02-25_14h53.44.372,stroop,2021.2.3,Win32,60.69802731
left,1,0.4734,4,2,26,5,1,blue,red,left,0,0,001,2022-02-25_14h53.44.372,stroop,2021.2.3,Win32,60.69802731
right,1,0.6402,4,3,27,3,1,green,blue,right,0,0,001,2022-02-25_14h53.44.372,stroop,2021.2.3,Win32,60.69802731
down,1,0.7468,4,4,28,2,1,green,green,down,1,0,001,2022-02-25_14h53.44.372,stroop,2021.2.3,Win32,60.69802731
right,1,0.652900001,4,5,29,4,1,blue,blue,right,1,0,001,2022-02-25_14h53.44.372,stroop,2021.2.3,Win32,60.69802731
