resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
down,1,2.475,0,0,0,1,1,red,green,down,0,47093196,001,2022-03-18_12h13.17,stroop,2021.2.3,MacIntel,62.5
left,1,0.934,0,1,1,0,1,red,red,left,1,47093196,001,2022-03-18_12h13.17,stroop,2021.2.3,MacIntel,62.5
left,1,1.341,0,2,2,5,1,blue,red,left,0,47093196,001,2022-03-18_12h13.17,stroop,2021.2.3,MacIntel,62.5
right,1,2.208,0,3,3,3,1,green,blue,right,0,47093196,001,2022-03-18_12h13.17,stroop,2021.2.3,MacIntel,62.5
right,1,0.597,0,4,4,4,1,blue,blue,right,1,47093196,001,2022-03-18_12h13.17,stroop,2021.2.3,MacIntel,62.5
down,1,0.607,0,5,5,2,1,green,green,down,1,47093196,001,2022-03-18_12h13.17,stroop,2021.2.3,MacIntel,62.5
right,1,0.559,1,0,6,4,1,blue,blue,right,1,47093196,001,2022-03-18_12h13.17,stroop,2021.2.3,MacIntel,62.5
down,1,0.431,1,1,7,1,1,red,green,down,0,47093196,001,2022-03-18_12h13.17,stroop,2021.2.3,MacIntel,62.5
left,1,0.508,1,2,8,0,1,red,red,left,1,47093196,001,2022-03-18_12h13.17,stroop,2021.2.3,MacIntel,62.5
right,0,2.032,1,3,9,2,1,green,green,down,1,47093196,001,2022-03-18_12h13.17,stroop,2021.2.3,MacIntel,62.5
left,1,1.565,1,4,10,5,1,blue,red,left,0,47093196,001,2022-03-18_12h13.17,stroop,2021.2.3,MacIntel,62.5
down,0,0.695,1,5,11,3,1,green,blue,right,0,47093196,001,2022-03-18_12h13.17,stroop,2021.2.3,MacIntel,62.5
down,0,0.516,2,0,12,3,1,green,blue,right,0,47093196,001,2022-03-18_12h13.17,stroop,2021.2.3,MacIntel,62.5
left,1,1.491,2,1,13,0,1,red,red,left,1,47093196,001,2022-03-18_12h13.17,stroop,2021.2.3,MacIntel,62.5
right,1,5.95,2,2,14,4,1,blue,blue,right,1,47093196,001,2022-03-18_12h13.17,stroop,2021.2.3,MacIntel,62.5
left,1,2.04,2,3,15,5,1,blue,red,left,0,47093196,001,2022-03-18_12h13.17,stroop,2021.2.3,MacIntel,62.5
down,1,1.3,2,4,16,1,1,red,green,down,0,47093196,001,2022-03-18_12h13.17,stroop,2021.2.3,MacIntel,62.5
down,1,2.726,2,5,17,2,1,green,green,down,1,47093196,001,2022-03-18_12h13.17,stroop,2021.2.3,MacIntel,62.5
down,1,1.783,3,0,18,1,1,red,green,down,0,47093196,001,2022-03-18_12h13.17,stroop,2021.2.3,MacIntel,62.5
left,1,0.691,3,1,19,0,1,red,red,left,1,47093196,001,2022-03-18_12h13.17,stroop,2021.2.3,MacIntel,62.5
left,1,0.759,3,2,20,5,1,blue,red,left,0,47093196,001,2022-03-18_12h13.17,stroop,2021.2.3,MacIntel,62.5
right,1,12.147,3,3,21,3,1,green,blue,right,0,47093196,001,2022-03-18_12h13.17,stroop,2021.2.3,MacIntel,62.5
down,1,0.79,3,4,22,2,1,green,green,down,1,47093196,001,2022-03-18_12h13.17,stroop,2021.2.3,MacIntel,62.5
right,1,1.412,3,5,23,4,1,blue,blue,right,1,47093196,001,2022-03-18_12h13.17,stroop,2021.2.3,MacIntel,62.5
left,1,1.033,4,0,24,0,1,red,red,left,1,47093196,001,2022-03-18_12h13.17,stroop,2021.2.3,MacIntel,62.5
right,1,4.215,4,1,25,3,1,green,blue,right,0,47093196,001,2022-03-18_12h13.17,stroop,2021.2.3,MacIntel,62.5
right,1,0.618,4,2,26,4,1,blue,blue,right,1,47093196,001,2022-03-18_12h13.17,stroop,2021.2.3,MacIntel,62.5
down,1,1.041,4,3,27,2,1,green,green,down,1,47093196,001,2022-03-18_12h13.17,stroop,2021.2.3,MacIntel,62.5
right,0,4.326,4,4,28,1,1,red,green,down,0,47093196,001,2022-03-18_12h13.17,stroop,2021.2.3,MacIntel,62.5
down,0,3.932,4,5,29,5,1,blue,red,left,0,47093196,001,2022-03-18_12h13.17,stroop,2021.2.3,MacIntel,62.5
