resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
left,0,0.358200001,0,0,0,3,1,green,blue,right,0,Alain,001,2022-02-08_10h40.54.488,stroop,2021.2.3,Linux x86_64,11.99040767
down,1,0.3569,0,1,1,1,1,red,green,down,0,Alain,001,2022-02-08_10h40.54.488,stroop,2021.2.3,Linux x86_64,11.99040767
right,0,0.348099999,0,2,2,0,1,red,red,left,1,Alain,001,2022-02-08_10h40.54.488,stroop,2021.2.3,Linux x86_64,11.99040767
down,1,0.3744,0,3,3,2,1,green,green,down,1,Alain,001,2022-02-08_10h40.54.488,stroop,2021.2.3,Linux x86_64,11.99040767
left,1,0.3461,0,4,4,5,1,blue,red,left,0,Alain,001,2022-02-08_10h40.54.488,stroop,2021.2.3,Linux x86_64,11.99040767
down,0,0.438,0,5,5,4,1,blue,blue,right,1,Alain,001,2022-02-08_10h40.54.488,stroop,2021.2.3,Linux x86_64,11.99040767
right,1,0.3636,1,0,6,3,1,green,blue,right,0,Alain,001,2022-02-08_10h40.54.488,stroop,2021.2.3,Linux x86_64,11.99040767
down,0,0.373,1,1,7,5,1,blue,red,left,0,Alain,001,2022-02-08_10h40.54.488,stroop,2021.2.3,Linux x86_64,11.99040767
left,0,0.291200001,1,2,8,2,1,green,green,down,1,Alain,001,2022-02-08_10h40.54.488,stroop,2021.2.3,Linux x86_64,11.99040767
down,1,0.2829,1,3,9,1,1,red,green,down,0,Alain,001,2022-02-08_10h40.54.488,stroop,2021.2.3,Linux x86_64,11.99040767
right,1,0.3656,1,4,10,4,1,blue,blue,right,1,Alain,001,2022-02-08_10h40.54.488,stroop,2021.2.3,Linux x86_64,11.99040767
down,0,0.2216,1,5,11,0,1,red,red,left,1,Alain,001,2022-02-08_10h40.54.488,stroop,2021.2.3,Linux x86_64,11.99040767
left,0,0.352099999,2,0,12,4,1,blue,blue,right,1,Alain,001,2022-02-08_10h40.54.488,stroop,2021.2.3,Linux x86_64,11.99040767
down,1,0.298400001,2,1,13,2,1,green,green,down,1,Alain,001,2022-02-08_10h40.54.488,stroop,2021.2.3,Linux x86_64,11.99040767
left,0,0.2778,2,2,14,1,1,red,green,down,0,Alain,001,2022-02-08_10h40.54.488,stroop,2021.2.3,Linux x86_64,11.99040767
right,1,0.352599999,2,3,15,3,1,green,blue,right,0,Alain,001,2022-02-08_10h40.54.488,stroop,2021.2.3,Linux x86_64,11.99040767
down,0,0.3662,2,4,16,0,1,red,red,left,1,Alain,001,2022-02-08_10h40.54.488,stroop,2021.2.3,Linux x86_64,11.99040767
left,1,0.3501,2,5,17,5,1,blue,red,left,0,Alain,001,2022-02-08_10h40.54.488,stroop,2021.2.3,Linux x86_64,11.99040767
down,1,0.3843,3,0,18,2,1,green,green,down,1,Alain,001,2022-02-08_10h40.54.488,stroop,2021.2.3,Linux x86_64,11.99040767
right,0,0.5535,3,1,19,0,1,red,red,left,1,Alain,001,2022-02-08_10h40.54.488,stroop,2021.2.3,Linux x86_64,11.99040767
down,1,0.2784,3,2,20,1,1,red,green,down,0,Alain,001,2022-02-08_10h40.54.488,stroop,2021.2.3,Linux x86_64,11.99040767
left,1,0.2977,3,3,21,5,1,blue,red,left,0,Alain,001,2022-02-08_10h40.54.488,stroop,2021.2.3,Linux x86_64,11.99040767
down,0,0.3346,3,4,22,4,1,blue,blue,right,1,Alain,001,2022-02-08_10h40.54.488,stroop,2021.2.3,Linux x86_64,11.99040767
right,1,0.2864,3,5,23,3,1,green,blue,right,0,Alain,001,2022-02-08_10h40.54.488,stroop,2021.2.3,Linux x86_64,11.99040767
down,0,0.3417,4,0,24,3,1,green,blue,right,0,Alain,001,2022-02-08_10h40.54.488,stroop,2021.2.3,Linux x86_64,11.99040767
left,1,0.2852,4,1,25,0,1,red,red,left,1,Alain,001,2022-02-08_10h40.54.488,stroop,2021.2.3,Linux x86_64,11.99040767
down,1,0.313400001,4,2,26,1,1,red,green,down,0,Alain,001,2022-02-08_10h40.54.488,stroop,2021.2.3,Linux x86_64,11.99040767
right,0,0.317,4,3,27,5,1,blue,red,left,0,Alain,001,2022-02-08_10h40.54.488,stroop,2021.2.3,Linux x86_64,11.99040767
down,1,0.3577,4,4,28,2,1,green,green,down,1,Alain,001,2022-02-08_10h40.54.488,stroop,2021.2.3,Linux x86_64,11.99040767
left,0,0.2924,4,5,29,4,1,blue,blue,right,1,Alain,001,2022-02-08_10h40.54.488,stroop,2021.2.3,Linux x86_64,11.99040767
