resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
right,1,1.7161,0,0,0,4,1,blue,blue,right,1,Alexia,001,2022-03-09_15h22.28.279,stroop,2021.2.3,MacIntel,59.99880002
right,0,0.7303,0,1,1,5,1,blue,red,left,0,Alexia,001,2022-03-09_15h22.28.279,stroop,2021.2.3,MacIntel,59.99880002
down,0,0.8476,0,2,2,3,1,green,blue,right,0,Alexia,001,2022-03-09_15h22.28.279,stroop,2021.2.3,MacIntel,59.99880002
down,1,0.7329,0,3,3,2,1,green,green,down,1,Alexia,001,2022-03-09_15h22.28.279,stroop,2021.2.3,MacIntel,59.99880002
left,0,0.7494,0,4,4,1,1,red,green,down,0,Alexia,001,2022-03-09_15h22.28.279,stroop,2021.2.3,MacIntel,59.99880002
left,1,0.5709,0,5,5,0,1,red,red,left,1,Alexia,001,2022-03-09_15h22.28.279,stroop,2021.2.3,MacIntel,59.99880002
down,0,0.8498,1,0,6,5,1,blue,red,left,0,Alexia,001,2022-03-09_15h22.28.279,stroop,2021.2.3,MacIntel,59.99880002
down,0,0.5251,1,1,7,4,1,blue,blue,right,1,Alexia,001,2022-03-09_15h22.28.279,stroop,2021.2.3,MacIntel,59.99880002
down,0,0.5002,1,2,8,3,1,green,blue,right,0,Alexia,001,2022-03-09_15h22.28.279,stroop,2021.2.3,MacIntel,59.99880002
left,1,0.9029,1,3,9,0,1,red,red,left,1,Alexia,001,2022-03-09_15h22.28.279,stroop,2021.2.3,MacIntel,59.99880002
down,1,1.1555,1,4,10,2,1,green,green,down,1,Alexia,001,2022-03-09_15h22.28.279,stroop,2021.2.3,MacIntel,59.99880002
left,0,0.7993,1,5,11,1,1,red,green,down,0,Alexia,001,2022-03-09_15h22.28.279,stroop,2021.2.3,MacIntel,59.99880002
left,0,0.7831,2,0,12,1,1,red,green,down,0,Alexia,001,2022-03-09_15h22.28.279,stroop,2021.2.3,MacIntel,59.99880002
right,0,0.566,2,1,13,5,1,blue,red,left,0,Alexia,001,2022-03-09_15h22.28.279,stroop,2021.2.3,MacIntel,59.99880002
down,0,0.733,2,2,14,3,1,green,blue,right,0,Alexia,001,2022-03-09_15h22.28.279,stroop,2021.2.3,MacIntel,59.99880002
down,1,0.6046,2,3,15,2,1,green,green,down,1,Alexia,001,2022-03-09_15h22.28.279,stroop,2021.2.3,MacIntel,59.99880002
left,1,0.5819,2,4,16,0,1,red,red,left,1,Alexia,001,2022-03-09_15h22.28.279,stroop,2021.2.3,MacIntel,59.99880002
right,1,0.6725,2,5,17,4,1,blue,blue,right,1,Alexia,001,2022-03-09_15h22.28.279,stroop,2021.2.3,MacIntel,59.99880002
left,0,0.4476,3,0,18,1,1,red,green,down,0,Alexia,001,2022-03-09_15h22.28.279,stroop,2021.2.3,MacIntel,59.99880002
right,1,0.5337,3,1,19,4,1,blue,blue,right,1,Alexia,001,2022-03-09_15h22.28.279,stroop,2021.2.3,MacIntel,59.99880002
left,1,0.7666,3,2,20,0,1,red,red,left,1,Alexia,001,2022-03-09_15h22.28.279,stroop,2021.2.3,MacIntel,59.99880002
down,1,0.5991,3,3,21,2,1,green,green,down,1,Alexia,001,2022-03-09_15h22.28.279,stroop,2021.2.3,MacIntel,59.99880002
right,0,0.5833,3,4,22,5,1,blue,red,left,0,Alexia,001,2022-03-09_15h22.28.279,stroop,2021.2.3,MacIntel,59.99880002
down,0,0.5991,3,5,23,3,1,green,blue,right,0,Alexia,001,2022-03-09_15h22.28.279,stroop,2021.2.3,MacIntel,59.99880002
down,1,1.4664,4,0,24,2,1,green,green,down,1,Alexia,001,2022-03-09_15h22.28.279,stroop,2021.2.3,MacIntel,59.99880002
left,0,0.6741,4,1,25,1,1,red,green,down,0,Alexia,001,2022-03-09_15h22.28.279,stroop,2021.2.3,MacIntel,59.99880002
left,1,0.6506,4,2,26,0,1,red,red,left,1,Alexia,001,2022-03-09_15h22.28.279,stroop,2021.2.3,MacIntel,59.99880002
down,0,0.6832,4,3,27,3,1,green,blue,right,0,Alexia,001,2022-03-09_15h22.28.279,stroop,2021.2.3,MacIntel,59.99880002
right,0,0.7829,4,4,28,5,1,blue,red,left,0,Alexia,001,2022-03-09_15h22.28.279,stroop,2021.2.3,MacIntel,59.99880002
right,1,0.4499,4,5,29,4,1,blue,blue,right,1,Alexia,001,2022-03-09_15h22.28.279,stroop,2021.2.3,MacIntel,59.99880002
