resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
down,0,1.89,0,0,0,3,1,green,blue,right,0,Alyssa,001,2022-03-13_15h16.48.806,stroop,2021.2.3,MacIntel,63.69426752
right,0,0.982,0,1,1,5,1,blue,red,left,0,Alyssa,001,2022-03-13_15h16.48.806,stroop,2021.2.3,MacIntel,63.69426752
down,1,1.288,0,2,2,2,1,green,green,down,1,Alyssa,001,2022-03-13_15h16.48.806,stroop,2021.2.3,MacIntel,63.69426752
left,1,0.517,0,3,3,0,1,red,red,left,1,Alyssa,001,2022-03-13_15h16.48.806,stroop,2021.2.3,MacIntel,63.69426752
down,1,2.316,0,4,4,1,1,red,green,down,0,Alyssa,001,2022-03-13_15h16.48.806,stroop,2021.2.3,MacIntel,63.69426752
right,1,1.384,0,5,5,4,1,blue,blue,right,1,Alyssa,001,2022-03-13_15h16.48.806,stroop,2021.2.3,MacIntel,63.69426752
right,1,0.957,1,0,6,4,1,blue,blue,right,1,Alyssa,001,2022-03-13_15h16.48.806,stroop,2021.2.3,MacIntel,63.69426752
left,1,1.566,1,1,7,5,1,blue,red,left,0,Alyssa,001,2022-03-13_15h16.48.806,stroop,2021.2.3,MacIntel,63.69426752
down,1,0.99,1,2,8,1,1,red,green,down,0,Alyssa,001,2022-03-13_15h16.48.806,stroop,2021.2.3,MacIntel,63.69426752
right,1,0.775,1,3,9,3,1,green,blue,right,0,Alyssa,001,2022-03-13_15h16.48.806,stroop,2021.2.3,MacIntel,63.69426752
down,1,1,1,4,10,2,1,green,green,down,1,Alyssa,001,2022-03-13_15h16.48.806,stroop,2021.2.3,MacIntel,63.69426752
left,1,1.259,1,5,11,0,1,red,red,left,1,Alyssa,001,2022-03-13_15h16.48.806,stroop,2021.2.3,MacIntel,63.69426752
right,1,1.479,2,0,12,4,1,blue,blue,right,1,Alyssa,001,2022-03-13_15h16.48.806,stroop,2021.2.3,MacIntel,63.69426752
left,1,0.863,2,1,13,0,1,red,red,left,1,Alyssa,001,2022-03-13_15h16.48.806,stroop,2021.2.3,MacIntel,63.69426752
down,1,0.702,2,2,14,2,1,green,green,down,1,Alyssa,001,2022-03-13_15h16.48.806,stroop,2021.2.3,MacIntel,63.69426752
left,1,1.406,2,3,15,5,1,blue,red,left,0,Alyssa,001,2022-03-13_15h16.48.806,stroop,2021.2.3,MacIntel,63.69426752
down,1,0.705,2,4,16,1,1,red,green,down,0,Alyssa,001,2022-03-13_15h16.48.806,stroop,2021.2.3,MacIntel,63.69426752
right,1,2.009,2,5,17,3,1,green,blue,right,0,Alyssa,001,2022-03-13_15h16.48.806,stroop,2021.2.3,MacIntel,63.69426752
left,1,1.007,3,0,18,5,1,blue,red,left,0,Alyssa,001,2022-03-13_15h16.48.806,stroop,2021.2.3,MacIntel,63.69426752
down,1,0.738,3,1,19,2,1,green,green,down,1,Alyssa,001,2022-03-13_15h16.48.806,stroop,2021.2.3,MacIntel,63.69426752
right,1,0.82,3,2,20,3,1,green,blue,right,0,Alyssa,001,2022-03-13_15h16.48.806,stroop,2021.2.3,MacIntel,63.69426752
right,1,0.776,3,3,21,4,1,blue,blue,right,1,Alyssa,001,2022-03-13_15h16.48.806,stroop,2021.2.3,MacIntel,63.69426752
down,1,0.737,3,4,22,1,1,red,green,down,0,Alyssa,001,2022-03-13_15h16.48.806,stroop,2021.2.3,MacIntel,63.69426752
left,1,0.504,3,5,23,0,1,red,red,left,1,Alyssa,001,2022-03-13_15h16.48.806,stroop,2021.2.3,MacIntel,63.69426752
down,1,0.702,4,0,24,1,1,red,green,down,0,Alyssa,001,2022-03-13_15h16.48.806,stroop,2021.2.3,MacIntel,63.69426752
right,1,0.904,4,1,25,4,1,blue,blue,right,1,Alyssa,001,2022-03-13_15h16.48.806,stroop,2021.2.3,MacIntel,63.69426752
left,1,1.152,4,2,26,0,1,red,red,left,1,Alyssa,001,2022-03-13_15h16.48.806,stroop,2021.2.3,MacIntel,63.69426752
down,1,0.985,4,3,27,2,1,green,green,down,1,Alyssa,001,2022-03-13_15h16.48.806,stroop,2021.2.3,MacIntel,63.69426752
right,1,0.74,4,4,28,3,1,green,blue,right,0,Alyssa,001,2022-03-13_15h16.48.806,stroop,2021.2.3,MacIntel,63.69426752
left,1,1.751,4,5,29,5,1,blue,red,left,0,Alyssa,001,2022-03-13_15h16.48.806,stroop,2021.2.3,MacIntel,63.69426752
