resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
right,1,1.568,0,0,0,4,1,blue,blue,right,1,BJK89,001,2022-03-15_14h15.53.849,stroop,2021.2.3,Win32,60.33546519
left,1,0.9241,0,1,1,5,1,blue,red,left,0,BJK89,001,2022-03-15_14h15.53.849,stroop,2021.2.3,Win32,60.33546519
left,1,0.8986,0,2,2,0,1,red,red,left,1,BJK89,001,2022-03-15_14h15.53.849,stroop,2021.2.3,Win32,60.33546519
right,1,0.9859,0,3,3,3,1,green,blue,right,0,BJK89,001,2022-03-15_14h15.53.849,stroop,2021.2.3,Win32,60.33546519
down,1,0.7102,0,4,4,2,1,green,green,down,1,BJK89,001,2022-03-15_14h15.53.849,stroop,2021.2.3,Win32,60.33546519
down,1,0.7869,0,5,5,1,1,red,green,down,0,BJK89,001,2022-03-15_14h15.53.849,stroop,2021.2.3,Win32,60.33546519
left,1,1.2522,1,0,6,5,1,blue,red,left,0,BJK89,001,2022-03-15_14h15.53.849,stroop,2021.2.3,Win32,60.33546519
right,1,1.7008,1,1,7,3,1,green,blue,right,0,BJK89,001,2022-03-15_14h15.53.849,stroop,2021.2.3,Win32,60.33546519
left,1,0.698,1,2,8,0,1,red,red,left,1,BJK89,001,2022-03-15_14h15.53.849,stroop,2021.2.3,Win32,60.33546519
down,1,1.1974,1,3,9,2,1,green,green,down,1,BJK89,001,2022-03-15_14h15.53.849,stroop,2021.2.3,Win32,60.33546519
down,1,0.5817,1,4,10,1,1,red,green,down,0,BJK89,001,2022-03-15_14h15.53.849,stroop,2021.2.3,Win32,60.33546519
right,1,0.9959,1,5,11,4,1,blue,blue,right,1,BJK89,001,2022-03-15_14h15.53.849,stroop,2021.2.3,Win32,60.33546519
right,1,0.4767,2,0,12,4,1,blue,blue,right,1,BJK89,001,2022-03-15_14h15.53.849,stroop,2021.2.3,Win32,60.33546519
left,1,0.6749,2,1,13,0,1,red,red,left,1,BJK89,001,2022-03-15_14h15.53.849,stroop,2021.2.3,Win32,60.33546519
left,1,0.9597,2,2,14,5,1,blue,red,left,0,BJK89,001,2022-03-15_14h15.53.849,stroop,2021.2.3,Win32,60.33546519
down,1,0.6769,2,3,15,2,1,green,green,down,1,BJK89,001,2022-03-15_14h15.53.849,stroop,2021.2.3,Win32,60.33546519
right,1,1.3303,2,4,16,3,1,green,blue,right,0,BJK89,001,2022-03-15_14h15.53.849,stroop,2021.2.3,Win32,60.33546519
down,1,0.5514,2,5,17,1,1,red,green,down,0,BJK89,001,2022-03-15_14h15.53.849,stroop,2021.2.3,Win32,60.33546519
left,1,0.5803,3,0,18,0,1,red,red,left,1,BJK89,001,2022-03-15_14h15.53.849,stroop,2021.2.3,Win32,60.33546519
right,1,0.8306,3,1,19,4,1,blue,blue,right,1,BJK89,001,2022-03-15_14h15.53.849,stroop,2021.2.3,Win32,60.33546519
right,1,0.5465,3,2,20,3,1,green,blue,right,0,BJK89,001,2022-03-15_14h15.53.849,stroop,2021.2.3,Win32,60.33546519
down,1,3.4032,3,3,21,2,1,green,green,down,1,BJK89,001,2022-03-15_14h15.53.849,stroop,2021.2.3,Win32,60.33546519
down,1,0.4275,3,4,22,1,1,red,green,down,0,BJK89,001,2022-03-15_14h15.53.849,stroop,2021.2.3,Win32,60.33546519
left,1,0.632,3,5,23,5,1,blue,red,left,0,BJK89,001,2022-03-15_14h15.53.849,stroop,2021.2.3,Win32,60.33546519
left,1,0.4759,4,0,24,0,1,red,red,left,1,BJK89,001,2022-03-15_14h15.53.849,stroop,2021.2.3,Win32,60.33546519
down,1,0.5326,4,1,25,1,1,red,green,down,0,BJK89,001,2022-03-15_14h15.53.849,stroop,2021.2.3,Win32,60.33546519
left,1,0.7606,4,2,26,5,1,blue,red,left,0,BJK89,001,2022-03-15_14h15.53.849,stroop,2021.2.3,Win32,60.33546519
right,1,0.8313,4,3,27,3,1,green,blue,right,0,BJK89,001,2022-03-15_14h15.53.849,stroop,2021.2.3,Win32,60.33546519
down,1,0.9307,4,4,28,2,1,green,green,down,1,BJK89,001,2022-03-15_14h15.53.849,stroop,2021.2.3,Win32,60.33546519
right,1,1.6409,4,5,29,4,1,blue,blue,right,1,BJK89,001,2022-03-15_14h15.53.849,stroop,2021.2.3,Win32,60.33546519
