resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
left,1,1.8531,0,0,0,5,1,blue,red,left,0,Delphine monneron,001,2022-03-08_13h21.39.827,stroop,2021.2.3,MacIntel,60.0024001
left,1,1.7817,0,1,1,0,1,red,red,left,1,Delphine monneron,001,2022-03-08_13h21.39.827,stroop,2021.2.3,MacIntel,60.0024001
down,1,1.7053,0,2,2,2,1,green,green,down,1,Delphine monneron,001,2022-03-08_13h21.39.827,stroop,2021.2.3,MacIntel,60.0024001
down,1,1.3368,0,3,3,1,1,red,green,down,0,Delphine monneron,001,2022-03-08_13h21.39.827,stroop,2021.2.3,MacIntel,60.0024001
right,1,1.3489,0,4,4,3,1,green,blue,right,0,Delphine monneron,001,2022-03-08_13h21.39.827,stroop,2021.2.3,MacIntel,60.0024001
right,1,0.676,0,5,5,4,1,blue,blue,right,1,Delphine monneron,001,2022-03-08_13h21.39.827,stroop,2021.2.3,MacIntel,60.0024001
down,0,3.9849,1,0,6,3,1,green,blue,right,0,Delphine monneron,001,2022-03-08_13h21.39.827,stroop,2021.2.3,MacIntel,60.0024001
down,1,0.9092,1,1,7,2,1,green,green,down,1,Delphine monneron,001,2022-03-08_13h21.39.827,stroop,2021.2.3,MacIntel,60.0024001
down,1,6.6123,1,2,8,1,1,red,green,down,0,Delphine monneron,001,2022-03-08_13h21.39.827,stroop,2021.2.3,MacIntel,60.0024001
left,1,0.7654,1,3,9,0,1,red,red,left,1,Delphine monneron,001,2022-03-08_13h21.39.827,stroop,2021.2.3,MacIntel,60.0024001
left,1,3.0584,1,4,10,5,1,blue,red,left,0,Delphine monneron,001,2022-03-08_13h21.39.827,stroop,2021.2.3,MacIntel,60.0024001
right,1,1.6906,1,5,11,4,1,blue,blue,right,1,Delphine monneron,001,2022-03-08_13h21.39.827,stroop,2021.2.3,MacIntel,60.0024001
left,1,1.1924,2,0,12,5,1,blue,red,left,0,Delphine monneron,001,2022-03-08_13h21.39.827,stroop,2021.2.3,MacIntel,60.0024001
down,0,0.676,2,1,13,3,1,green,blue,right,0,Delphine monneron,001,2022-03-08_13h21.39.827,stroop,2021.2.3,MacIntel,60.0024001
right,0,4.6247,2,2,14,2,1,green,green,down,1,Delphine monneron,001,2022-03-08_13h21.39.827,stroop,2021.2.3,MacIntel,60.0024001
left,1,3.8286,2,3,15,0,1,red,red,left,1,Delphine monneron,001,2022-03-08_13h21.39.827,stroop,2021.2.3,MacIntel,60.0024001
down,0,3.6487,2,4,16,4,1,blue,blue,right,1,Delphine monneron,001,2022-03-08_13h21.39.827,stroop,2021.2.3,MacIntel,60.0024001
down,1,8.7954,2,5,17,1,1,red,green,down,0,Delphine monneron,001,2022-03-08_13h21.39.827,stroop,2021.2.3,MacIntel,60.0024001
down,1,0.6261,3,0,18,1,1,red,green,down,0,Delphine monneron,001,2022-03-08_13h21.39.827,stroop,2021.2.3,MacIntel,60.0024001
right,1,0.9306,3,1,19,3,1,green,blue,right,0,Delphine monneron,001,2022-03-08_13h21.39.827,stroop,2021.2.3,MacIntel,60.0024001
down,1,1.0448,3,2,20,2,1,green,green,down,1,Delphine monneron,001,2022-03-08_13h21.39.827,stroop,2021.2.3,MacIntel,60.0024001
left,1,0.6296,3,3,21,5,1,blue,red,left,0,Delphine monneron,001,2022-03-08_13h21.39.827,stroop,2021.2.3,MacIntel,60.0024001
left,1,0.5737,3,4,22,0,1,red,red,left,1,Delphine monneron,001,2022-03-08_13h21.39.827,stroop,2021.2.3,MacIntel,60.0024001
right,1,0.7162,3,5,23,4,1,blue,blue,right,1,Delphine monneron,001,2022-03-08_13h21.39.827,stroop,2021.2.3,MacIntel,60.0024001
down,1,1.0267,4,0,24,1,1,red,green,down,0,Delphine monneron,001,2022-03-08_13h21.39.827,stroop,2021.2.3,MacIntel,60.0024001
left,1,0.7607,4,1,25,0,1,red,red,left,1,Delphine monneron,001,2022-03-08_13h21.39.827,stroop,2021.2.3,MacIntel,60.0024001
right,1,0.5931,4,2,26,4,1,blue,blue,right,1,Delphine monneron,001,2022-03-08_13h21.39.827,stroop,2021.2.3,MacIntel,60.0024001
down,1,1.1965,4,3,27,2,1,green,green,down,1,Delphine monneron,001,2022-03-08_13h21.39.827,stroop,2021.2.3,MacIntel,60.0024001
right,0,0.9903,4,4,28,5,1,blue,red,left,0,Delphine monneron,001,2022-03-08_13h21.39.827,stroop,2021.2.3,MacIntel,60.0024001
left,0,1.5575,4,5,29,3,1,green,blue,right,0,Delphine monneron,001,2022-03-08_13h21.39.827,stroop,2021.2.3,MacIntel,60.0024001
