resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
left,1,2.0276,0,0,0,5,1,blue,red,left,0,Eric,001,2022-02-02_15h33.47.819,stroop,2021.2.3,Win32,119.9040767
right,1,0.8849,0,1,1,4,1,blue,blue,right,1,Eric,001,2022-02-02_15h33.47.819,stroop,2021.2.3,Win32,119.9040767
left,1,0.4361,0,2,2,0,1,red,red,left,1,Eric,001,2022-02-02_15h33.47.819,stroop,2021.2.3,Win32,119.9040767
right,1,0.6293,0,3,3,3,1,green,blue,right,0,Eric,001,2022-02-02_15h33.47.819,stroop,2021.2.3,Win32,119.9040767
left,0,1.3301,0,4,4,1,1,red,green,down,0,Eric,001,2022-02-02_15h33.47.819,stroop,2021.2.3,Win32,119.9040767
right,0,0.5633,0,5,5,2,1,green,green,down,1,Eric,001,2022-02-02_15h33.47.819,stroop,2021.2.3,Win32,119.9040767
left,0,0.8144,1,0,6,1,1,red,green,down,0,Eric,001,2022-02-02_15h33.47.819,stroop,2021.2.3,Win32,119.9040767
right,1,0.756,1,1,7,3,1,green,blue,right,0,Eric,001,2022-02-02_15h33.47.819,stroop,2021.2.3,Win32,119.9040767
left,0,0.5537,1,2,8,4,1,blue,blue,right,1,Eric,001,2022-02-02_15h33.47.819,stroop,2021.2.3,Win32,119.9040767
right,0,0.3484,1,3,9,2,1,green,green,down,1,Eric,001,2022-02-02_15h33.47.819,stroop,2021.2.3,Win32,119.9040767
left,1,0.5907,1,4,10,0,1,red,red,left,1,Eric,001,2022-02-02_15h33.47.819,stroop,2021.2.3,Win32,119.9040767
right,0,0.4915,1,5,11,5,1,blue,red,left,0,Eric,001,2022-02-02_15h33.47.819,stroop,2021.2.3,Win32,119.9040767
left,0,0.3085,2,0,12,4,1,blue,blue,right,1,Eric,001,2022-02-02_15h33.47.819,stroop,2021.2.3,Win32,119.9040767
