resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
down,1,1.0891,0,0,0,1,1,red,green,down,0,Joely,001,2022-02-28_15h37.14.789,stroop,2021.2.3,Win32,59.86948452
right,1,0.5031,0,1,1,4,1,blue,blue,right,1,Joely,001,2022-02-28_15h37.14.789,stroop,2021.2.3,Win32,59.86948452
down,1,0.758,0,2,2,2,1,green,green,down,1,Joely,001,2022-02-28_15h37.14.789,stroop,2021.2.3,Win32,59.86948452
left,1,0.6191,0,3,3,5,1,blue,red,left,0,Joely,001,2022-02-28_15h37.14.789,stroop,2021.2.3,Win32,59.86948452
right,1,1.1078,0,4,4,3,1,green,blue,right,0,Joely,001,2022-02-28_15h37.14.789,stroop,2021.2.3,Win32,59.86948452
left,1,0.6027,0,5,5,0,1,red,red,left,1,Joely,001,2022-02-28_15h37.14.789,stroop,2021.2.3,Win32,59.86948452
down,1,0.6286,1,0,6,1,1,red,green,down,0,Joely,001,2022-02-28_15h37.14.789,stroop,2021.2.3,Win32,59.86948452
down,1,0.7837,1,1,7,2,1,green,green,down,1,Joely,001,2022-02-28_15h37.14.789,stroop,2021.2.3,Win32,59.86948452
right,1,0.528,1,2,8,4,1,blue,blue,right,1,Joely,001,2022-02-28_15h37.14.789,stroop,2021.2.3,Win32,59.86948452
left,1,0.6308,1,3,9,5,1,blue,red,left,0,Joely,001,2022-02-28_15h37.14.789,stroop,2021.2.3,Win32,59.86948452
down,0,1.0156,1,4,10,3,1,green,blue,right,0,Joely,001,2022-02-28_15h37.14.789,stroop,2021.2.3,Win32,59.86948452
left,1,0.6178,1,5,11,0,1,red,red,left,1,Joely,001,2022-02-28_15h37.14.789,stroop,2021.2.3,Win32,59.86948452
down,1,0.7048,2,0,12,2,1,green,green,down,1,Joely,001,2022-02-28_15h37.14.789,stroop,2021.2.3,Win32,59.86948452
right,1,0.8393,2,1,13,3,1,green,blue,right,0,Joely,001,2022-02-28_15h37.14.789,stroop,2021.2.3,Win32,59.86948452
right,1,0.7029,2,2,14,4,1,blue,blue,right,1,Joely,001,2022-02-28_15h37.14.789,stroop,2021.2.3,Win32,59.86948452
left,1,0.8141,2,3,15,5,1,blue,red,left,0,Joely,001,2022-02-28_15h37.14.789,stroop,2021.2.3,Win32,59.86948452
left,0,0.7517,2,4,16,1,1,red,green,down,0,Joely,001,2022-02-28_15h37.14.789,stroop,2021.2.3,Win32,59.86948452
left,1,0.6913,2,5,17,0,1,red,red,left,1,Joely,001,2022-02-28_15h37.14.789,stroop,2021.2.3,Win32,59.86948452
right,1,0.8516,3,0,18,4,1,blue,blue,right,1,Joely,001,2022-02-28_15h37.14.789,stroop,2021.2.3,Win32,59.86948452
down,1,1.2675,3,1,19,1,1,red,green,down,0,Joely,001,2022-02-28_15h37.14.789,stroop,2021.2.3,Win32,59.86948452
left,1,1.0511,3,2,20,5,1,blue,red,left,0,Joely,001,2022-02-28_15h37.14.789,stroop,2021.2.3,Win32,59.86948452
right,1,1.0084,3,3,21,3,1,green,blue,right,0,Joely,001,2022-02-28_15h37.14.789,stroop,2021.2.3,Win32,59.86948452
left,1,0.6104,3,4,22,0,1,red,red,left,1,Joely,001,2022-02-28_15h37.14.789,stroop,2021.2.3,Win32,59.86948452
down,1,0.5175,3,5,23,2,1,green,green,down,1,Joely,001,2022-02-28_15h37.14.789,stroop,2021.2.3,Win32,59.86948452
down,1,0.4841,4,0,24,2,1,green,green,down,1,Joely,001,2022-02-28_15h37.14.789,stroop,2021.2.3,Win32,59.86948452
left,0,0.6572,4,1,25,1,1,red,green,down,0,Joely,001,2022-02-28_15h37.14.789,stroop,2021.2.3,Win32,59.86948452
right,1,0.9216,4,2,26,3,1,green,blue,right,0,Joely,001,2022-02-28_15h37.14.789,stroop,2021.2.3,Win32,59.86948452
left,1,1.0389,4,3,27,5,1,blue,red,left,0,Joely,001,2022-02-28_15h37.14.789,stroop,2021.2.3,Win32,59.86948452
right,1,0.735,4,4,28,4,1,blue,blue,right,1,Joely,001,2022-02-28_15h37.14.789,stroop,2021.2.3,Win32,59.86948452
left,1,0.7795,4,5,29,0,1,red,red,left,1,Joely,001,2022-02-28_15h37.14.789,stroop,2021.2.3,Win32,59.86948452
