resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
left,1,0.5626,0,0,0,5,1,blue,red,left,0,KK018,001,2022-02-23_22h26.16.113,stroop,2021.2.3,Win32,60.0024001
right,1,1.6088,0,1,1,3,1,green,blue,right,0,KK018,001,2022-02-23_22h26.16.113,stroop,2021.2.3,Win32,60.0024001
right,1,1.1678,0,2,2,4,1,blue,blue,right,1,KK018,001,2022-02-23_22h26.16.113,stroop,2021.2.3,Win32,60.0024001
down,1,1.3242,0,3,3,2,1,green,green,down,1,KK018,001,2022-02-23_22h26.16.113,stroop,2021.2.3,Win32,60.0024001
down,1,0.6351,0,4,4,1,1,red,green,down,0,KK018,001,2022-02-23_22h26.16.113,stroop,2021.2.3,Win32,60.0024001
left,1,0.6191,0,5,5,0,1,red,red,left,1,KK018,001,2022-02-23_22h26.16.113,stroop,2021.2.3,Win32,60.0024001
right,1,0.7682,1,0,6,3,1,green,blue,right,0,KK018,001,2022-02-23_22h26.16.113,stroop,2021.2.3,Win32,60.0024001
left,1,1.0749,1,1,7,5,1,blue,red,left,0,KK018,001,2022-02-23_22h26.16.113,stroop,2021.2.3,Win32,60.0024001
right,1,0.9592,1,2,8,4,1,blue,blue,right,1,KK018,001,2022-02-23_22h26.16.113,stroop,2021.2.3,Win32,60.0024001
left,1,0.6685,1,3,9,0,1,red,red,left,1,KK018,001,2022-02-23_22h26.16.113,stroop,2021.2.3,Win32,60.0024001
down,1,0.7782,1,4,10,1,1,red,green,down,0,KK018,001,2022-02-23_22h26.16.113,stroop,2021.2.3,Win32,60.0024001
down,1,0.519,1,5,11,2,1,green,green,down,1,KK018,001,2022-02-23_22h26.16.113,stroop,2021.2.3,Win32,60.0024001
left,1,0.5342,2,0,12,5,1,blue,red,left,0,KK018,001,2022-02-23_22h26.16.113,stroop,2021.2.3,Win32,60.0024001
left,1,0.4679,2,1,13,0,1,red,red,left,1,KK018,001,2022-02-23_22h26.16.113,stroop,2021.2.3,Win32,60.0024001
down,1,0.9859,2,2,14,1,1,red,green,down,0,KK018,001,2022-02-23_22h26.16.113,stroop,2021.2.3,Win32,60.0024001
right,1,0.5189,2,3,15,3,1,green,blue,right,0,KK018,001,2022-02-23_22h26.16.113,stroop,2021.2.3,Win32,60.0024001
down,1,0.6178,2,4,16,2,1,green,green,down,1,KK018,001,2022-02-23_22h26.16.113,stroop,2021.2.3,Win32,60.0024001
right,1,0.5517,2,5,17,4,1,blue,blue,right,1,KK018,001,2022-02-23_22h26.16.113,stroop,2021.2.3,Win32,60.0024001
down,1,0.4844,3,0,18,2,1,green,green,down,1,KK018,001,2022-02-23_22h26.16.113,stroop,2021.2.3,Win32,60.0024001
left,1,0.7025,3,1,19,0,1,red,red,left,1,KK018,001,2022-02-23_22h26.16.113,stroop,2021.2.3,Win32,60.0024001
right,1,0.8852,3,2,20,4,1,blue,blue,right,1,KK018,001,2022-02-23_22h26.16.113,stroop,2021.2.3,Win32,60.0024001
right,1,0.5353,3,3,21,3,1,green,blue,right,0,KK018,001,2022-02-23_22h26.16.113,stroop,2021.2.3,Win32,60.0024001
left,0,0.9681,3,4,22,1,1,red,green,down,0,KK018,001,2022-02-23_22h26.16.113,stroop,2021.2.3,Win32,60.0024001
left,1,0.6218,3,5,23,5,1,blue,red,left,0,KK018,001,2022-02-23_22h26.16.113,stroop,2021.2.3,Win32,60.0024001
down,1,0.7748,4,0,24,2,1,green,green,down,1,KK018,001,2022-02-23_22h26.16.113,stroop,2021.2.3,Win32,60.0024001
right,1,0.5269,4,1,25,4,1,blue,blue,right,1,KK018,001,2022-02-23_22h26.16.113,stroop,2021.2.3,Win32,60.0024001
left,1,0.5346,4,2,26,0,1,red,red,left,1,KK018,001,2022-02-23_22h26.16.113,stroop,2021.2.3,Win32,60.0024001
down,1,0.5155,4,3,27,1,1,red,green,down,0,KK018,001,2022-02-23_22h26.16.113,stroop,2021.2.3,Win32,60.0024001
left,1,1.0046,4,4,28,5,1,blue,red,left,0,KK018,001,2022-02-23_22h26.16.113,stroop,2021.2.3,Win32,60.0024001
right,1,0.4709,4,5,29,3,1,green,blue,right,0,KK018,001,2022-02-23_22h26.16.113,stroop,2021.2.3,Win32,60.0024001
