resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
right,1,1.2606,0,0,0,4,1,blue,blue,right,1,Kaylah,001,2022-03-14_09h59.17.020,stroop,2021.2.3,MacIntel,59.99880002
down,1,0.5444,0,1,1,1,1,red,green,down,0,Kaylah,001,2022-03-14_09h59.17.020,stroop,2021.2.3,MacIntel,59.99880002
left,1,0.607,0,2,2,0,1,red,red,left,1,Kaylah,001,2022-03-14_09h59.17.020,stroop,2021.2.3,MacIntel,59.99880002
left,1,0.7908,0,3,3,5,1,blue,red,left,0,Kaylah,001,2022-03-14_09h59.17.020,stroop,2021.2.3,MacIntel,59.99880002
down,1,0.4726,0,4,4,2,1,green,green,down,1,Kaylah,001,2022-03-14_09h59.17.020,stroop,2021.2.3,MacIntel,59.99880002
right,1,0.3514,0,5,5,3,1,green,blue,right,0,Kaylah,001,2022-03-14_09h59.17.020,stroop,2021.2.3,MacIntel,59.99880002
right,1,0.5517,1,0,6,3,1,green,blue,right,0,Kaylah,001,2022-03-14_09h59.17.020,stroop,2021.2.3,MacIntel,59.99880002
left,0,0.434,1,1,7,2,1,green,green,down,1,Kaylah,001,2022-03-14_09h59.17.020,stroop,2021.2.3,MacIntel,59.99880002
left,1,0.4725,1,2,8,0,1,red,red,left,1,Kaylah,001,2022-03-14_09h59.17.020,stroop,2021.2.3,MacIntel,59.99880002
right,1,1.1576,1,3,9,4,1,blue,blue,right,1,Kaylah,001,2022-03-14_09h59.17.020,stroop,2021.2.3,MacIntel,59.99880002
down,1,0.9085,1,4,10,1,1,red,green,down,0,Kaylah,001,2022-03-14_09h59.17.020,stroop,2021.2.3,MacIntel,59.99880002
left,1,0.5517,1,5,11,5,1,blue,red,left,0,Kaylah,001,2022-03-14_09h59.17.020,stroop,2021.2.3,MacIntel,59.99880002
down,1,0.3858,2,0,12,2,1,green,green,down,1,Kaylah,001,2022-03-14_09h59.17.020,stroop,2021.2.3,MacIntel,59.99880002
down,1,0.5912,2,1,13,1,1,red,green,down,0,Kaylah,001,2022-03-14_09h59.17.020,stroop,2021.2.3,MacIntel,59.99880002
left,1,0.4314,2,2,14,5,1,blue,red,left,0,Kaylah,001,2022-03-14_09h59.17.020,stroop,2021.2.3,MacIntel,59.99880002
right,1,0.5178,2,3,15,4,1,blue,blue,right,1,Kaylah,001,2022-03-14_09h59.17.020,stroop,2021.2.3,MacIntel,59.99880002
right,1,0.4312,2,4,16,3,1,green,blue,right,0,Kaylah,001,2022-03-14_09h59.17.020,stroop,2021.2.3,MacIntel,59.99880002
left,1,0.5339,2,5,17,0,1,red,red,left,1,Kaylah,001,2022-03-14_09h59.17.020,stroop,2021.2.3,MacIntel,59.99880002
down,1,0.2644,3,0,18,2,1,green,green,down,1,Kaylah,001,2022-03-14_09h59.17.020,stroop,2021.2.3,MacIntel,59.99880002
right,1,0.7296,3,1,19,3,1,green,blue,right,0,Kaylah,001,2022-03-14_09h59.17.020,stroop,2021.2.3,MacIntel,59.99880002
left,1,0.5767,3,2,20,0,1,red,red,left,1,Kaylah,001,2022-03-14_09h59.17.020,stroop,2021.2.3,MacIntel,59.99880002
right,1,0.491,3,3,21,4,1,blue,blue,right,1,Kaylah,001,2022-03-14_09h59.17.020,stroop,2021.2.3,MacIntel,59.99880002
down,1,0.2802,3,4,22,1,1,red,green,down,0,Kaylah,001,2022-03-14_09h59.17.020,stroop,2021.2.3,MacIntel,59.99880002
left,1,0.2986,3,5,23,5,1,blue,red,left,0,Kaylah,001,2022-03-14_09h59.17.020,stroop,2021.2.3,MacIntel,59.99880002
right,1,0.3524,4,0,24,3,1,green,blue,right,0,Kaylah,001,2022-03-14_09h59.17.020,stroop,2021.2.3,MacIntel,59.99880002
down,0,0.2818,4,1,25,0,1,red,red,left,1,Kaylah,001,2022-03-14_09h59.17.020,stroop,2021.2.3,MacIntel,59.99880002
left,1,1.7476,4,2,26,5,1,blue,red,left,0,Kaylah,001,2022-03-14_09h59.17.020,stroop,2021.2.3,MacIntel,59.99880002
down,1,0.2997,4,3,27,2,1,green,green,down,1,Kaylah,001,2022-03-14_09h59.17.020,stroop,2021.2.3,MacIntel,59.99880002
right,1,0.3234,4,4,28,4,1,blue,blue,right,1,Kaylah,001,2022-03-14_09h59.17.020,stroop,2021.2.3,MacIntel,59.99880002
down,1,1.0036,4,5,29,1,1,red,green,down,0,Kaylah,001,2022-03-14_09h59.17.020,stroop,2021.2.3,MacIntel,59.99880002
