resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
down,0,3.421,0,0,0,3,1,green,blue,right,0,M,001,2022-03-17_16h38.20.323,stroop,2021.2.3,Win32,60.0240096
right,1,1.297,0,1,1,4,1,blue,blue,right,1,M,001,2022-03-17_16h38.20.323,stroop,2021.2.3,Win32,60.0240096
left,1,0.471,0,2,2,5,1,blue,red,left,0,M,001,2022-03-17_16h38.20.323,stroop,2021.2.3,Win32,60.0240096
left,1,0.946,0,3,3,0,1,red,red,left,1,M,001,2022-03-17_16h38.20.323,stroop,2021.2.3,Win32,60.0240096
down,1,1.03,0,4,4,2,1,green,green,down,1,M,001,2022-03-17_16h38.20.323,stroop,2021.2.3,Win32,60.0240096
down,1,0.781,0,5,5,1,1,red,green,down,0,M,001,2022-03-17_16h38.20.323,stroop,2021.2.3,Win32,60.0240096
right,1,0.901,1,0,6,3,1,green,blue,right,0,M,001,2022-03-17_16h38.20.323,stroop,2021.2.3,Win32,60.0240096
down,1,1.565,1,1,7,1,1,red,green,down,0,M,001,2022-03-17_16h38.20.323,stroop,2021.2.3,Win32,60.0240096
left,1,0.831,1,2,8,5,1,blue,red,left,0,M,001,2022-03-17_16h38.20.323,stroop,2021.2.3,Win32,60.0240096
down,1,0.815,1,3,9,2,1,green,green,down,1,M,001,2022-03-17_16h38.20.323,stroop,2021.2.3,Win32,60.0240096
left,1,0.948,1,4,10,0,1,red,red,left,1,M,001,2022-03-17_16h38.20.323,stroop,2021.2.3,Win32,60.0240096
right,1,0.899,1,5,11,4,1,blue,blue,right,1,M,001,2022-03-17_16h38.20.323,stroop,2021.2.3,Win32,60.0240096
left,1,0.816,2,0,12,0,1,red,red,left,1,M,001,2022-03-17_16h38.20.323,stroop,2021.2.3,Win32,60.0240096
down,1,0.95,2,1,13,1,1,red,green,down,0,M,001,2022-03-17_16h38.20.323,stroop,2021.2.3,Win32,60.0240096
right,0,2.396,2,2,14,2,1,green,green,down,1,M,001,2022-03-17_16h38.20.323,stroop,2021.2.3,Win32,60.0240096
left,1,1.664,2,3,15,5,1,blue,red,left,0,M,001,2022-03-17_16h38.20.323,stroop,2021.2.3,Win32,60.0240096
right,1,2.315,2,4,16,4,1,blue,blue,right,1,M,001,2022-03-17_16h38.20.323,stroop,2021.2.3,Win32,60.0240096
right,1,1.099,2,5,17,3,1,green,blue,right,0,M,001,2022-03-17_16h38.20.323,stroop,2021.2.3,Win32,60.0240096
right,1,0.999,3,0,18,3,1,green,blue,right,0,M,001,2022-03-17_16h38.20.323,stroop,2021.2.3,Win32,60.0240096
left,1,0.916,3,1,19,5,1,blue,red,left,0,M,001,2022-03-17_16h38.20.323,stroop,2021.2.3,Win32,60.0240096
down,1,1.364,3,2,20,1,1,red,green,down,0,M,001,2022-03-17_16h38.20.323,stroop,2021.2.3,Win32,60.0240096
down,1,1.75,3,3,21,2,1,green,green,down,1,M,001,2022-03-17_16h38.20.323,stroop,2021.2.3,Win32,60.0240096
left,1,1.431,3,4,22,0,1,red,red,left,1,M,001,2022-03-17_16h38.20.323,stroop,2021.2.3,Win32,60.0240096
right,1,1.515,3,5,23,4,1,blue,blue,right,1,M,001,2022-03-17_16h38.20.323,stroop,2021.2.3,Win32,60.0240096
down,1,1.249,4,0,24,2,1,green,green,down,1,M,001,2022-03-17_16h38.20.323,stroop,2021.2.3,Win32,60.0240096
left,1,0.931,4,1,25,5,1,blue,red,left,0,M,001,2022-03-17_16h38.20.323,stroop,2021.2.3,Win32,60.0240096
left,1,0.716,4,2,26,0,1,red,red,left,1,M,001,2022-03-17_16h38.20.323,stroop,2021.2.3,Win32,60.0240096
down,1,1.066,4,3,27,1,1,red,green,down,0,M,001,2022-03-17_16h38.20.323,stroop,2021.2.3,Win32,60.0240096
right,1,0.948,4,4,28,4,1,blue,blue,right,1,M,001,2022-03-17_16h38.20.323,stroop,2021.2.3,Win32,60.0240096
right,1,1.401,4,5,29,3,1,green,blue,right,0,M,001,2022-03-17_16h38.20.323,stroop,2021.2.3,Win32,60.0240096
