resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
left,1,1.093,0,0,0,5,1,blue,red,left,0,Mac,001,2022-02-26_04h58.48,stroop,2021.2.3,MacIntel,62.5
down,1,0.879,0,1,1,2,1,green,green,down,1,Mac,001,2022-02-26_04h58.48,stroop,2021.2.3,MacIntel,62.5
right,1,0.906,0,2,2,3,1,green,blue,right,0,Mac,001,2022-02-26_04h58.48,stroop,2021.2.3,MacIntel,62.5
left,1,0.682,0,3,3,0,1,red,red,left,1,Mac,001,2022-02-26_04h58.48,stroop,2021.2.3,MacIntel,62.5
down,1,0.648,0,4,4,1,1,red,green,down,0,Mac,001,2022-02-26_04h58.48,stroop,2021.2.3,MacIntel,62.5
right,1,0.721,0,5,5,4,1,blue,blue,right,1,Mac,001,2022-02-26_04h58.48,stroop,2021.2.3,MacIntel,62.5
down,1,1.347,1,0,6,1,1,red,green,down,0,Mac,001,2022-02-26_04h58.48,stroop,2021.2.3,MacIntel,62.5
right,1,0.884,1,1,7,4,1,blue,blue,right,1,Mac,001,2022-02-26_04h58.48,stroop,2021.2.3,MacIntel,62.5
left,1,0.979,1,2,8,5,1,blue,red,left,0,Mac,001,2022-02-26_04h58.48,stroop,2021.2.3,MacIntel,62.5
down,1,1.629,1,3,9,2,1,green,green,down,1,Mac,001,2022-02-26_04h58.48,stroop,2021.2.3,MacIntel,62.5
left,1,1.579,1,4,10,0,1,red,red,left,1,Mac,001,2022-02-26_04h58.48,stroop,2021.2.3,MacIntel,62.5
right,1,1.248,1,5,11,3,1,green,blue,right,0,Mac,001,2022-02-26_04h58.48,stroop,2021.2.3,MacIntel,62.5
right,1,0.94,2,0,12,3,1,green,blue,right,0,Mac,001,2022-02-26_04h58.48,stroop,2021.2.3,MacIntel,62.5
left,1,0.833,2,1,13,5,1,blue,red,left,0,Mac,001,2022-02-26_04h58.48,stroop,2021.2.3,MacIntel,62.5
right,1,1.047,2,2,14,4,1,blue,blue,right,1,Mac,001,2022-02-26_04h58.48,stroop,2021.2.3,MacIntel,62.5
left,1,0.7,2,3,15,0,1,red,red,left,1,Mac,001,2022-02-26_04h58.48,stroop,2021.2.3,MacIntel,62.5
down,1,0.535,2,4,16,1,1,red,green,down,0,Mac,001,2022-02-26_04h58.48,stroop,2021.2.3,MacIntel,62.5
down,1,0.633,2,5,17,2,1,green,green,down,1,Mac,001,2022-02-26_04h58.48,stroop,2021.2.3,MacIntel,62.5
left,1,0.955,3,0,18,0,1,red,red,left,1,Mac,001,2022-02-26_04h58.48,stroop,2021.2.3,MacIntel,62.5
down,1,0.679,3,1,19,2,1,green,green,down,1,Mac,001,2022-02-26_04h58.48,stroop,2021.2.3,MacIntel,62.5
right,1,0.717,3,2,20,3,1,green,blue,right,0,Mac,001,2022-02-26_04h58.48,stroop,2021.2.3,MacIntel,62.5
left,1,0.664,3,3,21,5,1,blue,red,left,0,Mac,001,2022-02-26_04h58.48,stroop,2021.2.3,MacIntel,62.5
down,0,0.73,3,4,22,4,1,blue,blue,right,1,Mac,001,2022-02-26_04h58.48,stroop,2021.2.3,MacIntel,62.5
left,0,0.888,3,5,23,1,1,red,green,down,0,Mac,001,2022-02-26_04h58.48,stroop,2021.2.3,MacIntel,62.5
down,1,2.186,4,0,24,1,1,red,green,down,0,Mac,001,2022-02-26_04h58.48,stroop,2021.2.3,MacIntel,62.5
left,1,1.039,4,1,25,0,1,red,red,left,1,Mac,001,2022-02-26_04h58.48,stroop,2021.2.3,MacIntel,62.5
left,1,0.698,4,2,26,5,1,blue,red,left,0,Mac,001,2022-02-26_04h58.48,stroop,2021.2.3,MacIntel,62.5
down,1,1.114,4,3,27,2,1,green,green,down,1,Mac,001,2022-02-26_04h58.48,stroop,2021.2.3,MacIntel,62.5
right,1,0.978,4,4,28,3,1,green,blue,right,0,Mac,001,2022-02-26_04h58.48,stroop,2021.2.3,MacIntel,62.5
right,1,0.737,4,5,29,4,1,blue,blue,right,1,Mac,001,2022-02-26_04h58.48,stroop,2021.2.3,MacIntel,62.5
