resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
right,1,1.332,0,0,0,4,1,blue,blue,right,1,Matteo,001,2022-02-21_18h22.06.956,stroop,2021.2.3,Win32,59.70149254
left,1,0.5178,0,1,1,5,1,blue,red,left,0,Matteo,001,2022-02-21_18h22.06.956,stroop,2021.2.3,Win32,59.70149254
down,1,0.2884,0,2,2,1,1,red,green,down,0,Matteo,001,2022-02-21_18h22.06.956,stroop,2021.2.3,Win32,59.70149254
right,1,0.5866,0,3,3,3,1,green,blue,right,0,Matteo,001,2022-02-21_18h22.06.956,stroop,2021.2.3,Win32,59.70149254
right,0,0.1093,0,4,4,2,1,green,green,down,1,Matteo,001,2022-02-21_18h22.06.956,stroop,2021.2.3,Win32,59.70149254
right,0,0.0727,0,5,5,0,1,red,red,left,1,Matteo,001,2022-02-21_18h22.06.956,stroop,2021.2.3,Win32,59.70149254
down,0,0.0707,1,0,6,4,1,blue,blue,right,1,Matteo,001,2022-02-21_18h22.06.956,stroop,2021.2.3,Win32,59.70149254
right,0,0.1026,1,1,7,1,1,red,green,down,0,Matteo,001,2022-02-21_18h22.06.956,stroop,2021.2.3,Win32,59.70149254
right,1,0.001,1,2,8,3,1,green,blue,right,0,Matteo,001,2022-02-21_18h22.06.956,stroop,2021.2.3,Win32,59.70149254
right,0,0.0114,1,3,9,2,1,green,green,down,1,Matteo,001,2022-02-21_18h22.06.956,stroop,2021.2.3,Win32,59.70149254
right,0,0.0011,1,4,10,0,1,red,red,left,1,Matteo,001,2022-02-21_18h22.06.956,stroop,2021.2.3,Win32,59.70149254
right,0,0.1464,1,5,11,5,1,blue,red,left,0,Matteo,001,2022-02-21_18h22.06.956,stroop,2021.2.3,Win32,59.70149254
right,0,0.001,2,0,12,1,1,red,green,down,0,Matteo,001,2022-02-21_18h22.06.956,stroop,2021.2.3,Win32,59.70149254
right,0,0.0006,2,1,13,5,1,blue,red,left,0,Matteo,001,2022-02-21_18h22.06.956,stroop,2021.2.3,Win32,59.70149254
right,0,0.0358,2,2,14,0,1,red,red,left,1,Matteo,001,2022-02-21_18h22.06.956,stroop,2021.2.3,Win32,59.70149254
right,1,0.0178,2,3,15,3,1,green,blue,right,0,Matteo,001,2022-02-21_18h22.06.956,stroop,2021.2.3,Win32,59.70149254
right,0,0.0015,2,4,16,2,1,green,green,down,1,Matteo,001,2022-02-21_18h22.06.956,stroop,2021.2.3,Win32,59.70149254
right,1,0.0625,2,5,17,4,1,blue,blue,right,1,Matteo,001,2022-02-21_18h22.06.956,stroop,2021.2.3,Win32,59.70149254
right,0,0.0221,3,0,18,0,1,red,red,left,1,Matteo,001,2022-02-21_18h22.06.956,stroop,2021.2.3,Win32,59.70149254
right,0,0.0192,3,1,19,1,1,red,green,down,0,Matteo,001,2022-02-21_18h22.06.956,stroop,2021.2.3,Win32,59.70149254
right,1,0.0352,3,2,20,3,1,green,blue,right,0,Matteo,001,2022-02-21_18h22.06.956,stroop,2021.2.3,Win32,59.70149254
right,0,0.0507,3,3,21,2,1,green,green,down,1,Matteo,001,2022-02-21_18h22.06.956,stroop,2021.2.3,Win32,59.70149254
right,0,0.0646,3,4,22,5,1,blue,red,left,0,Matteo,001,2022-02-21_18h22.06.956,stroop,2021.2.3,Win32,59.70149254
right,1,0.08,3,5,23,4,1,blue,blue,right,1,Matteo,001,2022-02-21_18h22.06.956,stroop,2021.2.3,Win32,59.70149254
right,1,0.0862,4,0,24,3,1,green,blue,right,0,Matteo,001,2022-02-21_18h22.06.956,stroop,2021.2.3,Win32,59.70149254
right,1,0.0503,4,1,25,4,1,blue,blue,right,1,Matteo,001,2022-02-21_18h22.06.956,stroop,2021.2.3,Win32,59.70149254
right,0,0.0579,4,2,26,5,1,blue,red,left,0,Matteo,001,2022-02-21_18h22.06.956,stroop,2021.2.3,Win32,59.70149254
right,0,0.0575,4,3,27,0,1,red,red,left,1,Matteo,001,2022-02-21_18h22.06.956,stroop,2021.2.3,Win32,59.70149254
right,0,0.0691,4,4,28,1,1,red,green,down,0,Matteo,001,2022-02-21_18h22.06.956,stroop,2021.2.3,Win32,59.70149254
right,0,0.0634,4,5,29,2,1,green,green,down,1,Matteo,001,2022-02-21_18h22.06.956,stroop,2021.2.3,Win32,59.70149254
