resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
right,0,0.8365,0,0,0,2,1,green,green,down,1,MoodSonicTrial2,001,2022-02-27_12h13.55.289,stroop,2021.2.3,MacIntel,59.99160118
left,1,0.5001,0,1,1,0,1,red,red,left,1,MoodSonicTrial2,001,2022-02-27_12h13.55.289,stroop,2021.2.3,MacIntel,59.99160118
left,1,0.7288,0,2,2,5,1,blue,red,left,0,MoodSonicTrial2,001,2022-02-27_12h13.55.289,stroop,2021.2.3,MacIntel,59.99160118
right,1,0.5662,0,3,3,3,1,green,blue,right,0,MoodSonicTrial2,001,2022-02-27_12h13.55.289,stroop,2021.2.3,MacIntel,59.99160118
right,1,0.4851,0,4,4,4,1,blue,blue,right,1,MoodSonicTrial2,001,2022-02-27_12h13.55.289,stroop,2021.2.3,MacIntel,59.99160118
down,1,0.5649,0,5,5,1,1,red,green,down,0,MoodSonicTrial2,001,2022-02-27_12h13.55.289,stroop,2021.2.3,MacIntel,59.99160118
left,1,0.4832,1,0,6,0,1,red,red,left,1,MoodSonicTrial2,001,2022-02-27_12h13.55.289,stroop,2021.2.3,MacIntel,59.99160118
down,1,0.4838,1,1,7,2,1,green,green,down,1,MoodSonicTrial2,001,2022-02-27_12h13.55.289,stroop,2021.2.3,MacIntel,59.99160118
down,0,0.5001,1,2,8,3,1,green,blue,right,0,MoodSonicTrial2,001,2022-02-27_12h13.55.289,stroop,2021.2.3,MacIntel,59.99160118
left,1,0.4337,1,3,9,5,1,blue,red,left,0,MoodSonicTrial2,001,2022-02-27_12h13.55.289,stroop,2021.2.3,MacIntel,59.99160118
down,1,0.4231,1,4,10,1,1,red,green,down,0,MoodSonicTrial2,001,2022-02-27_12h13.55.289,stroop,2021.2.3,MacIntel,59.99160118
right,1,0.385,1,5,11,4,1,blue,blue,right,1,MoodSonicTrial2,001,2022-02-27_12h13.55.289,stroop,2021.2.3,MacIntel,59.99160118
left,1,0.6331,2,0,12,5,1,blue,red,left,0,MoodSonicTrial2,001,2022-02-27_12h13.55.289,stroop,2021.2.3,MacIntel,59.99160118
left,1,0.4834,2,1,13,0,1,red,red,left,1,MoodSonicTrial2,001,2022-02-27_12h13.55.289,stroop,2021.2.3,MacIntel,59.99160118
down,1,0.6335,2,2,14,1,1,red,green,down,0,MoodSonicTrial2,001,2022-02-27_12h13.55.289,stroop,2021.2.3,MacIntel,59.99160118
down,1,0.5994,2,3,15,2,1,green,green,down,1,MoodSonicTrial2,001,2022-02-27_12h13.55.289,stroop,2021.2.3,MacIntel,59.99160118
right,1,0.585,2,4,16,3,1,green,blue,right,0,MoodSonicTrial2,001,2022-02-27_12h13.55.289,stroop,2021.2.3,MacIntel,59.99160118
right,1,0.5336,2,5,17,4,1,blue,blue,right,1,MoodSonicTrial2,001,2022-02-27_12h13.55.289,stroop,2021.2.3,MacIntel,59.99160118
right,1,0.5162,3,0,18,4,1,blue,blue,right,1,MoodSonicTrial2,001,2022-02-27_12h13.55.289,stroop,2021.2.3,MacIntel,59.99160118
down,1,0.5998,3,1,19,1,1,red,green,down,0,MoodSonicTrial2,001,2022-02-27_12h13.55.289,stroop,2021.2.3,MacIntel,59.99160118
right,1,0.6,3,2,20,3,1,green,blue,right,0,MoodSonicTrial2,001,2022-02-27_12h13.55.289,stroop,2021.2.3,MacIntel,59.99160118
down,1,0.7736,3,3,21,2,1,green,green,down,1,MoodSonicTrial2,001,2022-02-27_12h13.55.289,stroop,2021.2.3,MacIntel,59.99160118
left,1,0.4176,3,4,22,0,1,red,red,left,1,MoodSonicTrial2,001,2022-02-27_12h13.55.289,stroop,2021.2.3,MacIntel,59.99160118
left,1,0.7836,3,5,23,5,1,blue,red,left,0,MoodSonicTrial2,001,2022-02-27_12h13.55.289,stroop,2021.2.3,MacIntel,59.99160118
left,1,0.455,4,0,24,5,1,blue,red,left,0,MoodSonicTrial2,001,2022-02-27_12h13.55.289,stroop,2021.2.3,MacIntel,59.99160118
down,1,0.5034,4,1,25,2,1,green,green,down,1,MoodSonicTrial2,001,2022-02-27_12h13.55.289,stroop,2021.2.3,MacIntel,59.99160118
right,1,0.4072,4,2,26,4,1,blue,blue,right,1,MoodSonicTrial2,001,2022-02-27_12h13.55.289,stroop,2021.2.3,MacIntel,59.99160118
right,1,1.0175,4,3,27,3,1,green,blue,right,0,MoodSonicTrial2,001,2022-02-27_12h13.55.289,stroop,2021.2.3,MacIntel,59.99160118
left,1,0.5167,4,4,28,0,1,red,red,left,1,MoodSonicTrial2,001,2022-02-27_12h13.55.289,stroop,2021.2.3,MacIntel,59.99160118
down,1,0.4179,4,5,29,1,1,red,green,down,0,MoodSonicTrial2,001,2022-02-27_12h13.55.289,stroop,2021.2.3,MacIntel,59.99160118
