resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
right,0,1.614,0,0,0,1,1,red,green,down,0,Natasha,001,2022-03-18_14h08.36.354,stroop,2021.2.3,MacIntel,60.0024001
left,1,0.9627,0,1,1,5,1,blue,red,left,0,Natasha,001,2022-03-18_14h08.36.354,stroop,2021.2.3,MacIntel,60.0024001
down,0,0.8657,0,2,2,4,1,blue,blue,right,1,Natasha,001,2022-03-18_14h08.36.354,stroop,2021.2.3,MacIntel,60.0024001
left,1,1.4695,0,3,3,0,1,red,red,left,1,Natasha,001,2022-03-18_14h08.36.354,stroop,2021.2.3,MacIntel,60.0024001
right,0,1.4489,0,4,4,2,1,green,green,down,1,Natasha,001,2022-03-18_14h08.36.354,stroop,2021.2.3,MacIntel,60.0024001
down,0,1.0699,0,5,5,3,1,green,blue,right,0,Natasha,001,2022-03-18_14h08.36.354,stroop,2021.2.3,MacIntel,60.0024001
down,0,0.8445,1,0,6,3,1,green,blue,right,0,Natasha,001,2022-03-18_14h08.36.354,stroop,2021.2.3,MacIntel,60.0024001
left,1,1.7192,1,1,7,0,1,red,red,left,1,Natasha,001,2022-03-18_14h08.36.354,stroop,2021.2.3,MacIntel,60.0024001
down,0,1.83,1,2,8,4,1,blue,blue,right,1,Natasha,001,2022-03-18_14h08.36.354,stroop,2021.2.3,MacIntel,60.0024001
right,0,0.9302,1,3,9,2,1,green,green,down,1,Natasha,001,2022-03-18_14h08.36.354,stroop,2021.2.3,MacIntel,60.0024001
right,0,0.6175,1,4,10,1,1,red,green,down,0,Natasha,001,2022-03-18_14h08.36.354,stroop,2021.2.3,MacIntel,60.0024001
left,1,0.7986,1,5,11,5,1,blue,red,left,0,Natasha,001,2022-03-18_14h08.36.354,stroop,2021.2.3,MacIntel,60.0024001
right,0,1.5359,2,0,12,2,1,green,green,down,1,Natasha,001,2022-03-18_14h08.36.354,stroop,2021.2.3,MacIntel,60.0024001
left,1,1.6508,2,1,13,0,1,red,red,left,1,Natasha,001,2022-03-18_14h08.36.354,stroop,2021.2.3,MacIntel,60.0024001
down,0,0.7728,2,2,14,4,1,blue,blue,right,1,Natasha,001,2022-03-18_14h08.36.354,stroop,2021.2.3,MacIntel,60.0024001
left,1,1.1297,2,3,15,5,1,blue,red,left,0,Natasha,001,2022-03-18_14h08.36.354,stroop,2021.2.3,MacIntel,60.0024001
down,0,0.9682,2,4,16,3,1,green,blue,right,0,Natasha,001,2022-03-18_14h08.36.354,stroop,2021.2.3,MacIntel,60.0024001
right,0,0.8742,2,5,17,1,1,red,green,down,0,Natasha,001,2022-03-18_14h08.36.354,stroop,2021.2.3,MacIntel,60.0024001
down,0,2.1648,3,0,18,4,1,blue,blue,right,1,Natasha,001,2022-03-18_14h08.36.354,stroop,2021.2.3,MacIntel,60.0024001
left,1,0.8267,3,1,19,0,1,red,red,left,1,Natasha,001,2022-03-18_14h08.36.354,stroop,2021.2.3,MacIntel,60.0024001
left,1,4.0865,3,2,20,5,1,blue,red,left,0,Natasha,001,2022-03-18_14h08.36.354,stroop,2021.2.3,MacIntel,60.0024001
right,0,0.8207,3,3,21,1,1,red,green,down,0,Natasha,001,2022-03-18_14h08.36.354,stroop,2021.2.3,MacIntel,60.0024001
right,0,0.7566,3,4,22,2,1,green,green,down,1,Natasha,001,2022-03-18_14h08.36.354,stroop,2021.2.3,MacIntel,60.0024001
down,0,0.6388,3,5,23,3,1,green,blue,right,0,Natasha,001,2022-03-18_14h08.36.354,stroop,2021.2.3,MacIntel,60.0024001
left,1,0.9044,4,0,24,0,1,red,red,left,1,Natasha,001,2022-03-18_14h08.36.354,stroop,2021.2.3,MacIntel,60.0024001
left,1,0.9183,4,1,25,5,1,blue,red,left,0,Natasha,001,2022-03-18_14h08.36.354,stroop,2021.2.3,MacIntel,60.0024001
down,0,1.6448,4,2,26,3,1,green,blue,right,0,Natasha,001,2022-03-18_14h08.36.354,stroop,2021.2.3,MacIntel,60.0024001
down,0,0.6687,4,3,27,4,1,blue,blue,right,1,Natasha,001,2022-03-18_14h08.36.354,stroop,2021.2.3,MacIntel,60.0024001
right,0,1.2347,4,4,28,2,1,green,green,down,1,Natasha,001,2022-03-18_14h08.36.354,stroop,2021.2.3,MacIntel,60.0024001
right,0,1.2957,4,5,29,1,1,red,green,down,0,Natasha,001,2022-03-18_14h08.36.354,stroop,2021.2.3,MacIntel,60.0024001
