resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
right,1,2.5013,0,0,0,3,1,green,blue,right,0,Nathalie_46623485,001,2022-03-18_14h08.29.448,stroop,2021.2.3,MacIntel,59.99880002
left,1,1.0131,0,1,1,0,1,red,red,left,1,Nathalie_46623485,001,2022-03-18_14h08.29.448,stroop,2021.2.3,MacIntel,59.99880002
left,0,0.5897,0,2,2,1,1,red,green,down,0,Nathalie_46623485,001,2022-03-18_14h08.29.448,stroop,2021.2.3,MacIntel,59.99880002
left,1,1.5352,0,3,3,5,1,blue,red,left,0,Nathalie_46623485,001,2022-03-18_14h08.29.448,stroop,2021.2.3,MacIntel,59.99880002
down,1,0.5727,0,4,4,2,1,green,green,down,1,Nathalie_46623485,001,2022-03-18_14h08.29.448,stroop,2021.2.3,MacIntel,59.99880002
right,1,0.6339,0,5,5,4,1,blue,blue,right,1,Nathalie_46623485,001,2022-03-18_14h08.29.448,stroop,2021.2.3,MacIntel,59.99880002
left,1,0.6538,1,0,6,0,1,red,red,left,1,Nathalie_46623485,001,2022-03-18_14h08.29.448,stroop,2021.2.3,MacIntel,59.99880002
down,1,0.6171,1,1,7,2,1,green,green,down,1,Nathalie_46623485,001,2022-03-18_14h08.29.448,stroop,2021.2.3,MacIntel,59.99880002
right,1,1.2836,1,2,8,3,1,green,blue,right,0,Nathalie_46623485,001,2022-03-18_14h08.29.448,stroop,2021.2.3,MacIntel,59.99880002
right,1,0.6354,1,3,9,4,1,blue,blue,right,1,Nathalie_46623485,001,2022-03-18_14h08.29.448,stroop,2021.2.3,MacIntel,59.99880002
down,1,1.2372,1,4,10,1,1,red,green,down,0,Nathalie_46623485,001,2022-03-18_14h08.29.448,stroop,2021.2.3,MacIntel,59.99880002
left,1,0.967,1,5,11,5,1,blue,red,left,0,Nathalie_46623485,001,2022-03-18_14h08.29.448,stroop,2021.2.3,MacIntel,59.99880002
right,1,0.5509,2,0,12,4,1,blue,blue,right,1,Nathalie_46623485,001,2022-03-18_14h08.29.448,stroop,2021.2.3,MacIntel,59.99880002
down,1,1.617,2,1,13,1,1,red,green,down,0,Nathalie_46623485,001,2022-03-18_14h08.29.448,stroop,2021.2.3,MacIntel,59.99880002
right,1,1.7835,2,2,14,3,1,green,blue,right,0,Nathalie_46623485,001,2022-03-18_14h08.29.448,stroop,2021.2.3,MacIntel,59.99880002
left,1,0.634,2,3,15,5,1,blue,red,left,0,Nathalie_46623485,001,2022-03-18_14h08.29.448,stroop,2021.2.3,MacIntel,59.99880002
down,1,0.6302,2,4,16,2,1,green,green,down,1,Nathalie_46623485,001,2022-03-18_14h08.29.448,stroop,2021.2.3,MacIntel,59.99880002
left,1,0.6847,2,5,17,0,1,red,red,left,1,Nathalie_46623485,001,2022-03-18_14h08.29.448,stroop,2021.2.3,MacIntel,59.99880002
down,1,1.5524,3,0,18,2,1,green,green,down,1,Nathalie_46623485,001,2022-03-18_14h08.29.448,stroop,2021.2.3,MacIntel,59.99880002
down,1,1.5508,3,1,19,1,1,red,green,down,0,Nathalie_46623485,001,2022-03-18_14h08.29.448,stroop,2021.2.3,MacIntel,59.99880002
right,1,1.0031,3,2,20,3,1,green,blue,right,0,Nathalie_46623485,001,2022-03-18_14h08.29.448,stroop,2021.2.3,MacIntel,59.99880002
left,1,0.3909,3,3,21,0,1,red,red,left,1,Nathalie_46623485,001,2022-03-18_14h08.29.448,stroop,2021.2.3,MacIntel,59.99880002
right,0,0.867,3,4,22,5,1,blue,red,left,0,Nathalie_46623485,001,2022-03-18_14h08.29.448,stroop,2021.2.3,MacIntel,59.99880002
right,1,0.8837,3,5,23,4,1,blue,blue,right,1,Nathalie_46623485,001,2022-03-18_14h08.29.448,stroop,2021.2.3,MacIntel,59.99880002
down,1,0.8334,4,0,24,2,1,green,green,down,1,Nathalie_46623485,001,2022-03-18_14h08.29.448,stroop,2021.2.3,MacIntel,59.99880002
down,1,1.5844,4,1,25,1,1,red,green,down,0,Nathalie_46623485,001,2022-03-18_14h08.29.448,stroop,2021.2.3,MacIntel,59.99880002
right,1,1.0842,4,2,26,4,1,blue,blue,right,1,Nathalie_46623485,001,2022-03-18_14h08.29.448,stroop,2021.2.3,MacIntel,59.99880002
right,0,0.8511,4,3,27,5,1,blue,red,left,0,Nathalie_46623485,001,2022-03-18_14h08.29.448,stroop,2021.2.3,MacIntel,59.99880002
right,1,0.4508,4,4,28,3,1,green,blue,right,0,Nathalie_46623485,001,2022-03-18_14h08.29.448,stroop,2021.2.3,MacIntel,59.99880002
left,1,0.6894,4,5,29,0,1,red,red,left,1,Nathalie_46623485,001,2022-03-18_14h08.29.448,stroop,2021.2.3,MacIntel,59.99880002
