resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
left,1,0.6021,0,0,0,0,1,red,red,left,1,Orlando,001,2022-03-14_13h11.10.291,stroop,2021.2.3,Win32,60.10699044
right,0,1.436,0,1,1,1,1,red,green,down,0,Orlando,001,2022-03-14_13h11.10.291,stroop,2021.2.3,Win32,60.10699044
left,1,1.1747,0,2,2,5,1,blue,red,left,0,Orlando,001,2022-03-14_13h11.10.291,stroop,2021.2.3,Win32,60.10699044
down,0,1.6698,0,3,3,4,1,blue,blue,right,1,Orlando,001,2022-03-14_13h11.10.291,stroop,2021.2.3,Win32,60.10699044
right,1,1.0515,0,4,4,3,1,green,blue,right,0,Orlando,001,2022-03-14_13h11.10.291,stroop,2021.2.3,Win32,60.10699044
right,0,0.7823,0,5,5,2,1,green,green,down,1,Orlando,001,2022-03-14_13h11.10.291,stroop,2021.2.3,Win32,60.10699044
down,0,0.7937,1,0,6,4,1,blue,blue,right,1,Orlando,001,2022-03-14_13h11.10.291,stroop,2021.2.3,Win32,60.10699044
left,1,0.9971,1,1,7,5,1,blue,red,left,0,Orlando,001,2022-03-14_13h11.10.291,stroop,2021.2.3,Win32,60.10699044
right,0,0.6306,1,2,8,2,1,green,green,down,1,Orlando,001,2022-03-14_13h11.10.291,stroop,2021.2.3,Win32,60.10699044
left,1,0.9381,1,3,9,0,1,red,red,left,1,Orlando,001,2022-03-14_13h11.10.291,stroop,2021.2.3,Win32,60.10699044
down,0,0.8129,1,4,10,3,1,green,blue,right,0,Orlando,001,2022-03-14_13h11.10.291,stroop,2021.2.3,Win32,60.10699044
right,0,0.4263,1,5,11,1,1,red,green,down,0,Orlando,001,2022-03-14_13h11.10.291,stroop,2021.2.3,Win32,60.10699044
left,1,0.4517,2,0,12,0,1,red,red,left,1,Orlando,001,2022-03-14_13h11.10.291,stroop,2021.2.3,Win32,60.10699044
left,1,1.0217,2,1,13,5,1,blue,red,left,0,Orlando,001,2022-03-14_13h11.10.291,stroop,2021.2.3,Win32,60.10699044
right,1,1.1633,2,2,14,3,1,green,blue,right,0,Orlando,001,2022-03-14_13h11.10.291,stroop,2021.2.3,Win32,60.10699044
down,0,0.5047,2,3,15,4,1,blue,blue,right,1,Orlando,001,2022-03-14_13h11.10.291,stroop,2021.2.3,Win32,60.10699044
right,0,0.4168,2,4,16,2,1,green,green,down,1,Orlando,001,2022-03-14_13h11.10.291,stroop,2021.2.3,Win32,60.10699044
down,1,1.054,2,5,17,1,1,red,green,down,0,Orlando,001,2022-03-14_13h11.10.291,stroop,2021.2.3,Win32,60.10699044
down,0,0.9424,3,0,18,4,1,blue,blue,right,1,Orlando,001,2022-03-14_13h11.10.291,stroop,2021.2.3,Win32,60.10699044
right,0,1.14,3,1,19,1,1,red,green,down,0,Orlando,001,2022-03-14_13h11.10.291,stroop,2021.2.3,Win32,60.10699044
left,1,0.367,3,2,20,0,1,red,red,left,1,Orlando,001,2022-03-14_13h11.10.291,stroop,2021.2.3,Win32,60.10699044
down,0,0.7836,3,3,21,3,1,green,blue,right,0,Orlando,001,2022-03-14_13h11.10.291,stroop,2021.2.3,Win32,60.10699044
right,0,1.2082,3,4,22,5,1,blue,red,left,0,Orlando,001,2022-03-14_13h11.10.291,stroop,2021.2.3,Win32,60.10699044
right,0,0.705,3,5,23,2,1,green,green,down,1,Orlando,001,2022-03-14_13h11.10.291,stroop,2021.2.3,Win32,60.10699044
down,0,0.3681,4,0,24,3,1,green,blue,right,0,Orlando,001,2022-03-14_13h11.10.291,stroop,2021.2.3,Win32,60.10699044
down,0,2.719,4,1,25,4,1,blue,blue,right,1,Orlando,001,2022-03-14_13h11.10.291,stroop,2021.2.3,Win32,60.10699044
right,0,0.6666,4,2,26,2,1,green,green,down,1,Orlando,001,2022-03-14_13h11.10.291,stroop,2021.2.3,Win32,60.10699044
left,1,0.586,4,3,27,0,1,red,red,left,1,Orlando,001,2022-03-14_13h11.10.291,stroop,2021.2.3,Win32,60.10699044
left,0,0.686,4,4,28,1,1,red,green,down,0,Orlando,001,2022-03-14_13h11.10.291,stroop,2021.2.3,Win32,60.10699044
down,0,0.8955,4,5,29,5,1,blue,red,left,0,Orlando,001,2022-03-14_13h11.10.291,stroop,2021.2.3,Win32,60.10699044
