resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
left,0,48.32778,0,0,0,1,1,red,green,down,0,,001,2022-03-11_20h12.34,stroop,2021.2.3,Win32,59.89099838
right,1,1.643785,0,1,1,3,1,green,blue,right,0,,001,2022-03-11_20h12.34,stroop,2021.2.3,Win32,59.89099838
left,1,1.16637,0,2,2,0,1,red,red,left,1,,001,2022-03-11_20h12.34,stroop,2021.2.3,Win32,59.89099838
right,1,0.605555,0,3,3,4,1,blue,blue,right,1,,001,2022-03-11_20h12.34,stroop,2021.2.3,Win32,59.89099838
left,1,2.388745,0,4,4,5,1,blue,red,left,0,,001,2022-03-11_20h12.34,stroop,2021.2.3,Win32,59.89099838
left,0,15.561695,0,5,5,2,1,green,green,down,1,,001,2022-03-11_20h12.34,stroop,2021.2.3,Win32,59.89099838
left,0,0.88152,1,0,6,2,1,green,green,down,1,,001,2022-03-11_20h12.34,stroop,2021.2.3,Win32,59.89099838
left,1,0.82055,1,1,7,0,1,red,red,left,1,,001,2022-03-11_20h12.34,stroop,2021.2.3,Win32,59.89099838
right,1,0.798905,1,2,8,4,1,blue,blue,right,1,,001,2022-03-11_20h12.34,stroop,2021.2.3,Win32,59.89099838
right,1,0.652945,1,3,9,3,1,green,blue,right,0,,001,2022-03-11_20h12.34,stroop,2021.2.3,Win32,59.89099838
left,0,0.71712,1,4,10,1,1,red,green,down,0,,001,2022-03-11_20h12.34,stroop,2021.2.3,Win32,59.89099838
left,1,0.81851,1,5,11,5,1,blue,red,left,0,,001,2022-03-11_20h12.34,stroop,2021.2.3,Win32,59.89099838
left,1,0.61615,2,0,12,5,1,blue,red,left,0,,001,2022-03-11_20h12.34,stroop,2021.2.3,Win32,59.89099838
right,1,0.67207,2,1,13,3,1,green,blue,right,0,,001,2022-03-11_20h12.34,stroop,2021.2.3,Win32,59.89099838
left,0,0.73161,2,2,14,2,1,green,green,down,1,,001,2022-03-11_20h12.34,stroop,2021.2.3,Win32,59.89099838
left,0,0.53204,2,3,15,1,1,red,green,down,0,,001,2022-03-11_20h12.34,stroop,2021.2.3,Win32,59.89099838
left,1,0.63852,2,4,16,0,1,red,red,left,1,,001,2022-03-11_20h12.34,stroop,2021.2.3,Win32,59.89099838
right,1,1.414355,2,5,17,4,1,blue,blue,right,1,,001,2022-03-11_20h12.34,stroop,2021.2.3,Win32,59.89099838
right,1,0.660385,3,0,18,3,1,green,blue,right,0,,001,2022-03-11_20h12.34,stroop,2021.2.3,Win32,59.89099838
left,1,0.765835,3,1,19,5,1,blue,red,left,0,,001,2022-03-11_20h12.34,stroop,2021.2.3,Win32,59.89099838
left,0,1.799925,3,2,20,1,1,red,green,down,0,,001,2022-03-11_20h12.34,stroop,2021.2.3,Win32,59.89099838
right,1,0.681325,3,3,21,4,1,blue,blue,right,1,,001,2022-03-11_20h12.34,stroop,2021.2.3,Win32,59.89099838
left,0,0.531825,3,4,22,2,1,green,green,down,1,,001,2022-03-11_20h12.34,stroop,2021.2.3,Win32,59.89099838
left,1,0.43007,3,5,23,0,1,red,red,left,1,,001,2022-03-11_20h12.34,stroop,2021.2.3,Win32,59.89099838
left,1,0.49046,4,0,24,5,1,blue,red,left,0,,001,2022-03-11_20h12.34,stroop,2021.2.3,Win32,59.89099838
right,1,0.450925,4,1,25,3,1,green,blue,right,0,,001,2022-03-11_20h12.34,stroop,2021.2.3,Win32,59.89099838
left,0,0.44928,4,2,26,2,1,green,green,down,1,,001,2022-03-11_20h12.34,stroop,2021.2.3,Win32,59.89099838
left,1,0.482515,4,3,27,0,1,red,red,left,1,,001,2022-03-11_20h12.34,stroop,2021.2.3,Win32,59.89099838
right,1,0.855225,4,4,28,4,1,blue,blue,right,1,,001,2022-03-11_20h12.34,stroop,2021.2.3,Win32,59.89099838
left,0,0.54994,4,5,29,1,1,red,green,down,0,,001,2022-03-11_20h12.34,stroop,2021.2.3,Win32,59.89099838
