resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
down,0,1.487,0,0,0,3,1,green,blue,right,0,,001,2022-03-16_10h14.04.963,stroop,2021.2.3,Win32,59.95203837
down,1,2.547,0,1,1,1,1,red,green,down,0,,001,2022-03-16_10h14.04.963,stroop,2021.2.3,Win32,59.95203837
left,1,0.674,0,2,2,0,1,red,red,left,1,,001,2022-03-16_10h14.04.963,stroop,2021.2.3,Win32,59.95203837
right,1,0.541,0,3,3,4,1,blue,blue,right,1,,001,2022-03-16_10h14.04.963,stroop,2021.2.3,Win32,59.95203837
down,1,0.57,0,4,4,2,1,green,green,down,1,,001,2022-03-16_10h14.04.963,stroop,2021.2.3,Win32,59.95203837
left,1,0.782,0,5,5,5,1,blue,red,left,0,,001,2022-03-16_10h14.04.963,stroop,2021.2.3,Win32,59.95203837
left,1,0.548,1,0,6,0,1,red,red,left,1,,001,2022-03-16_10h14.04.963,stroop,2021.2.3,Win32,59.95203837
down,1,0.8,1,1,7,1,1,red,green,down,0,,001,2022-03-16_10h14.04.963,stroop,2021.2.3,Win32,59.95203837
right,1,0.4,1,2,8,3,1,green,blue,right,0,,001,2022-03-16_10h14.04.963,stroop,2021.2.3,Win32,59.95203837
down,1,0.457,1,3,9,2,1,green,green,down,1,,001,2022-03-16_10h14.04.963,stroop,2021.2.3,Win32,59.95203837
right,1,0.572,1,4,10,4,1,blue,blue,right,1,,001,2022-03-16_10h14.04.963,stroop,2021.2.3,Win32,59.95203837
left,1,0.502,1,5,11,5,1,blue,red,left,0,,001,2022-03-16_10h14.04.963,stroop,2021.2.3,Win32,59.95203837
left,1,0.475,2,0,12,5,1,blue,red,left,0,,001,2022-03-16_10h14.04.963,stroop,2021.2.3,Win32,59.95203837
right,1,0.637,2,1,13,4,1,blue,blue,right,1,,001,2022-03-16_10h14.04.963,stroop,2021.2.3,Win32,59.95203837
down,1,0.42,2,2,14,2,1,green,green,down,1,,001,2022-03-16_10h14.04.963,stroop,2021.2.3,Win32,59.95203837
right,1,0.602,2,3,15,3,1,green,blue,right,0,,001,2022-03-16_10h14.04.963,stroop,2021.2.3,Win32,59.95203837
left,1,0.597,2,4,16,0,1,red,red,left,1,,001,2022-03-16_10h14.04.963,stroop,2021.2.3,Win32,59.95203837
down,1,0.369,2,5,17,1,1,red,green,down,0,,001,2022-03-16_10h14.04.963,stroop,2021.2.3,Win32,59.95203837
down,1,0.423,3,0,18,1,1,red,green,down,0,,001,2022-03-16_10h14.04.963,stroop,2021.2.3,Win32,59.95203837
left,1,0.606,3,1,19,0,1,red,red,left,1,,001,2022-03-16_10h14.04.963,stroop,2021.2.3,Win32,59.95203837
right,1,0.427,3,2,20,4,1,blue,blue,right,1,,001,2022-03-16_10h14.04.963,stroop,2021.2.3,Win32,59.95203837
right,1,0.469,3,3,21,3,1,green,blue,right,0,,001,2022-03-16_10h14.04.963,stroop,2021.2.3,Win32,59.95203837
down,1,0.449,3,4,22,2,1,green,green,down,1,,001,2022-03-16_10h14.04.963,stroop,2021.2.3,Win32,59.95203837
left,1,0.464,3,5,23,5,1,blue,red,left,0,,001,2022-03-16_10h14.04.963,stroop,2021.2.3,Win32,59.95203837
right,0,0.708,4,0,24,2,1,green,green,down,1,,001,2022-03-16_10h14.04.963,stroop,2021.2.3,Win32,59.95203837
right,1,0.457,4,1,25,3,1,green,blue,right,0,,001,2022-03-16_10h14.04.963,stroop,2021.2.3,Win32,59.95203837
right,1,0.887,4,2,26,4,1,blue,blue,right,1,,001,2022-03-16_10h14.04.963,stroop,2021.2.3,Win32,59.95203837
left,1,0.739,4,3,27,5,1,blue,red,left,0,,001,2022-03-16_10h14.04.963,stroop,2021.2.3,Win32,59.95203837
down,1,0.672,4,4,28,1,1,red,green,down,0,,001,2022-03-16_10h14.04.963,stroop,2021.2.3,Win32,59.95203837
left,1,0.498,4,5,29,0,1,red,red,left,1,,001,2022-03-16_10h14.04.963,stroop,2021.2.3,Win32,59.95203837
