resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
right,1,0.7019,0,0,0,4,1,blue,blue,right,1,Sean T,001,2022-03-07_15h58.47.076,stroop,2021.2.3,MacIntel,60.0024001
right,1,0.4443,0,1,1,3,1,green,blue,right,0,Sean T,001,2022-03-07_15h58.47.076,stroop,2021.2.3,MacIntel,60.0024001
down,1,1.3281,0,2,2,2,1,green,green,down,1,Sean T,001,2022-03-07_15h58.47.076,stroop,2021.2.3,MacIntel,60.0024001
down,1,0.7817,0,3,3,1,1,red,green,down,0,Sean T,001,2022-03-07_15h58.47.076,stroop,2021.2.3,MacIntel,60.0024001
left,1,0.4051,0,4,4,0,1,red,red,left,1,Sean T,001,2022-03-07_15h58.47.076,stroop,2021.2.3,MacIntel,60.0024001
left,1,0.3665,0,5,5,5,1,blue,red,left,0,Sean T,001,2022-03-07_15h58.47.076,stroop,2021.2.3,MacIntel,60.0024001
right,1,0.4151,1,0,6,3,1,green,blue,right,0,Sean T,001,2022-03-07_15h58.47.076,stroop,2021.2.3,MacIntel,60.0024001
down,1,0.6132,1,1,7,2,1,green,green,down,1,Sean T,001,2022-03-07_15h58.47.076,stroop,2021.2.3,MacIntel,60.0024001
left,1,0.6152,1,2,8,5,1,blue,red,left,0,Sean T,001,2022-03-07_15h58.47.076,stroop,2021.2.3,MacIntel,60.0024001
left,1,0.4417,1,3,9,0,1,red,red,left,1,Sean T,001,2022-03-07_15h58.47.076,stroop,2021.2.3,MacIntel,60.0024001
down,1,0.5982,1,4,10,1,1,red,green,down,0,Sean T,001,2022-03-07_15h58.47.076,stroop,2021.2.3,MacIntel,60.0024001
right,1,0.5488,1,5,11,4,1,blue,blue,right,1,Sean T,001,2022-03-07_15h58.47.076,stroop,2021.2.3,MacIntel,60.0024001
left,0,1.0325,2,0,12,1,1,red,green,down,0,Sean T,001,2022-03-07_15h58.47.076,stroop,2021.2.3,MacIntel,60.0024001
left,1,1.3647,2,1,13,5,1,blue,red,left,0,Sean T,001,2022-03-07_15h58.47.076,stroop,2021.2.3,MacIntel,60.0024001
left,1,0.7494,2,2,14,0,1,red,red,left,1,Sean T,001,2022-03-07_15h58.47.076,stroop,2021.2.3,MacIntel,60.0024001
right,1,0.6656,2,3,15,3,1,green,blue,right,0,Sean T,001,2022-03-07_15h58.47.076,stroop,2021.2.3,MacIntel,60.0024001
down,0,0.5591,2,4,16,4,1,blue,blue,right,1,Sean T,001,2022-03-07_15h58.47.076,stroop,2021.2.3,MacIntel,60.0024001
down,1,0.698,2,5,17,2,1,green,green,down,1,Sean T,001,2022-03-07_15h58.47.076,stroop,2021.2.3,MacIntel,60.0024001
left,1,1.1494,3,0,18,5,1,blue,red,left,0,Sean T,001,2022-03-07_15h58.47.076,stroop,2021.2.3,MacIntel,60.0024001
left,1,0.4828,3,1,19,0,1,red,red,left,1,Sean T,001,2022-03-07_15h58.47.076,stroop,2021.2.3,MacIntel,60.0024001
down,1,1.5029,3,2,20,1,1,red,green,down,0,Sean T,001,2022-03-07_15h58.47.076,stroop,2021.2.3,MacIntel,60.0024001
down,1,0.3516,3,3,21,2,1,green,green,down,1,Sean T,001,2022-03-07_15h58.47.076,stroop,2021.2.3,MacIntel,60.0024001
right,1,0.4222,3,4,22,3,1,green,blue,right,0,Sean T,001,2022-03-07_15h58.47.076,stroop,2021.2.3,MacIntel,60.0024001
right,1,0.3547,3,5,23,4,1,blue,blue,right,1,Sean T,001,2022-03-07_15h58.47.076,stroop,2021.2.3,MacIntel,60.0024001
left,1,0.5677,4,0,24,5,1,blue,red,left,0,Sean T,001,2022-03-07_15h58.47.076,stroop,2021.2.3,MacIntel,60.0024001
down,0,0.5177,4,1,25,4,1,blue,blue,right,1,Sean T,001,2022-03-07_15h58.47.076,stroop,2021.2.3,MacIntel,60.0024001
down,0,0.4169,4,2,26,3,1,green,blue,right,0,Sean T,001,2022-03-07_15h58.47.076,stroop,2021.2.3,MacIntel,60.0024001
left,1,0.5079,4,3,27,0,1,red,red,left,1,Sean T,001,2022-03-07_15h58.47.076,stroop,2021.2.3,MacIntel,60.0024001
down,1,1.0487,4,4,28,2,1,green,green,down,1,Sean T,001,2022-03-07_15h58.47.076,stroop,2021.2.3,MacIntel,60.0024001
down,1,0.3984,4,5,29,1,1,red,green,down,0,Sean T,001,2022-03-07_15h58.47.076,stroop,2021.2.3,MacIntel,60.0024001
