resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
down,1,1.7996,0,0,0,1,1,red,green,down,0,Shaaf,001,2022-03-14_09h08.39.424,stroop,2021.2.3,Win32,60.19382411
down,1,1.1253,0,1,1,2,1,green,green,down,1,Shaaf,001,2022-03-14_09h08.39.424,stroop,2021.2.3,Win32,60.19382411
right,1,0.94,0,2,2,4,1,blue,blue,right,1,Shaaf,001,2022-03-14_09h08.39.424,stroop,2021.2.3,Win32,60.19382411
left,1,0.7231,0,3,3,0,1,red,red,left,1,Shaaf,001,2022-03-14_09h08.39.424,stroop,2021.2.3,Win32,60.19382411
left,1,0.801,0,4,4,5,1,blue,red,left,0,Shaaf,001,2022-03-14_09h08.39.424,stroop,2021.2.3,Win32,60.19382411
right,1,0.7317,0,5,5,3,1,green,blue,right,0,Shaaf,001,2022-03-14_09h08.39.424,stroop,2021.2.3,Win32,60.19382411
down,1,0.5694,1,0,6,1,1,red,green,down,0,Shaaf,001,2022-03-14_09h08.39.424,stroop,2021.2.3,Win32,60.19382411
right,1,1.1492,1,1,7,3,1,green,blue,right,0,Shaaf,001,2022-03-14_09h08.39.424,stroop,2021.2.3,Win32,60.19382411
down,1,1.2578,1,2,8,2,1,green,green,down,1,Shaaf,001,2022-03-14_09h08.39.424,stroop,2021.2.3,Win32,60.19382411
left,1,0.4986,1,3,9,5,1,blue,red,left,0,Shaaf,001,2022-03-14_09h08.39.424,stroop,2021.2.3,Win32,60.19382411
left,1,0.5209,1,4,10,0,1,red,red,left,1,Shaaf,001,2022-03-14_09h08.39.424,stroop,2021.2.3,Win32,60.19382411
right,1,1.0874,1,5,11,4,1,blue,blue,right,1,Shaaf,001,2022-03-14_09h08.39.424,stroop,2021.2.3,Win32,60.19382411
down,1,0.6712,2,0,12,2,1,green,green,down,1,Shaaf,001,2022-03-14_09h08.39.424,stroop,2021.2.3,Win32,60.19382411
left,0,1.3278,2,1,13,1,1,red,green,down,0,Shaaf,001,2022-03-14_09h08.39.424,stroop,2021.2.3,Win32,60.19382411
right,0,1.3499,2,2,14,5,1,blue,red,left,0,Shaaf,001,2022-03-14_09h08.39.424,stroop,2021.2.3,Win32,60.19382411
left,1,0.7947,2,3,15,0,1,red,red,left,1,Shaaf,001,2022-03-14_09h08.39.424,stroop,2021.2.3,Win32,60.19382411
right,1,1.1578,2,4,16,4,1,blue,blue,right,1,Shaaf,001,2022-03-14_09h08.39.424,stroop,2021.2.3,Win32,60.19382411
down,0,0.7703,2,5,17,3,1,green,blue,right,0,Shaaf,001,2022-03-14_09h08.39.424,stroop,2021.2.3,Win32,60.19382411
left,1,1.3744,3,0,18,0,1,red,red,left,1,Shaaf,001,2022-03-14_09h08.39.424,stroop,2021.2.3,Win32,60.19382411
down,1,1.4427,3,1,19,1,1,red,green,down,0,Shaaf,001,2022-03-14_09h08.39.424,stroop,2021.2.3,Win32,60.19382411
left,1,0.8359,3,2,20,5,1,blue,red,left,0,Shaaf,001,2022-03-14_09h08.39.424,stroop,2021.2.3,Win32,60.19382411
down,1,1.0671,3,3,21,2,1,green,green,down,1,Shaaf,001,2022-03-14_09h08.39.424,stroop,2021.2.3,Win32,60.19382411
right,1,0.7468,3,4,22,3,1,green,blue,right,0,Shaaf,001,2022-03-14_09h08.39.424,stroop,2021.2.3,Win32,60.19382411
right,1,1.3665,3,5,23,4,1,blue,blue,right,1,Shaaf,001,2022-03-14_09h08.39.424,stroop,2021.2.3,Win32,60.19382411
down,1,0.732,4,0,24,2,1,green,green,down,1,Shaaf,001,2022-03-14_09h08.39.424,stroop,2021.2.3,Win32,60.19382411
left,1,0.4549,4,1,25,0,1,red,red,left,1,Shaaf,001,2022-03-14_09h08.39.424,stroop,2021.2.3,Win32,60.19382411
down,1,0.7396,4,2,26,1,1,red,green,down,0,Shaaf,001,2022-03-14_09h08.39.424,stroop,2021.2.3,Win32,60.19382411
left,1,1.0266,4,3,27,5,1,blue,red,left,0,Shaaf,001,2022-03-14_09h08.39.424,stroop,2021.2.3,Win32,60.19382411
right,1,0.7508,4,4,28,4,1,blue,blue,right,1,Shaaf,001,2022-03-14_09h08.39.424,stroop,2021.2.3,Win32,60.19382411
right,1,0.8006,4,5,29,3,1,green,blue,right,0,Shaaf,001,2022-03-14_09h08.39.424,stroop,2021.2.3,Win32,60.19382411
