resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
left,1,1.1833,0,0,0,5,1,blue,red,left,0,Sinead,001,2022-03-10_21h09.13.513,stroop,2021.2.3,Win32,60.16847172
down,1,1.2188,0,1,1,1,1,red,green,down,0,Sinead,001,2022-03-10_21h09.13.513,stroop,2021.2.3,Win32,60.16847172
left,1,0.728,0,2,2,0,1,red,red,left,1,Sinead,001,2022-03-10_21h09.13.513,stroop,2021.2.3,Win32,60.16847172
right,1,0.5367,0,3,3,4,1,blue,blue,right,1,Sinead,001,2022-03-10_21h09.13.513,stroop,2021.2.3,Win32,60.16847172
right,1,0.8719,0,4,4,3,1,green,blue,right,0,Sinead,001,2022-03-10_21h09.13.513,stroop,2021.2.3,Win32,60.16847172
down,1,0.8481,0,5,5,2,1,green,green,down,1,Sinead,001,2022-03-10_21h09.13.513,stroop,2021.2.3,Win32,60.16847172
down,1,0.4012,1,0,6,2,1,green,green,down,1,Sinead,001,2022-03-10_21h09.13.513,stroop,2021.2.3,Win32,60.16847172
right,1,0.6077,1,1,7,3,1,green,blue,right,0,Sinead,001,2022-03-10_21h09.13.513,stroop,2021.2.3,Win32,60.16847172
down,1,0.6273,1,2,8,1,1,red,green,down,0,Sinead,001,2022-03-10_21h09.13.513,stroop,2021.2.3,Win32,60.16847172
left,1,0.6064,1,3,9,5,1,blue,red,left,0,Sinead,001,2022-03-10_21h09.13.513,stroop,2021.2.3,Win32,60.16847172
left,1,0.5243,1,4,10,0,1,red,red,left,1,Sinead,001,2022-03-10_21h09.13.513,stroop,2021.2.3,Win32,60.16847172
right,1,0.6154,1,5,11,4,1,blue,blue,right,1,Sinead,001,2022-03-10_21h09.13.513,stroop,2021.2.3,Win32,60.16847172
right,1,0.4656,2,0,12,4,1,blue,blue,right,1,Sinead,001,2022-03-10_21h09.13.513,stroop,2021.2.3,Win32,60.16847172
down,1,0.5158,2,1,13,2,1,green,green,down,1,Sinead,001,2022-03-10_21h09.13.513,stroop,2021.2.3,Win32,60.16847172
right,1,0.654,2,2,14,3,1,green,blue,right,0,Sinead,001,2022-03-10_21h09.13.513,stroop,2021.2.3,Win32,60.16847172
left,1,0.5033,2,3,15,0,1,red,red,left,1,Sinead,001,2022-03-10_21h09.13.513,stroop,2021.2.3,Win32,60.16847172
down,1,0.9713,2,4,16,1,1,red,green,down,0,Sinead,001,2022-03-10_21h09.13.513,stroop,2021.2.3,Win32,60.16847172
left,1,0.8571,2,5,17,5,1,blue,red,left,0,Sinead,001,2022-03-10_21h09.13.513,stroop,2021.2.3,Win32,60.16847172
down,1,0.7158,3,0,18,2,1,green,green,down,1,Sinead,001,2022-03-10_21h09.13.513,stroop,2021.2.3,Win32,60.16847172
left,1,0.5526,3,1,19,0,1,red,red,left,1,Sinead,001,2022-03-10_21h09.13.513,stroop,2021.2.3,Win32,60.16847172
down,1,0.7839,3,2,20,1,1,red,green,down,0,Sinead,001,2022-03-10_21h09.13.513,stroop,2021.2.3,Win32,60.16847172
right,1,0.8989,3,3,21,3,1,green,blue,right,0,Sinead,001,2022-03-10_21h09.13.513,stroop,2021.2.3,Win32,60.16847172
left,1,0.8322,3,4,22,5,1,blue,red,left,0,Sinead,001,2022-03-10_21h09.13.513,stroop,2021.2.3,Win32,60.16847172
right,1,0.783,3,5,23,4,1,blue,blue,right,1,Sinead,001,2022-03-10_21h09.13.513,stroop,2021.2.3,Win32,60.16847172
left,1,0.5665,4,0,24,5,1,blue,red,left,0,Sinead,001,2022-03-10_21h09.13.513,stroop,2021.2.3,Win32,60.16847172
right,1,0.5499,4,1,25,4,1,blue,blue,right,1,Sinead,001,2022-03-10_21h09.13.513,stroop,2021.2.3,Win32,60.16847172
left,1,0.573,4,2,26,0,1,red,red,left,1,Sinead,001,2022-03-10_21h09.13.513,stroop,2021.2.3,Win32,60.16847172
down,1,0.4934,4,3,27,2,1,green,green,down,1,Sinead,001,2022-03-10_21h09.13.513,stroop,2021.2.3,Win32,60.16847172
right,1,0.6512,4,4,28,3,1,green,blue,right,0,Sinead,001,2022-03-10_21h09.13.513,stroop,2021.2.3,Win32,60.16847172
down,1,0.9904,4,5,29,1,1,red,green,down,0,Sinead,001,2022-03-10_21h09.13.513,stroop,2021.2.3,Win32,60.16847172
