resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
down,0,1.2706,0,0,0,4,1,blue,blue,right,1,XXX002,001,2022-03-07_16h35.27.529,stroop,2021.2.3,Win32,60.03842459
right,1,1.1614,0,1,1,3,1,green,blue,right,0,XXX002,001,2022-03-07_16h35.27.529,stroop,2021.2.3,Win32,60.03842459
left,0,1.3691,0,2,2,1,1,red,green,down,0,XXX002,001,2022-03-07_16h35.27.529,stroop,2021.2.3,Win32,60.03842459
down,1,1.229,0,3,3,2,1,green,green,down,1,XXX002,001,2022-03-07_16h35.27.529,stroop,2021.2.3,Win32,60.03842459
left,1,1.118,0,4,4,0,1,red,red,left,1,XXX002,001,2022-03-07_16h35.27.529,stroop,2021.2.3,Win32,60.03842459
right,0,0.9151,0,5,5,5,1,blue,red,left,0,XXX002,001,2022-03-07_16h35.27.529,stroop,2021.2.3,Win32,60.03842459
down,0,0.8104,1,0,6,4,1,blue,blue,right,1,XXX002,001,2022-03-07_16h35.27.529,stroop,2021.2.3,Win32,60.03842459
down,0,0.8168,1,1,7,5,1,blue,red,left,0,XXX002,001,2022-03-07_16h35.27.529,stroop,2021.2.3,Win32,60.03842459
right,1,1.1011,1,2,8,3,1,green,blue,right,0,XXX002,001,2022-03-07_16h35.27.529,stroop,2021.2.3,Win32,60.03842459
left,1,0.9181,1,3,9,0,1,red,red,left,1,XXX002,001,2022-03-07_16h35.27.529,stroop,2021.2.3,Win32,60.03842459
down,1,1.0965,1,4,10,2,1,green,green,down,1,XXX002,001,2022-03-07_16h35.27.529,stroop,2021.2.3,Win32,60.03842459
left,0,1.1461,1,5,11,1,1,red,green,down,0,XXX002,001,2022-03-07_16h35.27.529,stroop,2021.2.3,Win32,60.03842459
down,0,0.8637,2,0,12,3,1,green,blue,right,0,XXX002,001,2022-03-07_16h35.27.529,stroop,2021.2.3,Win32,60.03842459
down,1,0.7497,2,1,13,2,1,green,green,down,1,XXX002,001,2022-03-07_16h35.27.529,stroop,2021.2.3,Win32,60.03842459
right,0,0.7485,2,2,14,5,1,blue,red,left,0,XXX002,001,2022-03-07_16h35.27.529,stroop,2021.2.3,Win32,60.03842459
left,1,0.7873,2,3,15,0,1,red,red,left,1,XXX002,001,2022-03-07_16h35.27.529,stroop,2021.2.3,Win32,60.03842459
down,0,0.8131,2,4,16,4,1,blue,blue,right,1,XXX002,001,2022-03-07_16h35.27.529,stroop,2021.2.3,Win32,60.03842459
left,0,0.8319,2,5,17,1,1,red,green,down,0,XXX002,001,2022-03-07_16h35.27.529,stroop,2021.2.3,Win32,60.03842459
left,0,0.844,3,0,18,1,1,red,green,down,0,XXX002,001,2022-03-07_16h35.27.529,stroop,2021.2.3,Win32,60.03842459
down,1,1.2125,3,1,19,2,1,green,green,down,1,XXX002,001,2022-03-07_16h35.27.529,stroop,2021.2.3,Win32,60.03842459
down,0,0.7796,3,2,20,3,1,green,blue,right,0,XXX002,001,2022-03-07_16h35.27.529,stroop,2021.2.3,Win32,60.03842459
right,0,0.8004,3,3,21,5,1,blue,red,left,0,XXX002,001,2022-03-07_16h35.27.529,stroop,2021.2.3,Win32,60.03842459
left,1,0.7525,3,4,22,0,1,red,red,left,1,XXX002,001,2022-03-07_16h35.27.529,stroop,2021.2.3,Win32,60.03842459
right,1,1.5001,3,5,23,4,1,blue,blue,right,1,XXX002,001,2022-03-07_16h35.27.529,stroop,2021.2.3,Win32,60.03842459
right,1,0.767,4,0,24,4,1,blue,blue,right,1,XXX002,001,2022-03-07_16h35.27.529,stroop,2021.2.3,Win32,60.03842459
right,0,0.7165,4,1,25,5,1,blue,red,left,0,XXX002,001,2022-03-07_16h35.27.529,stroop,2021.2.3,Win32,60.03842459
left,0,0.8336,4,2,26,1,1,red,green,down,0,XXX002,001,2022-03-07_16h35.27.529,stroop,2021.2.3,Win32,60.03842459
left,1,0.8848,4,3,27,0,1,red,red,left,1,XXX002,001,2022-03-07_16h35.27.529,stroop,2021.2.3,Win32,60.03842459
down,1,0.8005,4,4,28,2,1,green,green,down,1,XXX002,001,2022-03-07_16h35.27.529,stroop,2021.2.3,Win32,60.03842459
down,0,0.7972,4,5,29,3,1,green,blue,right,0,XXX002,001,2022-03-07_16h35.27.529,stroop,2021.2.3,Win32,60.03842459
