resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
down,0,1.669,0,0,0,3,1,green,blue,right,0,Zak,46459650,2022-03-11_13h15.38.270,stroop,2021.2.3,Win32,59.95203837
right,0,1.08,0,1,1,2,1,green,green,down,1,Zak,46459650,2022-03-11_13h15.38.270,stroop,2021.2.3,Win32,59.95203837
left,1,0.7,0,2,2,0,1,red,red,left,1,Zak,46459650,2022-03-11_13h15.38.270,stroop,2021.2.3,Win32,59.95203837
down,0,0.579,0,3,3,5,1,blue,red,left,0,Zak,46459650,2022-03-11_13h15.38.270,stroop,2021.2.3,Win32,59.95203837
down,0,0.648,0,4,4,4,1,blue,blue,right,1,Zak,46459650,2022-03-11_13h15.38.270,stroop,2021.2.3,Win32,59.95203837
left,0,0.606,0,5,5,1,1,red,green,down,0,Zak,46459650,2022-03-11_13h15.38.270,stroop,2021.2.3,Win32,59.95203837
right,0,0.414,1,0,6,2,1,green,green,down,1,Zak,46459650,2022-03-11_13h15.38.270,stroop,2021.2.3,Win32,59.95203837
down,0,0.333,1,1,7,5,1,blue,red,left,0,Zak,46459650,2022-03-11_13h15.38.270,stroop,2021.2.3,Win32,59.95203837
left,0,0.499,1,2,8,4,1,blue,blue,right,1,Zak,46459650,2022-03-11_13h15.38.270,stroop,2021.2.3,Win32,59.95203837
down,0,0.329,1,3,9,0,1,red,red,left,1,Zak,46459650,2022-03-11_13h15.38.270,stroop,2021.2.3,Win32,59.95203837
left,0,0.015,1,4,10,3,1,green,blue,right,0,Zak,46459650,2022-03-11_13h15.38.270,stroop,2021.2.3,Win32,59.95203837
right,0,0.07,1,5,11,1,1,red,green,down,0,Zak,46459650,2022-03-11_13h15.38.270,stroop,2021.2.3,Win32,59.95203837
down,1,0.029,2,0,12,2,1,green,green,down,1,Zak,46459650,2022-03-11_13h15.38.270,stroop,2021.2.3,Win32,59.95203837
left,1,0.082,2,1,13,0,1,red,red,left,1,Zak,46459650,2022-03-11_13h15.38.270,stroop,2021.2.3,Win32,59.95203837
right,0,0.035,2,2,14,1,1,red,green,down,0,Zak,46459650,2022-03-11_13h15.38.270,stroop,2021.2.3,Win32,59.95203837
right,1,0.017,2,3,15,3,1,green,blue,right,0,Zak,46459650,2022-03-11_13h15.38.270,stroop,2021.2.3,Win32,59.95203837
left,0,0.006,2,4,16,4,1,blue,blue,right,1,Zak,46459650,2022-03-11_13h15.38.270,stroop,2021.2.3,Win32,59.95203837
left,1,0.018,2,5,17,5,1,blue,red,left,0,Zak,46459650,2022-03-11_13h15.38.270,stroop,2021.2.3,Win32,59.95203837
left,0,0.106,3,0,18,3,1,green,blue,right,0,Zak,46459650,2022-03-11_13h15.38.270,stroop,2021.2.3,Win32,59.95203837
right,1,0.035,3,1,19,4,1,blue,blue,right,1,Zak,46459650,2022-03-11_13h15.38.270,stroop,2021.2.3,Win32,59.95203837
right,0,0.115,3,2,20,2,1,green,green,down,1,Zak,46459650,2022-03-11_13h15.38.270,stroop,2021.2.3,Win32,59.95203837
left,0,0.033,3,3,21,1,1,red,green,down,0,Zak,46459650,2022-03-11_13h15.38.270,stroop,2021.2.3,Win32,59.95203837
left,1,0.016,3,4,22,5,1,blue,red,left,0,Zak,46459650,2022-03-11_13h15.38.270,stroop,2021.2.3,Win32,59.95203837
left,1,0.004,3,5,23,0,1,red,red,left,1,Zak,46459650,2022-03-11_13h15.38.270,stroop,2021.2.3,Win32,59.95203837
down,1,0.029,4,0,24,1,1,red,green,down,0,Zak,46459650,2022-03-11_13h15.38.270,stroop,2021.2.3,Win32,59.95203837
right,0,0.131,4,1,25,2,1,green,green,down,1,Zak,46459650,2022-03-11_13h15.38.270,stroop,2021.2.3,Win32,59.95203837
right,1,0.08,4,2,26,3,1,green,blue,right,0,Zak,46459650,2022-03-11_13h15.38.270,stroop,2021.2.3,Win32,59.95203837
left,1,0.032,4,3,27,0,1,red,red,left,1,Zak,46459650,2022-03-11_13h15.38.270,stroop,2021.2.3,Win32,59.95203837
right,0,0.105,4,4,28,5,1,blue,red,left,0,Zak,46459650,2022-03-11_13h15.38.270,stroop,2021.2.3,Win32,59.95203837
right,1,0.198,4,5,29,4,1,blue,blue,right,1,Zak,46459650,2022-03-11_13h15.38.270,stroop,2021.2.3,Win32,59.95203837
