resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
left,1,0.7523,0,0,0,0,1,red,red,left,1,aaa,001,2022-03-17_12h07.07.645,stroop,2021.2.3,Win32,60.54368227
right,0,1.6167,0,1,1,1,1,red,green,down,0,aaa,001,2022-03-17_12h07.07.645,stroop,2021.2.3,Win32,60.54368227
right,0,0.8631,0,2,2,2,1,green,green,down,1,aaa,001,2022-03-17_12h07.07.645,stroop,2021.2.3,Win32,60.54368227
down,0,0.8551,0,3,3,4,1,blue,blue,right,1,aaa,001,2022-03-17_12h07.07.645,stroop,2021.2.3,Win32,60.54368227
down,0,1.1045,0,4,4,3,1,green,blue,right,0,aaa,001,2022-03-17_12h07.07.645,stroop,2021.2.3,Win32,60.54368227
left,1,0.7362,0,5,5,5,1,blue,red,left,0,aaa,001,2022-03-17_12h07.07.645,stroop,2021.2.3,Win32,60.54368227
down,0,0.4807,1,0,6,4,1,blue,blue,right,1,aaa,001,2022-03-17_12h07.07.645,stroop,2021.2.3,Win32,60.54368227
right,0,0.4664,1,1,7,1,1,red,green,down,0,aaa,001,2022-03-17_12h07.07.645,stroop,2021.2.3,Win32,60.54368227
left,1,0.6435,1,2,8,5,1,blue,red,left,0,aaa,001,2022-03-17_12h07.07.645,stroop,2021.2.3,Win32,60.54368227
right,0,0.5193,1,3,9,2,1,green,green,down,1,aaa,001,2022-03-17_12h07.07.645,stroop,2021.2.3,Win32,60.54368227
