resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
down,1,2.4208,0,0,0,1,1,red,green,down,0,amy,001,2022-03-16_22h02.48.029,stroop,2021.2.3,Win32,60.08893162
right,1,1.3457,0,1,1,4,1,blue,blue,right,1,amy,001,2022-03-16_22h02.48.029,stroop,2021.2.3,Win32,60.08893162
left,1,1.1065,0,2,2,0,1,red,red,left,1,amy,001,2022-03-16_22h02.48.029,stroop,2021.2.3,Win32,60.08893162
left,1,2.0651,0,3,3,5,1,blue,red,left,0,amy,001,2022-03-16_22h02.48.029,stroop,2021.2.3,Win32,60.08893162
right,1,1.275,0,4,4,3,1,green,blue,right,0,amy,001,2022-03-16_22h02.48.029,stroop,2021.2.3,Win32,60.08893162
down,1,1.2154,0,5,5,2,1,green,green,down,1,amy,001,2022-03-16_22h02.48.029,stroop,2021.2.3,Win32,60.08893162
left,1,0.9791,1,0,6,5,1,blue,red,left,0,amy,001,2022-03-16_22h02.48.029,stroop,2021.2.3,Win32,60.08893162
left,1,0.9968,1,1,7,0,1,red,red,left,1,amy,001,2022-03-16_22h02.48.029,stroop,2021.2.3,Win32,60.08893162
right,1,0.9209,1,2,8,3,1,green,blue,right,0,amy,001,2022-03-16_22h02.48.029,stroop,2021.2.3,Win32,60.08893162
down,1,0.6091,1,3,9,1,1,red,green,down,0,amy,001,2022-03-16_22h02.48.029,stroop,2021.2.3,Win32,60.08893162
down,1,1.0853,1,4,10,2,1,green,green,down,1,amy,001,2022-03-16_22h02.48.029,stroop,2021.2.3,Win32,60.08893162
right,1,0.7944,1,5,11,4,1,blue,blue,right,1,amy,001,2022-03-16_22h02.48.029,stroop,2021.2.3,Win32,60.08893162
left,1,0.5393,2,0,12,5,1,blue,red,left,0,amy,001,2022-03-16_22h02.48.029,stroop,2021.2.3,Win32,60.08893162
right,1,0.5985,2,1,13,4,1,blue,blue,right,1,amy,001,2022-03-16_22h02.48.029,stroop,2021.2.3,Win32,60.08893162
down,1,0.8975,2,2,14,1,1,red,green,down,0,amy,001,2022-03-16_22h02.48.029,stroop,2021.2.3,Win32,60.08893162
down,1,0.5486,2,3,15,2,1,green,green,down,1,amy,001,2022-03-16_22h02.48.029,stroop,2021.2.3,Win32,60.08893162
right,1,0.7115,2,4,16,3,1,green,blue,right,0,amy,001,2022-03-16_22h02.48.029,stroop,2021.2.3,Win32,60.08893162
left,1,0.4551,2,5,17,0,1,red,red,left,1,amy,001,2022-03-16_22h02.48.029,stroop,2021.2.3,Win32,60.08893162
right,1,1.2137,3,0,18,3,1,green,blue,right,0,amy,001,2022-03-16_22h02.48.029,stroop,2021.2.3,Win32,60.08893162
right,1,0.6839,3,1,19,4,1,blue,blue,right,1,amy,001,2022-03-16_22h02.48.029,stroop,2021.2.3,Win32,60.08893162
down,1,0.5972,3,2,20,1,1,red,green,down,0,amy,001,2022-03-16_22h02.48.029,stroop,2021.2.3,Win32,60.08893162
down,1,0.4967,3,3,21,2,1,green,green,down,1,amy,001,2022-03-16_22h02.48.029,stroop,2021.2.3,Win32,60.08893162
left,1,0.4241,3,4,22,5,1,blue,red,left,0,amy,001,2022-03-16_22h02.48.029,stroop,2021.2.3,Win32,60.08893162
left,1,0.3957,3,5,23,0,1,red,red,left,1,amy,001,2022-03-16_22h02.48.029,stroop,2021.2.3,Win32,60.08893162
left,1,0.4449,4,0,24,5,1,blue,red,left,0,amy,001,2022-03-16_22h02.48.029,stroop,2021.2.3,Win32,60.08893162
left,1,0.453,4,1,25,0,1,red,red,left,1,amy,001,2022-03-16_22h02.48.029,stroop,2021.2.3,Win32,60.08893162
right,1,0.6465,4,2,26,4,1,blue,blue,right,1,amy,001,2022-03-16_22h02.48.029,stroop,2021.2.3,Win32,60.08893162
right,1,0.5216,4,3,27,3,1,green,blue,right,0,amy,001,2022-03-16_22h02.48.029,stroop,2021.2.3,Win32,60.08893162
down,1,0.6295,4,4,28,1,1,red,green,down,0,amy,001,2022-03-16_22h02.48.029,stroop,2021.2.3,Win32,60.08893162
down,1,0.3412,4,5,29,2,1,green,green,down,1,amy,001,2022-03-16_22h02.48.029,stroop,2021.2.3,Win32,60.08893162
