resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
down,1,0.5694,0,0,0,2,1,green,green,down,1,arsh,001,2022-03-18_12h28.35.543,stroop,2021.2.3,MacIntel,59.99880002
left,0,0.5891,0,1,1,1,1,red,green,down,0,arsh,001,2022-03-18_12h28.35.543,stroop,2021.2.3,MacIntel,59.99880002
right,1,0.727,0,2,2,4,1,blue,blue,right,1,arsh,001,2022-03-18_12h28.35.543,stroop,2021.2.3,MacIntel,59.99880002
left,1,0.4719,0,3,3,0,1,red,red,left,1,arsh,001,2022-03-18_12h28.35.543,stroop,2021.2.3,MacIntel,59.99880002
left,1,0.464,0,4,4,5,1,blue,red,left,0,arsh,001,2022-03-18_12h28.35.543,stroop,2021.2.3,MacIntel,59.99880002
right,1,0.5794,0,5,5,3,1,green,blue,right,0,arsh,001,2022-03-18_12h28.35.543,stroop,2021.2.3,MacIntel,59.99880002
down,1,0.4293,1,0,6,2,1,green,green,down,1,arsh,001,2022-03-18_12h28.35.543,stroop,2021.2.3,MacIntel,59.99880002
right,0,0.4077,1,1,7,1,1,red,green,down,0,arsh,001,2022-03-18_12h28.35.543,stroop,2021.2.3,MacIntel,59.99880002
right,1,0.4838,1,2,8,3,1,green,blue,right,0,arsh,001,2022-03-18_12h28.35.543,stroop,2021.2.3,MacIntel,59.99880002
down,0,0.431,1,3,9,0,1,red,red,left,1,arsh,001,2022-03-18_12h28.35.543,stroop,2021.2.3,MacIntel,59.99880002
left,1,0.582,1,4,10,5,1,blue,red,left,0,arsh,001,2022-03-18_12h28.35.543,stroop,2021.2.3,MacIntel,59.99880002
right,1,0.616,1,5,11,4,1,blue,blue,right,1,arsh,001,2022-03-18_12h28.35.543,stroop,2021.2.3,MacIntel,59.99880002
right,1,0.4336,2,0,12,4,1,blue,blue,right,1,arsh,001,2022-03-18_12h28.35.543,stroop,2021.2.3,MacIntel,59.99880002
down,1,0.5839,2,1,13,2,1,green,green,down,1,arsh,001,2022-03-18_12h28.35.543,stroop,2021.2.3,MacIntel,59.99880002
right,1,0.6669,2,2,14,3,1,green,blue,right,0,arsh,001,2022-03-18_12h28.35.543,stroop,2021.2.3,MacIntel,59.99880002
left,0,0.634,2,3,15,1,1,red,green,down,0,arsh,001,2022-03-18_12h28.35.543,stroop,2021.2.3,MacIntel,59.99880002
down,0,0.8243,2,4,16,5,1,blue,red,left,0,arsh,001,2022-03-18_12h28.35.543,stroop,2021.2.3,MacIntel,59.99880002
left,1,1.1812,2,5,17,0,1,red,red,left,1,arsh,001,2022-03-18_12h28.35.543,stroop,2021.2.3,MacIntel,59.99880002
down,1,0.6498,3,0,18,2,1,green,green,down,1,arsh,001,2022-03-18_12h28.35.543,stroop,2021.2.3,MacIntel,59.99880002
down,1,1.7835,3,1,19,1,1,red,green,down,0,arsh,001,2022-03-18_12h28.35.543,stroop,2021.2.3,MacIntel,59.99880002
right,1,0.6817,3,2,20,4,1,blue,blue,right,1,arsh,001,2022-03-18_12h28.35.543,stroop,2021.2.3,MacIntel,59.99880002
down,0,0.5009,3,3,21,3,1,green,blue,right,0,arsh,001,2022-03-18_12h28.35.543,stroop,2021.2.3,MacIntel,59.99880002
right,0,0.4677,3,4,22,5,1,blue,red,left,0,arsh,001,2022-03-18_12h28.35.543,stroop,2021.2.3,MacIntel,59.99880002
right,0,0.0022,3,5,23,0,1,red,red,left,1,arsh,001,2022-03-18_12h28.35.543,stroop,2021.2.3,MacIntel,59.99880002
right,1,0.0168,4,0,24,4,1,blue,blue,right,1,arsh,001,2022-03-18_12h28.35.543,stroop,2021.2.3,MacIntel,59.99880002
