resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
right,1,1.047725,0,0,0,3,1,green,blue,right,0,blahblah,001,2022-02-16_11h49.23.452,stroop,2021.2.3,Win32,59.93407252
down,1,0.86934,0,1,1,2,1,green,green,down,1,blahblah,001,2022-02-16_11h49.23.452,stroop,2021.2.3,Win32,59.93407252
right,1,0.619840001,0,2,2,4,1,blue,blue,right,1,blahblah,001,2022-02-16_11h49.23.452,stroop,2021.2.3,Win32,59.93407252
down,1,0.474325,0,3,3,1,1,red,green,down,0,blahblah,001,2022-02-16_11h49.23.452,stroop,2021.2.3,Win32,59.93407252
left,1,0.420945,0,4,4,5,1,blue,red,left,0,blahblah,001,2022-02-16_11h49.23.452,stroop,2021.2.3,Win32,59.93407252
left,1,0.55137,0,5,5,0,1,red,red,left,1,blahblah,001,2022-02-16_11h49.23.452,stroop,2021.2.3,Win32,59.93407252
left,1,0.8021,1,0,6,5,1,blue,red,left,0,blahblah,001,2022-02-16_11h49.23.452,stroop,2021.2.3,Win32,59.93407252
down,1,0.417925,1,1,7,2,1,green,green,down,1,blahblah,001,2022-02-16_11h49.23.452,stroop,2021.2.3,Win32,59.93407252
right,1,0.4384,1,2,8,4,1,blue,blue,right,1,blahblah,001,2022-02-16_11h49.23.452,stroop,2021.2.3,Win32,59.93407252
left,1,0.573845,1,3,9,0,1,red,red,left,1,blahblah,001,2022-02-16_11h49.23.452,stroop,2021.2.3,Win32,59.93407252
right,1,1.16867,1,4,10,3,1,green,blue,right,0,blahblah,001,2022-02-16_11h49.23.452,stroop,2021.2.3,Win32,59.93407252
down,1,0.770380001,1,5,11,1,1,red,green,down,0,blahblah,001,2022-02-16_11h49.23.452,stroop,2021.2.3,Win32,59.93407252
left,1,0.886755,2,0,12,5,1,blue,red,left,0,blahblah,001,2022-02-16_11h49.23.452,stroop,2021.2.3,Win32,59.93407252
right,1,0.586345,2,1,13,3,1,green,blue,right,0,blahblah,001,2022-02-16_11h49.23.452,stroop,2021.2.3,Win32,59.93407252
left,1,0.537915001,2,2,14,0,1,red,red,left,1,blahblah,001,2022-02-16_11h49.23.452,stroop,2021.2.3,Win32,59.93407252
down,1,0.64009,2,3,15,2,1,green,green,down,1,blahblah,001,2022-02-16_11h49.23.452,stroop,2021.2.3,Win32,59.93407252
down,1,0.62316,2,4,16,1,1,red,green,down,0,blahblah,001,2022-02-16_11h49.23.452,stroop,2021.2.3,Win32,59.93407252
right,1,0.835855,2,5,17,4,1,blue,blue,right,1,blahblah,001,2022-02-16_11h49.23.452,stroop,2021.2.3,Win32,59.93407252
left,1,0.63666,3,0,18,5,1,blue,red,left,0,blahblah,001,2022-02-16_11h49.23.452,stroop,2021.2.3,Win32,59.93407252
right,1,0.68542,3,1,19,3,1,green,blue,right,0,blahblah,001,2022-02-16_11h49.23.452,stroop,2021.2.3,Win32,59.93407252
right,1,0.518935001,3,2,20,4,1,blue,blue,right,1,blahblah,001,2022-02-16_11h49.23.452,stroop,2021.2.3,Win32,59.93407252
down,1,0.56791,3,3,21,1,1,red,green,down,0,blahblah,001,2022-02-16_11h49.23.452,stroop,2021.2.3,Win32,59.93407252
down,1,0.473005001,3,4,22,2,1,green,green,down,1,blahblah,001,2022-02-16_11h49.23.452,stroop,2021.2.3,Win32,59.93407252
left,1,0.535990001,3,5,23,0,1,red,red,left,1,blahblah,001,2022-02-16_11h49.23.452,stroop,2021.2.3,Win32,59.93407252
right,1,0.786765,4,0,24,3,1,green,blue,right,0,blahblah,001,2022-02-16_11h49.23.452,stroop,2021.2.3,Win32,59.93407252
down,1,0.702400001,4,1,25,1,1,red,green,down,0,blahblah,001,2022-02-16_11h49.23.452,stroop,2021.2.3,Win32,59.93407252
down,1,0.685935,4,2,26,2,1,green,green,down,1,blahblah,001,2022-02-16_11h49.23.452,stroop,2021.2.3,Win32,59.93407252
right,1,0.602755001,4,3,27,4,1,blue,blue,right,1,blahblah,001,2022-02-16_11h49.23.452,stroop,2021.2.3,Win32,59.93407252
left,1,1.11928,4,4,28,0,1,red,red,left,1,blahblah,001,2022-02-16_11h49.23.452,stroop,2021.2.3,Win32,59.93407252
left,1,0.568905001,4,5,29,5,1,blue,red,left,0,blahblah,001,2022-02-16_11h49.23.452,stroop,2021.2.3,Win32,59.93407252
