resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
right,0,0.4913,0,0,0,2,1,green,green,down,1,d,001,2022-03-08_14h03.19.391,stroop,2021.2.3,Win32,60.0348202
right,1,0.3045,0,1,1,3,1,green,blue,right,0,d,001,2022-03-08_14h03.19.391,stroop,2021.2.3,Win32,60.0348202
right,0,0.3167,0,2,2,0,1,red,red,left,1,d,001,2022-03-08_14h03.19.391,stroop,2021.2.3,Win32,60.0348202
right,0,0.24,0,3,3,5,1,blue,red,left,0,d,001,2022-03-08_14h03.19.391,stroop,2021.2.3,Win32,60.0348202
right,0,0.2417,0,4,4,1,1,red,green,down,0,d,001,2022-03-08_14h03.19.391,stroop,2021.2.3,Win32,60.0348202
right,1,0.2588,0,5,5,4,1,blue,blue,right,1,d,001,2022-03-08_14h03.19.391,stroop,2021.2.3,Win32,60.0348202
right,1,0.1782,1,0,6,3,1,green,blue,right,0,d,001,2022-03-08_14h03.19.391,stroop,2021.2.3,Win32,60.0348202
right,0,0.237,1,1,7,5,1,blue,red,left,0,d,001,2022-03-08_14h03.19.391,stroop,2021.2.3,Win32,60.0348202
right,0,0.1843,1,2,8,0,1,red,red,left,1,d,001,2022-03-08_14h03.19.391,stroop,2021.2.3,Win32,60.0348202
right,0,0.1877,1,3,9,1,1,red,green,down,0,d,001,2022-03-08_14h03.19.391,stroop,2021.2.3,Win32,60.0348202
right,1,0.1751,1,4,10,4,1,blue,blue,right,1,d,001,2022-03-08_14h03.19.391,stroop,2021.2.3,Win32,60.0348202
right,0,0.2103,1,5,11,2,1,green,green,down,1,d,001,2022-03-08_14h03.19.391,stroop,2021.2.3,Win32,60.0348202
right,0,0.281,2,0,12,0,1,red,red,left,1,d,001,2022-03-08_14h03.19.391,stroop,2021.2.3,Win32,60.0348202
right,1,0.118,2,1,13,4,1,blue,blue,right,1,d,001,2022-03-08_14h03.19.391,stroop,2021.2.3,Win32,60.0348202
right,1,0.2351,2,2,14,3,1,green,blue,right,0,d,001,2022-03-08_14h03.19.391,stroop,2021.2.3,Win32,60.0348202
right,0,0.187,2,3,15,2,1,green,green,down,1,d,001,2022-03-08_14h03.19.391,stroop,2021.2.3,Win32,60.0348202
right,0,0.3527,2,4,16,1,1,red,green,down,0,d,001,2022-03-08_14h03.19.391,stroop,2021.2.3,Win32,60.0348202
right,0,0.2842,2,5,17,5,1,blue,red,left,0,d,001,2022-03-08_14h03.19.391,stroop,2021.2.3,Win32,60.0348202
right,1,0.1251,3,0,18,3,1,green,blue,right,0,d,001,2022-03-08_14h03.19.391,stroop,2021.2.3,Win32,60.0348202
right,0,0.1153,3,1,19,1,1,red,green,down,0,d,001,2022-03-08_14h03.19.391,stroop,2021.2.3,Win32,60.0348202
right,1,0.0926,3,2,20,4,1,blue,blue,right,1,d,001,2022-03-08_14h03.19.391,stroop,2021.2.3,Win32,60.0348202
right,0,0.0968,3,3,21,5,1,blue,red,left,0,d,001,2022-03-08_14h03.19.391,stroop,2021.2.3,Win32,60.0348202
right,0,0.103,3,4,22,2,1,green,green,down,1,d,001,2022-03-08_14h03.19.391,stroop,2021.2.3,Win32,60.0348202
right,0,0.2541,3,5,23,0,1,red,red,left,1,d,001,2022-03-08_14h03.19.391,stroop,2021.2.3,Win32,60.0348202
right,0,0.2058,4,0,24,1,1,red,green,down,0,d,001,2022-03-08_14h03.19.391,stroop,2021.2.3,Win32,60.0348202
right,0,0.2259,4,1,25,2,1,green,green,down,1,d,001,2022-03-08_14h03.19.391,stroop,2021.2.3,Win32,60.0348202
right,1,0.1477,4,2,26,3,1,green,blue,right,0,d,001,2022-03-08_14h03.19.391,stroop,2021.2.3,Win32,60.0348202
right,0,0.152,4,3,27,5,1,blue,red,left,0,d,001,2022-03-08_14h03.19.391,stroop,2021.2.3,Win32,60.0348202
right,0,0.2538,4,4,28,0,1,red,red,left,1,d,001,2022-03-08_14h03.19.391,stroop,2021.2.3,Win32,60.0348202
right,1,0.0785,4,5,29,4,1,blue,blue,right,1,d,001,2022-03-08_14h03.19.391,stroop,2021.2.3,Win32,60.0348202
