resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
right,1,1.12,0,0,0,4,1,blue,blue,right,1,delphine m,001,2022-03-15_12h24.02.656,stroop,2021.2.3,MacIntel,60.0024001
left,1,0.5739,0,1,1,5,1,blue,red,left,0,delphine m,001,2022-03-15_12h24.02.656,stroop,2021.2.3,MacIntel,60.0024001
down,1,0.4329,0,2,2,2,1,green,green,down,1,delphine m,001,2022-03-15_12h24.02.656,stroop,2021.2.3,MacIntel,60.0024001
right,1,0.5501,0,3,3,3,1,green,blue,right,0,delphine m,001,2022-03-15_12h24.02.656,stroop,2021.2.3,MacIntel,60.0024001
left,0,0.6774,0,4,4,1,1,red,green,down,0,delphine m,001,2022-03-15_12h24.02.656,stroop,2021.2.3,MacIntel,60.0024001
left,1,1.7888,0,5,5,0,1,red,red,left,1,delphine m,001,2022-03-15_12h24.02.656,stroop,2021.2.3,MacIntel,60.0024001
left,1,0.875,1,0,6,5,1,blue,red,left,0,delphine m,001,2022-03-15_12h24.02.656,stroop,2021.2.3,MacIntel,60.0024001
left,1,0.7886,1,1,7,0,1,red,red,left,1,delphine m,001,2022-03-15_12h24.02.656,stroop,2021.2.3,MacIntel,60.0024001
down,1,1.0897,1,2,8,2,1,green,green,down,1,delphine m,001,2022-03-15_12h24.02.656,stroop,2021.2.3,MacIntel,60.0024001
right,1,1.2656,1,3,9,3,1,green,blue,right,0,delphine m,001,2022-03-15_12h24.02.656,stroop,2021.2.3,MacIntel,60.0024001
left,0,1.0131,1,4,10,1,1,red,green,down,0,delphine m,001,2022-03-15_12h24.02.656,stroop,2021.2.3,MacIntel,60.0024001
down,0,1.7327,1,5,11,4,1,blue,blue,right,1,delphine m,001,2022-03-15_12h24.02.656,stroop,2021.2.3,MacIntel,60.0024001
left,1,0.7756,2,0,12,0,1,red,red,left,1,delphine m,001,2022-03-15_12h24.02.656,stroop,2021.2.3,MacIntel,60.0024001
right,0,1.0888,2,1,13,2,1,green,green,down,1,delphine m,001,2022-03-15_12h24.02.656,stroop,2021.2.3,MacIntel,60.0024001
down,0,0.8087,2,2,14,3,1,green,blue,right,0,delphine m,001,2022-03-15_12h24.02.656,stroop,2021.2.3,MacIntel,60.0024001
down,0,0.9416,2,3,15,4,1,blue,blue,right,1,delphine m,001,2022-03-15_12h24.02.656,stroop,2021.2.3,MacIntel,60.0024001
left,1,0.5008,2,4,16,5,1,blue,red,left,0,delphine m,001,2022-03-15_12h24.02.656,stroop,2021.2.3,MacIntel,60.0024001
right,0,0.988,2,5,17,1,1,red,green,down,0,delphine m,001,2022-03-15_12h24.02.656,stroop,2021.2.3,MacIntel,60.0024001
right,0,0.9918,3,0,18,1,1,red,green,down,0,delphine m,001,2022-03-15_12h24.02.656,stroop,2021.2.3,MacIntel,60.0024001
down,0,1.0736,3,1,19,3,1,green,blue,right,0,delphine m,001,2022-03-15_12h24.02.656,stroop,2021.2.3,MacIntel,60.0024001
left,1,0.3985,3,2,20,0,1,red,red,left,1,delphine m,001,2022-03-15_12h24.02.656,stroop,2021.2.3,MacIntel,60.0024001
left,1,1.2659,3,3,21,5,1,blue,red,left,0,delphine m,001,2022-03-15_12h24.02.656,stroop,2021.2.3,MacIntel,60.0024001
right,0,0.8744,3,4,22,2,1,green,green,down,1,delphine m,001,2022-03-15_12h24.02.656,stroop,2021.2.3,MacIntel,60.0024001
down,0,0.632,3,5,23,4,1,blue,blue,right,1,delphine m,001,2022-03-15_12h24.02.656,stroop,2021.2.3,MacIntel,60.0024001
down,0,0.7297,4,0,24,4,1,blue,blue,right,1,delphine m,001,2022-03-15_12h24.02.656,stroop,2021.2.3,MacIntel,60.0024001
right,0,0.7325,4,1,25,1,1,red,green,down,0,delphine m,001,2022-03-15_12h24.02.656,stroop,2021.2.3,MacIntel,60.0024001
down,1,0.651,4,2,26,2,1,green,green,down,1,delphine m,001,2022-03-15_12h24.02.656,stroop,2021.2.3,MacIntel,60.0024001
down,0,1.1814,4,3,27,3,1,green,blue,right,0,delphine m,001,2022-03-15_12h24.02.656,stroop,2021.2.3,MacIntel,60.0024001
left,1,0.6481,4,4,28,5,1,blue,red,left,0,delphine m,001,2022-03-15_12h24.02.656,stroop,2021.2.3,MacIntel,60.0024001
left,1,1.0673,4,5,29,0,1,red,red,left,1,delphine m,001,2022-03-15_12h24.02.656,stroop,2021.2.3,MacIntel,60.0024001
