resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
down,1,0.3981,0,0,0,2,1,green,green,down,1,georgia,001,2022-03-18_12h11.23.728,stroop,2021.2.3,Win32,59.99520038
right,1,1.1792,0,1,1,4,1,blue,blue,right,1,georgia,001,2022-03-18_12h11.23.728,stroop,2021.2.3,Win32,59.99520038
right,1,0.6107,0,2,2,3,1,green,blue,right,0,georgia,001,2022-03-18_12h11.23.728,stroop,2021.2.3,Win32,59.99520038
left,1,0.5838,0,3,3,5,1,blue,red,left,0,georgia,001,2022-03-18_12h11.23.728,stroop,2021.2.3,Win32,59.99520038
down,1,0.8515,0,4,4,1,1,red,green,down,0,georgia,001,2022-03-18_12h11.23.728,stroop,2021.2.3,Win32,59.99520038
left,1,0.4674,0,5,5,0,1,red,red,left,1,georgia,001,2022-03-18_12h11.23.728,stroop,2021.2.3,Win32,59.99520038
down,1,0.5529,1,0,6,1,1,red,green,down,0,georgia,001,2022-03-18_12h11.23.728,stroop,2021.2.3,Win32,59.99520038
left,1,0.6683,1,1,7,0,1,red,red,left,1,georgia,001,2022-03-18_12h11.23.728,stroop,2021.2.3,Win32,59.99520038
down,1,0.5337,1,2,8,2,1,green,green,down,1,georgia,001,2022-03-18_12h11.23.728,stroop,2021.2.3,Win32,59.99520038
left,1,0.8514,1,3,9,5,1,blue,red,left,0,georgia,001,2022-03-18_12h11.23.728,stroop,2021.2.3,Win32,59.99520038
right,1,0.3848,1,4,10,3,1,green,blue,right,0,georgia,001,2022-03-18_12h11.23.728,stroop,2021.2.3,Win32,59.99520038
right,1,0.6017,1,5,11,4,1,blue,blue,right,1,georgia,001,2022-03-18_12h11.23.728,stroop,2021.2.3,Win32,59.99520038
left,1,0.8016,2,0,12,5,1,blue,red,left,0,georgia,001,2022-03-18_12h11.23.728,stroop,2021.2.3,Win32,59.99520038
down,1,0.5367,2,1,13,2,1,green,green,down,1,georgia,001,2022-03-18_12h11.23.728,stroop,2021.2.3,Win32,59.99520038
left,1,0.5422,2,2,14,0,1,red,red,left,1,georgia,001,2022-03-18_12h11.23.728,stroop,2021.2.3,Win32,59.99520038
right,1,0.477,2,3,15,4,1,blue,blue,right,1,georgia,001,2022-03-18_12h11.23.728,stroop,2021.2.3,Win32,59.99520038
down,1,0.4778,2,4,16,1,1,red,green,down,0,georgia,001,2022-03-18_12h11.23.728,stroop,2021.2.3,Win32,59.99520038
right,1,0.7323,2,5,17,3,1,green,blue,right,0,georgia,001,2022-03-18_12h11.23.728,stroop,2021.2.3,Win32,59.99520038
left,1,0.5151,3,0,18,5,1,blue,red,left,0,georgia,001,2022-03-18_12h11.23.728,stroop,2021.2.3,Win32,59.99520038
down,1,0.4811,3,1,19,1,1,red,green,down,0,georgia,001,2022-03-18_12h11.23.728,stroop,2021.2.3,Win32,59.99520038
left,0,0.6467,3,2,20,4,1,blue,blue,right,1,georgia,001,2022-03-18_12h11.23.728,stroop,2021.2.3,Win32,59.99520038
down,1,1.8142,3,3,21,2,1,green,green,down,1,georgia,001,2022-03-18_12h11.23.728,stroop,2021.2.3,Win32,59.99520038
right,1,0.5673,3,4,22,3,1,green,blue,right,0,georgia,001,2022-03-18_12h11.23.728,stroop,2021.2.3,Win32,59.99520038
left,1,0.6627,3,5,23,0,1,red,red,left,1,georgia,001,2022-03-18_12h11.23.728,stroop,2021.2.3,Win32,59.99520038
down,1,0.6852,4,0,24,1,1,red,green,down,0,georgia,001,2022-03-18_12h11.23.728,stroop,2021.2.3,Win32,59.99520038
right,1,0.839,4,1,25,3,1,green,blue,right,0,georgia,001,2022-03-18_12h11.23.728,stroop,2021.2.3,Win32,59.99520038
down,0,0.4843,4,2,26,5,1,blue,red,left,0,georgia,001,2022-03-18_12h11.23.728,stroop,2021.2.3,Win32,59.99520038
right,1,1.0517,4,3,27,4,1,blue,blue,right,1,georgia,001,2022-03-18_12h11.23.728,stroop,2021.2.3,Win32,59.99520038
down,1,0.5595,4,4,28,2,1,green,green,down,1,georgia,001,2022-03-18_12h11.23.728,stroop,2021.2.3,Win32,59.99520038
left,1,0.6856,4,5,29,0,1,red,red,left,1,georgia,001,2022-03-18_12h11.23.728,stroop,2021.2.3,Win32,59.99520038
