resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
right,1,0.974,0,0,0,3,1,green,blue,right,0,j,001,2022-02-04_19h18.22.212,stroop,2021.2.3,MacIntel,55.55555556
right,1,0.516,0,1,1,4,1,blue,blue,right,1,j,001,2022-02-04_19h18.22.212,stroop,2021.2.3,MacIntel,55.55555556
down,1,1.189,0,2,2,1,1,red,green,down,0,j,001,2022-02-04_19h18.22.212,stroop,2021.2.3,MacIntel,55.55555556
left,1,0.417,0,3,3,5,1,blue,red,left,0,j,001,2022-02-04_19h18.22.212,stroop,2021.2.3,MacIntel,55.55555556
down,1,0.407,0,4,4,2,1,green,green,down,1,j,001,2022-02-04_19h18.22.212,stroop,2021.2.3,MacIntel,55.55555556
left,1,0.508,0,5,5,0,1,red,red,left,1,j,001,2022-02-04_19h18.22.212,stroop,2021.2.3,MacIntel,55.55555556
left,1,0.499,1,0,6,5,1,blue,red,left,0,j,001,2022-02-04_19h18.22.212,stroop,2021.2.3,MacIntel,55.55555556
left,1,0.518,1,1,7,0,1,red,red,left,1,j,001,2022-02-04_19h18.22.212,stroop,2021.2.3,MacIntel,55.55555556
right,1,0.425,1,2,8,3,1,green,blue,right,0,j,001,2022-02-04_19h18.22.212,stroop,2021.2.3,MacIntel,55.55555556
down,1,0.571,1,3,9,1,1,red,green,down,0,j,001,2022-02-04_19h18.22.212,stroop,2021.2.3,MacIntel,55.55555556
right,1,0.608,1,4,10,4,1,blue,blue,right,1,j,001,2022-02-04_19h18.22.212,stroop,2021.2.3,MacIntel,55.55555556
down,1,0.623,1,5,11,2,1,green,green,down,1,j,001,2022-02-04_19h18.22.212,stroop,2021.2.3,MacIntel,55.55555556
right,1,0.541,2,0,12,4,1,blue,blue,right,1,j,001,2022-02-04_19h18.22.212,stroop,2021.2.3,MacIntel,55.55555556
down,1,0.605,2,1,13,1,1,red,green,down,0,j,001,2022-02-04_19h18.22.212,stroop,2021.2.3,MacIntel,55.55555556
left,1,0.531,2,2,14,0,1,red,red,left,1,j,001,2022-02-04_19h18.22.212,stroop,2021.2.3,MacIntel,55.55555556
left,1,0.644,2,3,15,5,1,blue,red,left,0,j,001,2022-02-04_19h18.22.212,stroop,2021.2.3,MacIntel,55.55555556
down,1,0.624,2,4,16,2,1,green,green,down,1,j,001,2022-02-04_19h18.22.212,stroop,2021.2.3,MacIntel,55.55555556
right,1,0.35,2,5,17,3,1,green,blue,right,0,j,001,2022-02-04_19h18.22.212,stroop,2021.2.3,MacIntel,55.55555556
left,1,0.482,3,0,18,5,1,blue,red,left,0,j,001,2022-02-04_19h18.22.212,stroop,2021.2.3,MacIntel,55.55555556
down,0,0.531,3,1,19,4,1,blue,blue,right,1,j,001,2022-02-04_19h18.22.212,stroop,2021.2.3,MacIntel,55.55555556
right,1,1.146,3,2,20,3,1,green,blue,right,0,j,001,2022-02-04_19h18.22.212,stroop,2021.2.3,MacIntel,55.55555556
left,1,0.993,3,3,21,0,1,red,red,left,1,j,001,2022-02-04_19h18.22.212,stroop,2021.2.3,MacIntel,55.55555556
down,1,0.909,3,4,22,1,1,red,green,down,0,j,001,2022-02-04_19h18.22.212,stroop,2021.2.3,MacIntel,55.55555556
down,1,0.509,3,5,23,2,1,green,green,down,1,j,001,2022-02-04_19h18.22.212,stroop,2021.2.3,MacIntel,55.55555556
right,1,0.475,4,0,24,3,1,green,blue,right,0,j,001,2022-02-04_19h18.22.212,stroop,2021.2.3,MacIntel,55.55555556
left,1,0.496,4,1,25,0,1,red,red,left,1,j,001,2022-02-04_19h18.22.212,stroop,2021.2.3,MacIntel,55.55555556
down,1,0.623,4,2,26,1,1,red,green,down,0,j,001,2022-02-04_19h18.22.212,stroop,2021.2.3,MacIntel,55.55555556
right,1,0.415,4,3,27,4,1,blue,blue,right,1,j,001,2022-02-04_19h18.22.212,stroop,2021.2.3,MacIntel,55.55555556
left,1,0.548,4,4,28,5,1,blue,red,left,0,j,001,2022-02-04_19h18.22.212,stroop,2021.2.3,MacIntel,55.55555556
down,1,0.976,4,5,29,2,1,green,green,down,1,j,001,2022-02-04_19h18.22.212,stroop,2021.2.3,MacIntel,55.55555556
