resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
right,0,1.595,0,0,0,1,1,red,green,down,0,jin,001,2022-03-14_09h10.52,stroop,2021.2.3,MacIntel,90.90909091
down,0,0.987,0,1,1,4,1,blue,blue,right,1,jin,001,2022-03-14_09h10.52,stroop,2021.2.3,MacIntel,90.90909091
left,1,1.482,0,2,2,0,1,red,red,left,1,jin,001,2022-03-14_09h10.52,stroop,2021.2.3,MacIntel,90.90909091
right,1,1.686,0,3,3,3,1,green,blue,right,0,jin,001,2022-03-14_09h10.52,stroop,2021.2.3,MacIntel,90.90909091
down,0,1.588,0,4,4,5,1,blue,red,left,0,jin,001,2022-03-14_09h10.52,stroop,2021.2.3,MacIntel,90.90909091
right,0,4.039,0,5,5,2,1,green,green,down,1,jin,001,2022-03-14_09h10.52,stroop,2021.2.3,MacIntel,90.90909091
down,0,2.207,1,0,6,4,1,blue,blue,right,1,jin,001,2022-03-14_09h10.52,stroop,2021.2.3,MacIntel,90.90909091
left,1,1.441,1,1,7,5,1,blue,red,left,0,jin,001,2022-03-14_09h10.52,stroop,2021.2.3,MacIntel,90.90909091
left,1,1.078,1,2,8,0,1,red,red,left,1,jin,001,2022-03-14_09h10.52,stroop,2021.2.3,MacIntel,90.90909091
right,0,0.797,1,3,9,2,1,green,green,down,1,jin,001,2022-03-14_09h10.52,stroop,2021.2.3,MacIntel,90.90909091
down,0,2.913,1,4,10,3,1,green,blue,right,0,jin,001,2022-03-14_09h10.52,stroop,2021.2.3,MacIntel,90.90909091
right,0,3.112,1,5,11,1,1,red,green,down,0,jin,001,2022-03-14_09h10.52,stroop,2021.2.3,MacIntel,90.90909091
right,0,1.092,2,0,12,2,1,green,green,down,1,jin,001,2022-03-14_09h10.52,stroop,2021.2.3,MacIntel,90.90909091
down,0,0.904,2,1,13,4,1,blue,blue,right,1,jin,001,2022-03-14_09h10.52,stroop,2021.2.3,MacIntel,90.90909091
right,0,1.746,2,2,14,1,1,red,green,down,0,jin,001,2022-03-14_09h10.52,stroop,2021.2.3,MacIntel,90.90909091
left,1,2.955,2,3,15,0,1,red,red,left,1,jin,001,2022-03-14_09h10.52,stroop,2021.2.3,MacIntel,90.90909091
right,1,0.871,2,4,16,3,1,green,blue,right,0,jin,001,2022-03-14_09h10.52,stroop,2021.2.3,MacIntel,90.90909091
left,1,2.345,2,5,17,5,1,blue,red,left,0,jin,001,2022-03-14_09h10.52,stroop,2021.2.3,MacIntel,90.90909091
left,1,0.749,3,0,18,5,1,blue,red,left,0,jin,001,2022-03-14_09h10.52,stroop,2021.2.3,MacIntel,90.90909091
down,0,1.321,3,1,19,3,1,green,blue,right,0,jin,001,2022-03-14_09h10.52,stroop,2021.2.3,MacIntel,90.90909091
down,0,1.73,3,2,20,4,1,blue,blue,right,1,jin,001,2022-03-14_09h10.52,stroop,2021.2.3,MacIntel,90.90909091
right,0,0.746,3,3,21,2,1,green,green,down,1,jin,001,2022-03-14_09h10.52,stroop,2021.2.3,MacIntel,90.90909091
left,1,2.741,3,4,22,0,1,red,red,left,1,jin,001,2022-03-14_09h10.52,stroop,2021.2.3,MacIntel,90.90909091
right,0,1.457,3,5,23,1,1,red,green,down,0,jin,001,2022-03-14_09h10.52,stroop,2021.2.3,MacIntel,90.90909091
down,0,0.853,4,0,24,4,1,blue,blue,right,1,jin,001,2022-03-14_09h10.52,stroop,2021.2.3,MacIntel,90.90909091
right,0,1.287,4,1,25,2,1,green,green,down,1,jin,001,2022-03-14_09h10.52,stroop,2021.2.3,MacIntel,90.90909091
left,1,1.442,4,2,26,0,1,red,red,left,1,jin,001,2022-03-14_09h10.52,stroop,2021.2.3,MacIntel,90.90909091
down,0,1.154,4,3,27,3,1,green,blue,right,0,jin,001,2022-03-14_09h10.52,stroop,2021.2.3,MacIntel,90.90909091
left,1,0.922,4,4,28,5,1,blue,red,left,0,jin,001,2022-03-14_09h10.52,stroop,2021.2.3,MacIntel,90.90909091
right,0,0.827,4,5,29,1,1,red,green,down,0,jin,001,2022-03-14_09h10.52,stroop,2021.2.3,MacIntel,90.90909091
