resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
left,1,1.0127,0,0,0,0,1,red,red,left,1,jwu,001,2022-03-06_14h18.52.159,stroop,2021.2.3,Win32,59.84440455
right,1,0.8818,0,1,1,4,1,blue,blue,right,1,jwu,001,2022-03-06_14h18.52.159,stroop,2021.2.3,Win32,59.84440455
down,1,0.6432,0,2,2,2,1,green,green,down,1,jwu,001,2022-03-06_14h18.52.159,stroop,2021.2.3,Win32,59.84440455
right,1,2.0962,0,3,3,3,1,green,blue,right,0,jwu,001,2022-03-06_14h18.52.159,stroop,2021.2.3,Win32,59.84440455
left,1,1.1904,0,4,4,5,1,blue,red,left,0,jwu,001,2022-03-06_14h18.52.159,stroop,2021.2.3,Win32,59.84440455
down,1,1.2999,0,5,5,1,1,red,green,down,0,jwu,001,2022-03-06_14h18.52.159,stroop,2021.2.3,Win32,59.84440455
down,1,1.5496,1,0,6,1,1,red,green,down,0,jwu,001,2022-03-06_14h18.52.159,stroop,2021.2.3,Win32,59.84440455
left,1,0.7446,1,1,7,0,1,red,red,left,1,jwu,001,2022-03-06_14h18.52.159,stroop,2021.2.3,Win32,59.84440455
left,1,2.5021,1,2,8,5,1,blue,red,left,0,jwu,001,2022-03-06_14h18.52.159,stroop,2021.2.3,Win32,59.84440455
right,1,1.3407,1,3,9,4,1,blue,blue,right,1,jwu,001,2022-03-06_14h18.52.159,stroop,2021.2.3,Win32,59.84440455
down,1,0.8511,1,4,10,2,1,green,green,down,1,jwu,001,2022-03-06_14h18.52.159,stroop,2021.2.3,Win32,59.84440455
right,1,1.1571,1,5,11,3,1,green,blue,right,0,jwu,001,2022-03-06_14h18.52.159,stroop,2021.2.3,Win32,59.84440455
right,1,0.9612,2,0,12,3,1,green,blue,right,0,jwu,001,2022-03-06_14h18.52.159,stroop,2021.2.3,Win32,59.84440455
left,0,1.4408,2,1,13,2,1,green,green,down,1,jwu,001,2022-03-06_14h18.52.159,stroop,2021.2.3,Win32,59.84440455
right,1,1.6621,2,2,14,4,1,blue,blue,right,1,jwu,001,2022-03-06_14h18.52.159,stroop,2021.2.3,Win32,59.84440455
down,0,0.8114,2,3,15,0,1,red,red,left,1,jwu,001,2022-03-06_14h18.52.159,stroop,2021.2.3,Win32,59.84440455
down,1,1.6667,2,4,16,1,1,red,green,down,0,jwu,001,2022-03-06_14h18.52.159,stroop,2021.2.3,Win32,59.84440455
left,1,2.5533,2,5,17,5,1,blue,red,left,0,jwu,001,2022-03-06_14h18.52.159,stroop,2021.2.3,Win32,59.84440455
down,1,1.7685,3,0,18,2,1,green,green,down,1,jwu,001,2022-03-06_14h18.52.159,stroop,2021.2.3,Win32,59.84440455
down,1,1.8145,3,1,19,1,1,red,green,down,0,jwu,001,2022-03-06_14h18.52.159,stroop,2021.2.3,Win32,59.84440455
right,1,0.842,3,2,20,4,1,blue,blue,right,1,jwu,001,2022-03-06_14h18.52.159,stroop,2021.2.3,Win32,59.84440455
right,1,1.1007,3,3,21,3,1,green,blue,right,0,jwu,001,2022-03-06_14h18.52.159,stroop,2021.2.3,Win32,59.84440455
left,1,2.0921,3,4,22,0,1,red,red,left,1,jwu,001,2022-03-06_14h18.52.159,stroop,2021.2.3,Win32,59.84440455
left,1,1.5343,3,5,23,5,1,blue,red,left,0,jwu,001,2022-03-06_14h18.52.159,stroop,2021.2.3,Win32,59.84440455
down,1,2.0188,4,0,24,2,1,green,green,down,1,jwu,001,2022-03-06_14h18.52.159,stroop,2021.2.3,Win32,59.84440455
left,1,0.9726,4,1,25,0,1,red,red,left,1,jwu,001,2022-03-06_14h18.52.159,stroop,2021.2.3,Win32,59.84440455
left,1,1.0036,4,2,26,5,1,blue,red,left,0,jwu,001,2022-03-06_14h18.52.159,stroop,2021.2.3,Win32,59.84440455
right,1,0.9678,4,3,27,3,1,green,blue,right,0,jwu,001,2022-03-06_14h18.52.159,stroop,2021.2.3,Win32,59.84440455
right,1,1.0534,4,4,28,4,1,blue,blue,right,1,jwu,001,2022-03-06_14h18.52.159,stroop,2021.2.3,Win32,59.84440455
down,1,0.9014,4,5,29,1,1,red,green,down,0,jwu,001,2022-03-06_14h18.52.159,stroop,2021.2.3,Win32,59.84440455
