resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
left,0,0.336,0,0,0,4,1,blue,blue,right,1,k,001,2022-03-17_15h54.42.140,stroop,2021.2.3,Win32,74.96251874
right,1,0.844,0,1,1,3,1,green,blue,right,0,k,001,2022-03-17_15h54.42.140,stroop,2021.2.3,Win32,74.96251874
left,0,0.364,0,2,2,1,1,red,green,down,0,k,001,2022-03-17_15h54.42.140,stroop,2021.2.3,Win32,74.96251874
right,0,0.067,0,3,3,2,1,green,green,down,1,k,001,2022-03-17_15h54.42.140,stroop,2021.2.3,Win32,74.96251874
right,0,0.133,0,4,4,0,1,red,red,left,1,k,001,2022-03-17_15h54.42.140,stroop,2021.2.3,Win32,74.96251874
right,0,0.124,0,5,5,5,1,blue,red,left,0,k,001,2022-03-17_15h54.42.140,stroop,2021.2.3,Win32,74.96251874
right,1,0.067,1,0,6,4,1,blue,blue,right,1,k,001,2022-03-17_15h54.42.140,stroop,2021.2.3,Win32,74.96251874
right,0,0.066,1,1,7,0,1,red,red,left,1,k,001,2022-03-17_15h54.42.140,stroop,2021.2.3,Win32,74.96251874
right,0,0.038,1,2,8,2,1,green,green,down,1,k,001,2022-03-17_15h54.42.140,stroop,2021.2.3,Win32,74.96251874
down,0,0.001,1,3,9,3,1,green,blue,right,0,k,001,2022-03-17_15h54.42.140,stroop,2021.2.3,Win32,74.96251874
right,0,0.052,1,4,10,5,1,blue,red,left,0,k,001,2022-03-17_15h54.42.140,stroop,2021.2.3,Win32,74.96251874
right,0,0.454,1,5,11,1,1,red,green,down,0,k,001,2022-03-17_15h54.42.140,stroop,2021.2.3,Win32,74.96251874
left,1,9.469,2,0,12,0,1,red,red,left,1,k,001,2022-03-17_15h54.42.140,stroop,2021.2.3,Win32,74.96251874
left,0,0.508,2,1,13,3,1,green,blue,right,0,k,001,2022-03-17_15h54.42.140,stroop,2021.2.3,Win32,74.96251874
left,1,0.039,2,2,14,5,1,blue,red,left,0,k,001,2022-03-17_15h54.42.140,stroop,2021.2.3,Win32,74.96251874
left,0,0.121,2,3,15,4,1,blue,blue,right,1,k,001,2022-03-17_15h54.42.140,stroop,2021.2.3,Win32,74.96251874
left,0,0.057,2,4,16,1,1,red,green,down,0,k,001,2022-03-17_15h54.42.140,stroop,2021.2.3,Win32,74.96251874
left,0,0.02,2,5,17,2,1,green,green,down,1,k,001,2022-03-17_15h54.42.140,stroop,2021.2.3,Win32,74.96251874
left,1,0.438,3,0,18,0,1,red,red,left,1,k,001,2022-03-17_15h54.42.140,stroop,2021.2.3,Win32,74.96251874
left,0,0.068,3,1,19,4,1,blue,blue,right,1,k,001,2022-03-17_15h54.42.140,stroop,2021.2.3,Win32,74.96251874
left,0,0.002,3,2,20,2,1,green,green,down,1,k,001,2022-03-17_15h54.42.140,stroop,2021.2.3,Win32,74.96251874
left,0,0.498,3,3,21,3,1,green,blue,right,0,k,001,2022-03-17_15h54.42.140,stroop,2021.2.3,Win32,74.96251874
left,1,0.465,3,4,22,5,1,blue,red,left,0,k,001,2022-03-17_15h54.42.140,stroop,2021.2.3,Win32,74.96251874
right,0,0.041,3,5,23,1,1,red,green,down,0,k,001,2022-03-17_15h54.42.140,stroop,2021.2.3,Win32,74.96251874
left,0,0.106,4,0,24,1,1,red,green,down,0,k,001,2022-03-17_15h54.42.140,stroop,2021.2.3,Win32,74.96251874
right,0,0.147,4,1,25,0,1,red,red,left,1,k,001,2022-03-17_15h54.42.140,stroop,2021.2.3,Win32,74.96251874
right,0,0.239,4,2,26,5,1,blue,red,left,0,k,001,2022-03-17_15h54.42.140,stroop,2021.2.3,Win32,74.96251874
right,1,0.043,4,3,27,4,1,blue,blue,right,1,k,001,2022-03-17_15h54.42.140,stroop,2021.2.3,Win32,74.96251874
right,0,0.121,4,4,28,2,1,green,green,down,1,k,001,2022-03-17_15h54.42.140,stroop,2021.2.3,Win32,74.96251874
right,1,1.618,4,5,29,3,1,green,blue,right,0,k,001,2022-03-17_15h54.42.140,stroop,2021.2.3,Win32,74.96251874
