resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
right,1,1.7231,0,0,0,4,1,blue,blue,right,1,maddyorchard,001,2022-03-14_10h03.33.215,stroop,2021.2.3,MacIntel,60.0024001
down,1,2.0095,0,1,1,1,1,red,green,down,0,maddyorchard,001,2022-03-14_10h03.33.215,stroop,2021.2.3,MacIntel,60.0024001
left,1,0.5447,0,2,2,5,1,blue,red,left,0,maddyorchard,001,2022-03-14_10h03.33.215,stroop,2021.2.3,MacIntel,60.0024001
right,1,1.1616,0,3,3,3,1,green,blue,right,0,maddyorchard,001,2022-03-14_10h03.33.215,stroop,2021.2.3,MacIntel,60.0024001
down,1,0.8292,0,4,4,2,1,green,green,down,1,maddyorchard,001,2022-03-14_10h03.33.215,stroop,2021.2.3,MacIntel,60.0024001
left,1,0.461,0,5,5,0,1,red,red,left,1,maddyorchard,001,2022-03-14_10h03.33.215,stroop,2021.2.3,MacIntel,60.0024001
down,1,0.6946,1,0,6,1,1,red,green,down,0,maddyorchard,001,2022-03-14_10h03.33.215,stroop,2021.2.3,MacIntel,60.0024001
down,1,0.6125,1,1,7,2,1,green,green,down,1,maddyorchard,001,2022-03-14_10h03.33.215,stroop,2021.2.3,MacIntel,60.0024001
right,1,0.5806,1,2,8,3,1,green,blue,right,0,maddyorchard,001,2022-03-14_10h03.33.215,stroop,2021.2.3,MacIntel,60.0024001
left,1,0.6474,1,3,9,0,1,red,red,left,1,maddyorchard,001,2022-03-14_10h03.33.215,stroop,2021.2.3,MacIntel,60.0024001
left,1,1.0128,1,4,10,5,1,blue,red,left,0,maddyorchard,001,2022-03-14_10h03.33.215,stroop,2021.2.3,MacIntel,60.0024001
down,0,0.6125,1,5,11,4,1,blue,blue,right,1,maddyorchard,001,2022-03-14_10h03.33.215,stroop,2021.2.3,MacIntel,60.0024001
down,1,1.4191,2,0,12,2,1,green,green,down,1,maddyorchard,001,2022-03-14_10h03.33.215,stroop,2021.2.3,MacIntel,60.0024001
left,1,1.2651,2,1,13,5,1,blue,red,left,0,maddyorchard,001,2022-03-14_10h03.33.215,stroop,2021.2.3,MacIntel,60.0024001
down,1,1.3523,2,2,14,1,1,red,green,down,0,maddyorchard,001,2022-03-14_10h03.33.215,stroop,2021.2.3,MacIntel,60.0024001
left,1,2.0821,2,3,15,0,1,red,red,left,1,maddyorchard,001,2022-03-14_10h03.33.215,stroop,2021.2.3,MacIntel,60.0024001
right,1,0.6163,2,4,16,4,1,blue,blue,right,1,maddyorchard,001,2022-03-14_10h03.33.215,stroop,2021.2.3,MacIntel,60.0024001
right,1,0.5538,2,5,17,3,1,green,blue,right,0,maddyorchard,001,2022-03-14_10h03.33.215,stroop,2021.2.3,MacIntel,60.0024001
left,1,0.7141,3,0,18,5,1,blue,red,left,0,maddyorchard,001,2022-03-14_10h03.33.215,stroop,2021.2.3,MacIntel,60.0024001
left,1,0.5799,3,1,19,0,1,red,red,left,1,maddyorchard,001,2022-03-14_10h03.33.215,stroop,2021.2.3,MacIntel,60.0024001
down,1,0.6154,3,2,20,1,1,red,green,down,0,maddyorchard,001,2022-03-14_10h03.33.215,stroop,2021.2.3,MacIntel,60.0024001
right,1,0.6615,3,3,21,3,1,green,blue,right,0,maddyorchard,001,2022-03-14_10h03.33.215,stroop,2021.2.3,MacIntel,60.0024001
down,1,0.8305,3,4,22,2,1,green,green,down,1,maddyorchard,001,2022-03-14_10h03.33.215,stroop,2021.2.3,MacIntel,60.0024001
right,1,0.6147,3,5,23,4,1,blue,blue,right,1,maddyorchard,001,2022-03-14_10h03.33.215,stroop,2021.2.3,MacIntel,60.0024001
left,1,0.9639,4,0,24,5,1,blue,red,left,0,maddyorchard,001,2022-03-14_10h03.33.215,stroop,2021.2.3,MacIntel,60.0024001
down,1,0.7521,4,1,25,2,1,green,green,down,1,maddyorchard,001,2022-03-14_10h03.33.215,stroop,2021.2.3,MacIntel,60.0024001
down,1,1.0386,4,2,26,1,1,red,green,down,0,maddyorchard,001,2022-03-14_10h03.33.215,stroop,2021.2.3,MacIntel,60.0024001
left,1,0.499,4,3,27,0,1,red,red,left,1,maddyorchard,001,2022-03-14_10h03.33.215,stroop,2021.2.3,MacIntel,60.0024001
right,1,0.7189,4,4,28,3,1,green,blue,right,0,maddyorchard,001,2022-03-14_10h03.33.215,stroop,2021.2.3,MacIntel,60.0024001
right,1,0.536,4,5,29,4,1,blue,blue,right,1,maddyorchard,001,2022-03-14_10h03.33.215,stroop,2021.2.3,MacIntel,60.0024001
