resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
left,1,0.8772,0,0,0,5,1,blue,red,left,0,martha ,001,2022-03-14_09h10.33.014,stroop,2021.2.3,MacIntel,59.99880002
down,0,0.761,0,1,1,0,1,red,red,left,1,martha ,001,2022-03-14_09h10.33.014,stroop,2021.2.3,MacIntel,59.99880002
down,0,0.8374,0,2,2,4,1,blue,blue,right,1,martha ,001,2022-03-14_09h10.33.014,stroop,2021.2.3,MacIntel,59.99880002
right,0,0.3886,0,3,3,1,1,red,green,down,0,martha ,001,2022-03-14_09h10.33.014,stroop,2021.2.3,MacIntel,59.99880002
right,0,0.5724,0,4,4,2,1,green,green,down,1,martha ,001,2022-03-14_09h10.33.014,stroop,2021.2.3,MacIntel,59.99880002
right,1,0.5325,0,5,5,3,1,green,blue,right,0,martha ,001,2022-03-14_09h10.33.014,stroop,2021.2.3,MacIntel,59.99880002
left,0,0.8005,1,0,6,1,1,red,green,down,0,martha ,001,2022-03-14_09h10.33.014,stroop,2021.2.3,MacIntel,59.99880002
down,0,0.8351,1,1,7,3,1,green,blue,right,0,martha ,001,2022-03-14_09h10.33.014,stroop,2021.2.3,MacIntel,59.99880002
left,1,0.5779,1,2,8,0,1,red,red,left,1,martha ,001,2022-03-14_09h10.33.014,stroop,2021.2.3,MacIntel,59.99880002
down,0,0.5882,1,3,9,4,1,blue,blue,right,1,martha ,001,2022-03-14_09h10.33.014,stroop,2021.2.3,MacIntel,59.99880002
right,0,0.5508,1,4,10,2,1,green,green,down,1,martha ,001,2022-03-14_09h10.33.014,stroop,2021.2.3,MacIntel,59.99880002
left,1,0.7816,1,5,11,5,1,blue,red,left,0,martha ,001,2022-03-14_09h10.33.014,stroop,2021.2.3,MacIntel,59.99880002
left,1,0.4648,2,0,12,5,1,blue,red,left,0,martha ,001,2022-03-14_09h10.33.014,stroop,2021.2.3,MacIntel,59.99880002
left,1,0.3434,2,1,13,0,1,red,red,left,1,martha ,001,2022-03-14_09h10.33.014,stroop,2021.2.3,MacIntel,59.99880002
down,0,0.472,2,2,14,4,1,blue,blue,right,1,martha ,001,2022-03-14_09h10.33.014,stroop,2021.2.3,MacIntel,59.99880002
right,0,0.4354,2,3,15,1,1,red,green,down,0,martha ,001,2022-03-14_09h10.33.014,stroop,2021.2.3,MacIntel,59.99880002
down,0,0.6186,2,4,16,3,1,green,blue,right,0,martha ,001,2022-03-14_09h10.33.014,stroop,2021.2.3,MacIntel,59.99880002
right,0,0.5287,2,5,17,2,1,green,green,down,1,martha ,001,2022-03-14_09h10.33.014,stroop,2021.2.3,MacIntel,59.99880002
right,0,0.3925,3,0,18,2,1,green,green,down,1,martha ,001,2022-03-14_09h10.33.014,stroop,2021.2.3,MacIntel,59.99880002
down,0,0.4435,3,1,19,5,1,blue,red,left,0,martha ,001,2022-03-14_09h10.33.014,stroop,2021.2.3,MacIntel,59.99880002
left,1,0.879,3,2,20,0,1,red,red,left,1,martha ,001,2022-03-14_09h10.33.014,stroop,2021.2.3,MacIntel,59.99880002
down,0,0.4638,3,3,21,4,1,blue,blue,right,1,martha ,001,2022-03-14_09h10.33.014,stroop,2021.2.3,MacIntel,59.99880002
down,0,0.5839,3,4,22,3,1,green,blue,right,0,martha ,001,2022-03-14_09h10.33.014,stroop,2021.2.3,MacIntel,59.99880002
right,0,0.7765,3,5,23,1,1,red,green,down,0,martha ,001,2022-03-14_09h10.33.014,stroop,2021.2.3,MacIntel,59.99880002
down,0,0.5526,4,0,24,4,1,blue,blue,right,1,martha ,001,2022-03-14_09h10.33.014,stroop,2021.2.3,MacIntel,59.99880002
down,0,1.1172,4,1,25,3,1,green,blue,right,0,martha ,001,2022-03-14_09h10.33.014,stroop,2021.2.3,MacIntel,59.99880002
right,0,0.5367,4,2,26,2,1,green,green,down,1,martha ,001,2022-03-14_09h10.33.014,stroop,2021.2.3,MacIntel,59.99880002
left,1,0.5796,4,3,27,5,1,blue,red,left,0,martha ,001,2022-03-14_09h10.33.014,stroop,2021.2.3,MacIntel,59.99880002
left,1,0.5523,4,4,28,0,1,red,red,left,1,martha ,001,2022-03-14_09h10.33.014,stroop,2021.2.3,MacIntel,59.99880002
down,1,0.5344,4,5,29,1,1,red,green,down,0,martha ,001,2022-03-14_09h10.33.014,stroop,2021.2.3,MacIntel,59.99880002
