resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
right,1,0.566,0,0,0,4,1,blue,blue,right,1,maz123,001,2022-03-08_13h21.08.620,stroop,2021.2.3,MacIntel,62.5
left,1,0.714,0,1,1,5,1,blue,red,left,0,maz123,001,2022-03-08_13h21.08.620,stroop,2021.2.3,MacIntel,62.5
down,0,0.577,0,2,2,3,1,green,blue,right,0,maz123,001,2022-03-08_13h21.08.620,stroop,2021.2.3,MacIntel,62.5
down,1,0.912,0,3,3,1,1,red,green,down,0,maz123,001,2022-03-08_13h21.08.620,stroop,2021.2.3,MacIntel,62.5
left,1,0.783,0,4,4,0,1,red,red,left,1,maz123,001,2022-03-08_13h21.08.620,stroop,2021.2.3,MacIntel,62.5
right,0,0.547,0,5,5,2,1,green,green,down,1,maz123,001,2022-03-08_13h21.08.620,stroop,2021.2.3,MacIntel,62.5
down,1,0.487,1,0,6,2,1,green,green,down,1,maz123,001,2022-03-08_13h21.08.620,stroop,2021.2.3,MacIntel,62.5
down,1,0.63,1,1,7,1,1,red,green,down,0,maz123,001,2022-03-08_13h21.08.620,stroop,2021.2.3,MacIntel,62.5
right,0,0.617,1,2,8,5,1,blue,red,left,0,maz123,001,2022-03-08_13h21.08.620,stroop,2021.2.3,MacIntel,62.5
left,0,2.412,1,3,9,3,1,green,blue,right,0,maz123,001,2022-03-08_13h21.08.620,stroop,2021.2.3,MacIntel,62.5
left,0,0.878,1,4,10,4,1,blue,blue,right,1,maz123,001,2022-03-08_13h21.08.620,stroop,2021.2.3,MacIntel,62.5
right,0,0.502,1,5,11,0,1,red,red,left,1,maz123,001,2022-03-08_13h21.08.620,stroop,2021.2.3,MacIntel,62.5
down,0,0.367,2,0,12,5,1,blue,red,left,0,maz123,001,2022-03-08_13h21.08.620,stroop,2021.2.3,MacIntel,62.5
down,1,0.482,2,1,13,1,1,red,green,down,0,maz123,001,2022-03-08_13h21.08.620,stroop,2021.2.3,MacIntel,62.5
down,1,0.58,2,2,14,2,1,green,green,down,1,maz123,001,2022-03-08_13h21.08.620,stroop,2021.2.3,MacIntel,62.5
left,0,0.547,2,3,15,3,1,green,blue,right,0,maz123,001,2022-03-08_13h21.08.620,stroop,2021.2.3,MacIntel,62.5
right,0,0.356,2,4,16,0,1,red,red,left,1,maz123,001,2022-03-08_13h21.08.620,stroop,2021.2.3,MacIntel,62.5
left,0,0.764,2,5,17,4,1,blue,blue,right,1,maz123,001,2022-03-08_13h21.08.620,stroop,2021.2.3,MacIntel,62.5
right,0,0.388,3,0,18,0,1,red,red,left,1,maz123,001,2022-03-08_13h21.08.620,stroop,2021.2.3,MacIntel,62.5
down,1,0.414,3,1,19,1,1,red,green,down,0,maz123,001,2022-03-08_13h21.08.620,stroop,2021.2.3,MacIntel,62.5
left,0,0.62,3,2,20,3,1,green,blue,right,0,maz123,001,2022-03-08_13h21.08.620,stroop,2021.2.3,MacIntel,62.5
left,0,0.318,3,3,21,4,1,blue,blue,right,1,maz123,001,2022-03-08_13h21.08.620,stroop,2021.2.3,MacIntel,62.5
right,0,0.372,3,4,22,5,1,blue,red,left,0,maz123,001,2022-03-08_13h21.08.620,stroop,2021.2.3,MacIntel,62.5
down,1,0.503,3,5,23,2,1,green,green,down,1,maz123,001,2022-03-08_13h21.08.620,stroop,2021.2.3,MacIntel,62.5
down,1,0.535,4,0,24,2,1,green,green,down,1,maz123,001,2022-03-08_13h21.08.620,stroop,2021.2.3,MacIntel,62.5
down,1,0.388,4,1,25,1,1,red,green,down,0,maz123,001,2022-03-08_13h21.08.620,stroop,2021.2.3,MacIntel,62.5
right,0,0.766,4,2,26,5,1,blue,red,left,0,maz123,001,2022-03-08_13h21.08.620,stroop,2021.2.3,MacIntel,62.5
left,0,0.417,4,3,27,4,1,blue,blue,right,1,maz123,001,2022-03-08_13h21.08.620,stroop,2021.2.3,MacIntel,62.5
right,0,1.079,4,4,28,0,1,red,red,left,1,maz123,001,2022-03-08_13h21.08.620,stroop,2021.2.3,MacIntel,62.5
left,0,0.729,4,5,29,3,1,green,blue,right,0,maz123,001,2022-03-08_13h21.08.620,stroop,2021.2.3,MacIntel,62.5
