resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
left,1,4.099,0,0,0,5,1,blue,red,left,0,me,001,2022-02-03_13h51.55.772,stroop,2021.2.3,Win32,59.88023952
down,1,1.01,0,1,1,1,1,red,green,down,0,me,001,2022-02-03_13h51.55.772,stroop,2021.2.3,Win32,59.88023952
right,1,0.857,0,2,2,3,1,green,blue,right,0,me,001,2022-02-03_13h51.55.772,stroop,2021.2.3,Win32,59.88023952
right,1,0.812,0,3,3,4,1,blue,blue,right,1,me,001,2022-02-03_13h51.55.772,stroop,2021.2.3,Win32,59.88023952
down,1,0.745,0,4,4,2,1,green,green,down,1,me,001,2022-02-03_13h51.55.772,stroop,2021.2.3,Win32,59.88023952
left,1,1.777,0,5,5,0,1,red,red,left,1,me,001,2022-02-03_13h51.55.772,stroop,2021.2.3,Win32,59.88023952
right,1,1.16,1,0,6,3,1,green,blue,right,0,me,001,2022-02-03_13h51.55.772,stroop,2021.2.3,Win32,59.88023952
down,1,0.98,1,1,7,1,1,red,green,down,0,me,001,2022-02-03_13h51.55.772,stroop,2021.2.3,Win32,59.88023952
right,1,0.828,1,2,8,4,1,blue,blue,right,1,me,001,2022-02-03_13h51.55.772,stroop,2021.2.3,Win32,59.88023952
left,1,2.384,1,3,9,0,1,red,red,left,1,me,001,2022-02-03_13h51.55.772,stroop,2021.2.3,Win32,59.88023952
left,1,0.925,1,4,10,5,1,blue,red,left,0,me,001,2022-02-03_13h51.55.772,stroop,2021.2.3,Win32,59.88023952
down,1,0.76,1,5,11,2,1,green,green,down,1,me,001,2022-02-03_13h51.55.772,stroop,2021.2.3,Win32,59.88023952
left,1,1.744,2,0,12,5,1,blue,red,left,0,me,001,2022-02-03_13h51.55.772,stroop,2021.2.3,Win32,59.88023952
right,1,0.944,2,1,13,4,1,blue,blue,right,1,me,001,2022-02-03_13h51.55.772,stroop,2021.2.3,Win32,59.88023952
down,1,1.644,2,2,14,2,1,green,green,down,1,me,001,2022-02-03_13h51.55.772,stroop,2021.2.3,Win32,59.88023952
left,1,0.927,2,3,15,0,1,red,red,left,1,me,001,2022-02-03_13h51.55.772,stroop,2021.2.3,Win32,59.88023952
down,1,0.681,2,4,16,1,1,red,green,down,0,me,001,2022-02-03_13h51.55.772,stroop,2021.2.3,Win32,59.88023952
right,1,1.206,2,5,17,3,1,green,blue,right,0,me,001,2022-02-03_13h51.55.772,stroop,2021.2.3,Win32,59.88023952
down,0,0.455,3,0,18,5,1,blue,red,left,0,me,001,2022-02-03_13h51.55.772,stroop,2021.2.3,Win32,59.88023952
right,1,1.786,3,1,19,3,1,green,blue,right,0,me,001,2022-02-03_13h51.55.772,stroop,2021.2.3,Win32,59.88023952
right,1,0.587,3,2,20,4,1,blue,blue,right,1,me,001,2022-02-03_13h51.55.772,stroop,2021.2.3,Win32,59.88023952
down,1,1.208,3,3,21,2,1,green,green,down,1,me,001,2022-02-03_13h51.55.772,stroop,2021.2.3,Win32,59.88023952
down,1,0.854,3,4,22,1,1,red,green,down,0,me,001,2022-02-03_13h51.55.772,stroop,2021.2.3,Win32,59.88023952
left,1,0.723,3,5,23,0,1,red,red,left,1,me,001,2022-02-03_13h51.55.772,stroop,2021.2.3,Win32,59.88023952
left,1,0.729,4,0,24,5,1,blue,red,left,0,me,001,2022-02-03_13h51.55.772,stroop,2021.2.3,Win32,59.88023952
right,1,0.526,4,1,25,3,1,green,blue,right,0,me,001,2022-02-03_13h51.55.772,stroop,2021.2.3,Win32,59.88023952
left,1,0.712,4,2,26,0,1,red,red,left,1,me,001,2022-02-03_13h51.55.772,stroop,2021.2.3,Win32,59.88023952
down,1,1.299,4,3,27,1,1,red,green,down,0,me,001,2022-02-03_13h51.55.772,stroop,2021.2.3,Win32,59.88023952
right,1,0.603,4,4,28,4,1,blue,blue,right,1,me,001,2022-02-03_13h51.55.772,stroop,2021.2.3,Win32,59.88023952
down,1,0.635,4,5,29,2,1,green,green,down,1,me,001,2022-02-03_13h51.55.772,stroop,2021.2.3,Win32,59.88023952
