resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
left,1,1.271,0,0,0,5,1,blue,red,left,0,mood_kat,001,2022-03-11_16h33.32.122,stroop,2021.2.3,MacIntel,59.99160118
down,1,0.6114,0,1,1,2,1,green,green,down,1,mood_kat,001,2022-03-11_16h33.32.122,stroop,2021.2.3,MacIntel,59.99160118
right,1,0.5004,0,2,2,4,1,blue,blue,right,1,mood_kat,001,2022-03-11_16h33.32.122,stroop,2021.2.3,MacIntel,59.99160118
down,0,1.0922,0,3,3,3,1,green,blue,right,0,mood_kat,001,2022-03-11_16h33.32.122,stroop,2021.2.3,MacIntel,59.99160118
down,1,2.3803,0,4,4,1,1,red,green,down,0,mood_kat,001,2022-03-11_16h33.32.122,stroop,2021.2.3,MacIntel,59.99160118
left,1,0.9026,0,5,5,0,1,red,red,left,1,mood_kat,001,2022-03-11_16h33.32.122,stroop,2021.2.3,MacIntel,59.99160118
down,1,0.7317,1,0,6,1,1,red,green,down,0,mood_kat,001,2022-03-11_16h33.32.122,stroop,2021.2.3,MacIntel,59.99160118
right,1,0.6431,1,1,7,4,1,blue,blue,right,1,mood_kat,001,2022-03-11_16h33.32.122,stroop,2021.2.3,MacIntel,59.99160118
down,1,0.8028,1,2,8,2,1,green,green,down,1,mood_kat,001,2022-03-11_16h33.32.122,stroop,2021.2.3,MacIntel,59.99160118
left,1,0.6158,1,3,9,5,1,blue,red,left,0,mood_kat,001,2022-03-11_16h33.32.122,stroop,2021.2.3,MacIntel,59.99160118
right,1,0.9924,1,4,10,3,1,green,blue,right,0,mood_kat,001,2022-03-11_16h33.32.122,stroop,2021.2.3,MacIntel,59.99160118
left,1,0.907,1,5,11,0,1,red,red,left,1,mood_kat,001,2022-03-11_16h33.32.122,stroop,2021.2.3,MacIntel,59.99160118
left,1,0.5666,2,0,12,0,1,red,red,left,1,mood_kat,001,2022-03-11_16h33.32.122,stroop,2021.2.3,MacIntel,59.99160118
right,0,1.3344,2,1,13,5,1,blue,red,left,0,mood_kat,001,2022-03-11_16h33.32.122,stroop,2021.2.3,MacIntel,59.99160118
right,1,0.8897,2,2,14,4,1,blue,blue,right,1,mood_kat,001,2022-03-11_16h33.32.122,stroop,2021.2.3,MacIntel,59.99160118
down,1,0.827,2,3,15,1,1,red,green,down,0,mood_kat,001,2022-03-11_16h33.32.122,stroop,2021.2.3,MacIntel,59.99160118
right,1,1.1091,2,4,16,3,1,green,blue,right,0,mood_kat,001,2022-03-11_16h33.32.122,stroop,2021.2.3,MacIntel,59.99160118
down,1,0.7159,2,5,17,2,1,green,green,down,1,mood_kat,001,2022-03-11_16h33.32.122,stroop,2021.2.3,MacIntel,59.99160118
down,1,1.1194,3,0,18,1,1,red,green,down,0,mood_kat,001,2022-03-11_16h33.32.122,stroop,2021.2.3,MacIntel,59.99160118
left,1,0.6371,3,1,19,0,1,red,red,left,1,mood_kat,001,2022-03-11_16h33.32.122,stroop,2021.2.3,MacIntel,59.99160118
left,1,0.7987,3,2,20,5,1,blue,red,left,0,mood_kat,001,2022-03-11_16h33.32.122,stroop,2021.2.3,MacIntel,59.99160118
down,1,0.8932,3,3,21,2,1,green,green,down,1,mood_kat,001,2022-03-11_16h33.32.122,stroop,2021.2.3,MacIntel,59.99160118
right,1,0.6336,3,4,22,4,1,blue,blue,right,1,mood_kat,001,2022-03-11_16h33.32.122,stroop,2021.2.3,MacIntel,59.99160118
right,1,1.0834,3,5,23,3,1,green,blue,right,0,mood_kat,001,2022-03-11_16h33.32.122,stroop,2021.2.3,MacIntel,59.99160118
right,1,0.7224,4,0,24,4,1,blue,blue,right,1,mood_kat,001,2022-03-11_16h33.32.122,stroop,2021.2.3,MacIntel,59.99160118
left,1,0.6886,4,1,25,5,1,blue,red,left,0,mood_kat,001,2022-03-11_16h33.32.122,stroop,2021.2.3,MacIntel,59.99160118
down,1,0.683,4,2,26,1,1,red,green,down,0,mood_kat,001,2022-03-11_16h33.32.122,stroop,2021.2.3,MacIntel,59.99160118
right,1,0.9035,4,3,27,3,1,green,blue,right,0,mood_kat,001,2022-03-11_16h33.32.122,stroop,2021.2.3,MacIntel,59.99160118
left,1,0.8866,4,4,28,0,1,red,red,left,1,mood_kat,001,2022-03-11_16h33.32.122,stroop,2021.2.3,MacIntel,59.99160118
down,1,0.7694,4,5,29,2,1,green,green,down,1,mood_kat,001,2022-03-11_16h33.32.122,stroop,2021.2.3,MacIntel,59.99160118
