resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
right,1,11.0038,0,0,0,4,1,blue,blue,right,1,ok,001,2022-02-08_16h10.46.822,stroop,2021.2.3,MacIntel,60.0024001
left,1,1.3698,0,1,1,5,1,blue,red,left,0,ok,001,2022-02-08_16h10.46.822,stroop,2021.2.3,MacIntel,60.0024001
right,1,2.9205,0,2,2,3,1,green,blue,right,0,ok,001,2022-02-08_16h10.46.822,stroop,2021.2.3,MacIntel,60.0024001
down,1,1.6738,0,3,3,1,1,red,green,down,0,ok,001,2022-02-08_16h10.46.822,stroop,2021.2.3,MacIntel,60.0024001
down,1,2.5232,0,4,4,2,1,green,green,down,1,ok,001,2022-02-08_16h10.46.822,stroop,2021.2.3,MacIntel,60.0024001
left,1,0.7874,0,5,5,0,1,red,red,left,1,ok,001,2022-02-08_16h10.46.822,stroop,2021.2.3,MacIntel,60.0024001
right,1,1.0676,1,0,6,3,1,green,blue,right,0,ok,001,2022-02-08_16h10.46.822,stroop,2021.2.3,MacIntel,60.0024001
right,1,1.9708,1,1,7,4,1,blue,blue,right,1,ok,001,2022-02-08_16h10.46.822,stroop,2021.2.3,MacIntel,60.0024001
down,1,1.1173,1,2,8,1,1,red,green,down,0,ok,001,2022-02-08_16h10.46.822,stroop,2021.2.3,MacIntel,60.0024001
left,1,1.0672,1,3,9,0,1,red,red,left,1,ok,001,2022-02-08_16h10.46.822,stroop,2021.2.3,MacIntel,60.0024001
down,1,2.0535,1,4,10,2,1,green,green,down,1,ok,001,2022-02-08_16h10.46.822,stroop,2021.2.3,MacIntel,60.0024001
left,1,1.2796,1,5,11,5,1,blue,red,left,0,ok,001,2022-02-08_16h10.46.822,stroop,2021.2.3,MacIntel,60.0024001
down,1,0.9699,2,0,12,1,1,red,green,down,0,ok,001,2022-02-08_16h10.46.822,stroop,2021.2.3,MacIntel,60.0024001
right,1,0.8455,2,1,13,4,1,blue,blue,right,1,ok,001,2022-02-08_16h10.46.822,stroop,2021.2.3,MacIntel,60.0024001
left,1,0.8352,2,2,14,0,1,red,red,left,1,ok,001,2022-02-08_16h10.46.822,stroop,2021.2.3,MacIntel,60.0024001
left,1,1.1293,2,3,15,5,1,blue,red,left,0,ok,001,2022-02-08_16h10.46.822,stroop,2021.2.3,MacIntel,60.0024001
right,1,0.9785,2,4,16,3,1,green,blue,right,0,ok,001,2022-02-08_16h10.46.822,stroop,2021.2.3,MacIntel,60.0024001
down,1,0.9656,2,5,17,2,1,green,green,down,1,ok,001,2022-02-08_16h10.46.822,stroop,2021.2.3,MacIntel,60.0024001
right,1,1.2005,3,0,18,3,1,green,blue,right,0,ok,001,2022-02-08_16h10.46.822,stroop,2021.2.3,MacIntel,60.0024001
right,1,1.2011,3,1,19,4,1,blue,blue,right,1,ok,001,2022-02-08_16h10.46.822,stroop,2021.2.3,MacIntel,60.0024001
left,1,0.566,3,2,20,0,1,red,red,left,1,ok,001,2022-02-08_16h10.46.822,stroop,2021.2.3,MacIntel,60.0024001
left,1,1.1732,3,3,21,5,1,blue,red,left,0,ok,001,2022-02-08_16h10.46.822,stroop,2021.2.3,MacIntel,60.0024001
down,1,0.6995,3,4,22,2,1,green,green,down,1,ok,001,2022-02-08_16h10.46.822,stroop,2021.2.3,MacIntel,60.0024001
down,1,1.7007,3,5,23,1,1,red,green,down,0,ok,001,2022-02-08_16h10.46.822,stroop,2021.2.3,MacIntel,60.0024001
left,1,0.951,4,0,24,0,1,red,red,left,1,ok,001,2022-02-08_16h10.46.822,stroop,2021.2.3,MacIntel,60.0024001
down,1,1.1544,4,1,25,1,1,red,green,down,0,ok,001,2022-02-08_16h10.46.822,stroop,2021.2.3,MacIntel,60.0024001
left,1,0.8252,4,2,26,5,1,blue,red,left,0,ok,001,2022-02-08_16h10.46.822,stroop,2021.2.3,MacIntel,60.0024001
right,1,2.1386,4,3,27,3,1,green,blue,right,0,ok,001,2022-02-08_16h10.46.822,stroop,2021.2.3,MacIntel,60.0024001
down,1,1.1722,4,4,28,2,1,green,green,down,1,ok,001,2022-02-08_16h10.46.822,stroop,2021.2.3,MacIntel,60.0024001
right,1,0.848,4,5,29,4,1,blue,blue,right,1,ok,001,2022-02-08_16h10.46.822,stroop,2021.2.3,MacIntel,60.0024001
