resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
right,0,0.4944,0,0,0,1,1,red,green,down,0,ь,001,2022-02-18_17h12.47.284,stroop,2021.2.3,Win32,60.20469597
down,0,0.338,0,1,1,3,1,green,blue,right,0,ь,001,2022-02-18_17h12.47.284,stroop,2021.2.3,Win32,60.20469597
left,0,0.564,0,2,2,2,1,green,green,down,1,ь,001,2022-02-18_17h12.47.284,stroop,2021.2.3,Win32,60.20469597
right,0,0.2976,0,3,3,5,1,blue,red,left,0,ь,001,2022-02-18_17h12.47.284,stroop,2021.2.3,Win32,60.20469597
left,0,0.3548,0,4,4,4,1,blue,blue,right,1,ь,001,2022-02-18_17h12.47.284,stroop,2021.2.3,Win32,60.20469597
down,0,0.2578,0,5,5,0,1,red,red,left,1,ь,001,2022-02-18_17h12.47.284,stroop,2021.2.3,Win32,60.20469597
left,1,0.1162,1,0,6,5,1,blue,red,left,0,ь,001,2022-02-18_17h12.47.284,stroop,2021.2.3,Win32,60.20469597
down,1,0.4837,1,1,7,1,1,red,green,down,0,ь,001,2022-02-18_17h12.47.284,stroop,2021.2.3,Win32,60.20469597
right,0,0.281,1,2,8,0,1,red,red,left,1,ь,001,2022-02-18_17h12.47.284,stroop,2021.2.3,Win32,60.20469597
left,0,0.4482,1,3,9,4,1,blue,blue,right,1,ь,001,2022-02-18_17h12.47.284,stroop,2021.2.3,Win32,60.20469597
right,0,0.0845,1,4,10,2,1,green,green,down,1,ь,001,2022-02-18_17h12.47.284,stroop,2021.2.3,Win32,60.20469597
left,0,0.301,1,5,11,3,1,green,blue,right,0,ь,001,2022-02-18_17h12.47.284,stroop,2021.2.3,Win32,60.20469597
right,0,0.2745,2,0,12,5,1,blue,red,left,0,ь,001,2022-02-18_17h12.47.284,stroop,2021.2.3,Win32,60.20469597
left,0,0.2184,2,1,13,3,1,green,blue,right,0,ь,001,2022-02-18_17h12.47.284,stroop,2021.2.3,Win32,60.20469597
down,1,0.3606,2,2,14,2,1,green,green,down,1,ь,001,2022-02-18_17h12.47.284,stroop,2021.2.3,Win32,60.20469597
left,0,0.0168,2,3,15,1,1,red,green,down,0,ь,001,2022-02-18_17h12.47.284,stroop,2021.2.3,Win32,60.20469597
right,1,0.2805,2,4,16,4,1,blue,blue,right,1,ь,001,2022-02-18_17h12.47.284,stroop,2021.2.3,Win32,60.20469597
right,0,0.2904,2,5,17,0,1,red,red,left,1,ь,001,2022-02-18_17h12.47.284,stroop,2021.2.3,Win32,60.20469597
left,0,0.0103,3,0,18,2,1,green,green,down,1,ь,001,2022-02-18_17h12.47.284,stroop,2021.2.3,Win32,60.20469597
right,1,0.0049,3,1,19,4,1,blue,blue,right,1,ь,001,2022-02-18_17h12.47.284,stroop,2021.2.3,Win32,60.20469597
right,0,0.0077,3,2,20,0,1,red,red,left,1,ь,001,2022-02-18_17h12.47.284,stroop,2021.2.3,Win32,60.20469597
left,0,0.4982,3,3,21,3,1,green,blue,right,0,ь,001,2022-02-18_17h12.47.284,stroop,2021.2.3,Win32,60.20469597
left,0,0.1729,3,4,22,1,1,red,green,down,0,ь,001,2022-02-18_17h12.47.284,stroop,2021.2.3,Win32,60.20469597
right,0,0.008,3,5,23,5,1,blue,red,left,0,ь,001,2022-02-18_17h12.47.284,stroop,2021.2.3,Win32,60.20469597
left,0,0.0189,4,0,24,2,1,green,green,down,1,ь,001,2022-02-18_17h12.47.284,stroop,2021.2.3,Win32,60.20469597
