resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
left,1,0.6667,0,0,0,0,1,red,red,left,1,theebiga s,001,2022-03-06_23h24.23.061,stroop,2021.2.3,MacIntel,60.0024001
right,1,0.9054,0,1,1,3,1,green,blue,right,0,theebiga s,001,2022-03-06_23h24.23.061,stroop,2021.2.3,MacIntel,60.0024001
down,1,0.5808,0,2,2,2,1,green,green,down,1,theebiga s,001,2022-03-06_23h24.23.061,stroop,2021.2.3,MacIntel,60.0024001
left,1,0.6824,0,3,3,5,1,blue,red,left,0,theebiga s,001,2022-03-06_23h24.23.061,stroop,2021.2.3,MacIntel,60.0024001
down,1,0.5839,0,4,4,1,1,red,green,down,0,theebiga s,001,2022-03-06_23h24.23.061,stroop,2021.2.3,MacIntel,60.0024001
right,1,0.5928,0,5,5,4,1,blue,blue,right,1,theebiga s,001,2022-03-06_23h24.23.061,stroop,2021.2.3,MacIntel,60.0024001
left,1,0.3427,1,0,6,0,1,red,red,left,1,theebiga s,001,2022-03-06_23h24.23.061,stroop,2021.2.3,MacIntel,60.0024001
down,1,0.4088,1,1,7,2,1,green,green,down,1,theebiga s,001,2022-03-06_23h24.23.061,stroop,2021.2.3,MacIntel,60.0024001
left,1,1.3246,1,2,8,5,1,blue,red,left,0,theebiga s,001,2022-03-06_23h24.23.061,stroop,2021.2.3,MacIntel,60.0024001
down,0,1.2767,1,3,9,4,1,blue,blue,right,1,theebiga s,001,2022-03-06_23h24.23.061,stroop,2021.2.3,MacIntel,60.0024001
right,1,0.983,1,4,10,3,1,green,blue,right,0,theebiga s,001,2022-03-06_23h24.23.061,stroop,2021.2.3,MacIntel,60.0024001
down,1,0.7567,1,5,11,1,1,red,green,down,0,theebiga s,001,2022-03-06_23h24.23.061,stroop,2021.2.3,MacIntel,60.0024001
left,1,0.665,2,0,12,5,1,blue,red,left,0,theebiga s,001,2022-03-06_23h24.23.061,stroop,2021.2.3,MacIntel,60.0024001
right,0,1.2623,2,1,13,1,1,red,green,down,0,theebiga s,001,2022-03-06_23h24.23.061,stroop,2021.2.3,MacIntel,60.0024001
right,1,1.3461,2,2,14,4,1,blue,blue,right,1,theebiga s,001,2022-03-06_23h24.23.061,stroop,2021.2.3,MacIntel,60.0024001
