resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
left,1,1.0364,0,0,0,0,1,red,red,left,1,vn,001,2022-03-18_10h42.39.206,stroop,2021.2.3,Win32,60.0240096
right,0,1.0692,0,1,1,2,1,green,green,down,1,vn,001,2022-03-18_10h42.39.206,stroop,2021.2.3,Win32,60.0240096
down,0,0.7478,0,2,2,3,1,green,blue,right,0,vn,001,2022-03-18_10h42.39.206,stroop,2021.2.3,Win32,60.0240096
left,1,1.0792,0,3,3,5,1,blue,red,left,0,vn,001,2022-03-18_10h42.39.206,stroop,2021.2.3,Win32,60.0240096
down,1,0.9711,0,4,4,1,1,red,green,down,0,vn,001,2022-03-18_10h42.39.206,stroop,2021.2.3,Win32,60.0240096
right,1,0.5273,0,5,5,4,1,blue,blue,right,1,vn,001,2022-03-18_10h42.39.206,stroop,2021.2.3,Win32,60.0240096
right,1,0.9399,1,0,6,3,1,green,blue,right,0,vn,001,2022-03-18_10h42.39.206,stroop,2021.2.3,Win32,60.0240096
left,1,1.1734,1,1,7,5,1,blue,red,left,0,vn,001,2022-03-18_10h42.39.206,stroop,2021.2.3,Win32,60.0240096
right,0,3.7286,1,2,8,2,1,green,green,down,1,vn,001,2022-03-18_10h42.39.206,stroop,2021.2.3,Win32,60.0240096
right,1,6.0823,1,3,9,4,1,blue,blue,right,1,vn,001,2022-03-18_10h42.39.206,stroop,2021.2.3,Win32,60.0240096
down,0,1.0894,1,4,10,0,1,red,red,left,1,vn,001,2022-03-18_10h42.39.206,stroop,2021.2.3,Win32,60.0240096
