resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
left,1,0.903,0,0,0,5,1,blue,red,left,0,xx,001,2022-03-07_10h30.47.893,stroop,2021.2.3,MacIntel,58.82352941
down,1,0.545,0,1,1,1,1,red,green,down,0,xx,001,2022-03-07_10h30.47.893,stroop,2021.2.3,MacIntel,58.82352941
down,1,0.722,0,2,2,2,1,green,green,down,1,xx,001,2022-03-07_10h30.47.893,stroop,2021.2.3,MacIntel,58.82352941
right,1,0.376,0,3,3,4,1,blue,blue,right,1,xx,001,2022-03-07_10h30.47.893,stroop,2021.2.3,MacIntel,58.82352941
left,1,0.693,0,4,4,0,1,red,red,left,1,xx,001,2022-03-07_10h30.47.893,stroop,2021.2.3,MacIntel,58.82352941
right,1,0.774,0,5,5,3,1,green,blue,right,0,xx,001,2022-03-07_10h30.47.893,stroop,2021.2.3,MacIntel,58.82352941
down,1,1.058,1,0,6,1,1,red,green,down,0,xx,001,2022-03-07_10h30.47.893,stroop,2021.2.3,MacIntel,58.82352941
left,1,0.664,1,1,7,5,1,blue,red,left,0,xx,001,2022-03-07_10h30.47.893,stroop,2021.2.3,MacIntel,58.82352941
right,0,0.739,1,2,8,2,1,green,green,down,1,xx,001,2022-03-07_10h30.47.893,stroop,2021.2.3,MacIntel,58.82352941
right,1,0.491,1,3,9,4,1,blue,blue,right,1,xx,001,2022-03-07_10h30.47.893,stroop,2021.2.3,MacIntel,58.82352941
left,1,0.575,1,4,10,0,1,red,red,left,1,xx,001,2022-03-07_10h30.47.893,stroop,2021.2.3,MacIntel,58.82352941
right,1,1.291,1,5,11,3,1,green,blue,right,0,xx,001,2022-03-07_10h30.47.893,stroop,2021.2.3,MacIntel,58.82352941
right,1,0.488,2,0,12,3,1,green,blue,right,0,xx,001,2022-03-07_10h30.47.893,stroop,2021.2.3,MacIntel,58.82352941
left,1,1.31,2,1,13,0,1,red,red,left,1,xx,001,2022-03-07_10h30.47.893,stroop,2021.2.3,MacIntel,58.82352941
down,1,0.759,2,2,14,1,1,red,green,down,0,xx,001,2022-03-07_10h30.47.893,stroop,2021.2.3,MacIntel,58.82352941
down,1,0.889,2,3,15,2,1,green,green,down,1,xx,001,2022-03-07_10h30.47.893,stroop,2021.2.3,MacIntel,58.82352941
right,1,1.093,2,4,16,4,1,blue,blue,right,1,xx,001,2022-03-07_10h30.47.893,stroop,2021.2.3,MacIntel,58.82352941
left,1,0.574,2,5,17,5,1,blue,red,left,0,xx,001,2022-03-07_10h30.47.893,stroop,2021.2.3,MacIntel,58.82352941
right,1,0.74,3,0,18,3,1,green,blue,right,0,xx,001,2022-03-07_10h30.47.893,stroop,2021.2.3,MacIntel,58.82352941
left,1,0.693,3,1,19,5,1,blue,red,left,0,xx,001,2022-03-07_10h30.47.893,stroop,2021.2.3,MacIntel,58.82352941
right,1,0.692,3,2,20,4,1,blue,blue,right,1,xx,001,2022-03-07_10h30.47.893,stroop,2021.2.3,MacIntel,58.82352941
down,1,0.516,3,3,21,1,1,red,green,down,0,xx,001,2022-03-07_10h30.47.893,stroop,2021.2.3,MacIntel,58.82352941
left,1,0.61,3,4,22,0,1,red,red,left,1,xx,001,2022-03-07_10h30.47.893,stroop,2021.2.3,MacIntel,58.82352941
down,1,0.896,3,5,23,2,1,green,green,down,1,xx,001,2022-03-07_10h30.47.893,stroop,2021.2.3,MacIntel,58.82352941
down,1,0.463,4,0,24,1,1,red,green,down,0,xx,001,2022-03-07_10h30.47.893,stroop,2021.2.3,MacIntel,58.82352941
left,1,0.741,4,1,25,5,1,blue,red,left,0,xx,001,2022-03-07_10h30.47.893,stroop,2021.2.3,MacIntel,58.82352941
down,1,0.573,4,2,26,2,1,green,green,down,1,xx,001,2022-03-07_10h30.47.893,stroop,2021.2.3,MacIntel,58.82352941
right,1,0.754,4,3,27,3,1,green,blue,right,0,xx,001,2022-03-07_10h30.47.893,stroop,2021.2.3,MacIntel,58.82352941
right,1,0.475,4,4,28,4,1,blue,blue,right,1,xx,001,2022-03-07_10h30.47.893,stroop,2021.2.3,MacIntel,58.82352941
left,1,0.627,4,5,29,0,1,red,red,left,1,xx,001,2022-03-07_10h30.47.893,stroop,2021.2.3,MacIntel,58.82352941
